temporada,equipo,squad_size,avg_age,foreigners,pct_foreigners,squad_value,stadium_capacity,avg_attendance,stadium_occupation
2021,River Plate,28,27.2,5,0.18,82.5,84567,84000,0.99
2021,Boca Juniors,28,26.8,4,0.16,56.62,54000,52000,0.96
2021,Racing Club,28,26.5,3,0.14,46.5,51000,42000,0.82
2021,Talleres de Córdoba,28,24.8,4,0.15,41.25,57000,45000,0.79
2021,Vélez Sarsfield,28,24.2,2,0.1,36.0,49540,32000,0.65
2021,Independiente,28,25.4,3,0.12,33.75,48069,38000,0.79
2021,Estudiantes de La Plata,28,27.5,3,0.11,31.5,32530,30000,0.92
2021,San Lorenzo,28,25.8,3,0.13,30.0,47964,36000,0.75
2021,Rosario Central,28,26.1,2,0.08,28.5,46955,42000,0.89
2021,Lanús,28,26.4,2,0.09,27.0,47021,28000,0.6
2021,Godoy Cruz,28,24.5,3,0.14,26.25,42000,25000,0.6
2021,Argentinos Juniors,28,25.1,1,0.07,25.5,26000,22000,0.85
2021,Defensa y Justicia,28,24.9,2,0.1,24.75,20000,16000,0.8
2021,Newell's Old Boys,28,25.9,3,0.12,24.0,42000,35000,0.83
2021,Huracán,28,26.3,2,0.08,23.25,48314,30000,0.62
2021,Belgrano,28,26.0,2,0.09,22.5,35000,33000,0.94
2021,Tigre,28,26.2,1,0.06,19.5,26282,20000,0.76
2021,Banfield,28,25.5,1,0.07,18.75,34901,21000,0.6
2021,Gimnasia La Plata,28,25.7,2,0.08,18.0,21500,19000,0.88
2021,Platense,28,26.4,1,0.05,16.5,34530,18000,0.52
2021,Unión de Santa Fe,28,25.3,1,0.06,16.5,26000,22000,0.85
2021,Atlético Tucumán,28,27.1,1,0.05,15.75,35200,28000,0.8
2021,Instituto,28,26.0,1,0.05,15.0,26000,23000,0.88
2021,Independiente Rivadavia,28,26.2,2,0.08,14.25,24000,18000,0.75
2021,Central Córdoba,28,26.7,1,0.06,13.5,30000,20000,0.67
2021,Barracas Central,28,27.4,1,0.04,12.75,4400,3500,0.8
2021,Sarmiento,28,27.8,1,0.04,12.0,22000,14000,0.64
2021,Deportivo Riestra,28,28.1,0,0.03,9.0,3000,2500,0.83
2022,River Plate,28,27.2,5,0.18,88.0,84567,84000,0.99
2022,Boca Juniors,28,26.8,4,0.16,60.4,54000,52000,0.96
2022,Racing Club,28,26.5,3,0.14,49.6,51000,42000,0.82
2022,Talleres de Córdoba,28,24.8,4,0.15,44.0,57000,45000,0.79
2022,Vélez Sarsfield,28,24.2,2,0.1,38.4,49540,32000,0.65
2022,Independiente,28,25.4,3,0.12,36.0,48069,38000,0.79
2022,Estudiantes de La Plata,28,27.5,3,0.11,33.6,32530,30000,0.92
2022,San Lorenzo,28,25.8,3,0.13,32.0,47964,36000,0.75
2022,Rosario Central,28,26.1,2,0.08,30.4,46955,42000,0.89
2022,Lanús,28,26.4,2,0.09,28.8,47021,28000,0.6
2022,Godoy Cruz,28,24.5,3,0.14,28.0,42000,25000,0.6
2022,Argentinos Juniors,28,25.1,1,0.07,27.2,26000,22000,0.85
2022,Defensa y Justicia,28,24.9,2,0.1,26.4,20000,16000,0.8
2022,Newell's Old Boys,28,25.9,3,0.12,25.6,42000,35000,0.83
2022,Huracán,28,26.3,2,0.08,24.8,48314,30000,0.62
2022,Belgrano,28,26.0,2,0.09,24.0,35000,33000,0.94
2022,Tigre,28,26.2,1,0.06,20.8,26282,20000,0.76
2022,Banfield,28,25.5,1,0.07,20.0,34901,21000,0.6
2022,Gimnasia La Plata,28,25.7,2,0.08,19.2,21500,19000,0.88
2022,Platense,28,26.4,1,0.05,17.6,34530,18000,0.52
2022,Unión de Santa Fe,28,25.3,1,0.06,17.6,26000,22000,0.85
2022,Atlético Tucumán,28,27.1,1,0.05,16.8,35200,28000,0.8
2022,Instituto,28,26.0,1,0.05,16.0,26000,23000,0.88
