local_equipo,local_totalShots,local_shotsOnTarget,local_wonCorners,local_possessionPct,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_saves,local_blockedShots,visita_equipo,visita_totalShots,visita_shotsOnTarget,visita_wonCorners,visita_possessionPct,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_saves,visita_blockedShots,event_id,fecha,temporada
Rosario Central,16.0,5.0,3.0,50.8,17.0,3.0,0.0,1.0,3.0,6.0,Defensa y Justicia,10.0,3.0,6.0,49.2,20.0,3.0,0.0,1.0,2.0,2.0,590571,2021-01-02 17:30:00,2021
Boca Juniors,10.0,5.0,2.0,28.0,18.0,3.0,1.0,5.0,3.0,0.0,River Plate,12.0,5.0,4.0,72.0,17.0,2.0,1.0,3.0,3.0,3.0,590576,2021-01-02 21:30:00,2021
Independiente,24.0,6.0,7.0,56.2,12.0,3.0,1.0,0.0,4.0,7.0,Arsenal Sarandi,15.0,8.0,3.0,43.8,15.0,2.0,1.0,0.0,3.0,2.0,590568,2021-01-03 17:10:00,2021
Newell's Old Boys,16.0,7.0,4.0,45.2,19.0,2.0,0.0,3.0,1.0,3.0,Vélez Sarsfield,8.0,2.0,4.0,54.8,15.0,1.0,0.0,2.0,7.0,2.0,590578,2021-01-03 19:20:00,2021
Patronato,17.0,4.0,6.0,42.6,17.0,3.0,0.0,2.0,1.0,4.0,Lanús,12.0,2.0,6.0,57.4,9.0,3.0,0.0,1.0,3.0,3.0,590574,2021-01-03 19:20:00,2021
Central Córdoba (Santiago del Estero),17.0,9.0,3.0,34.7,11.0,1.0,0.0,3.0,3.0,3.0,Racing Club,14.0,5.0,4.0,65.3,10.0,1.0,0.0,3.0,7.0,4.0,590575,2021-01-03 21:30:00,2021
Aldosivi,12.0,3.0,7.0,60.4,19.0,2.0,0.0,3.0,1.0,2.0,Unión (Santa Fe),8.0,4.0,4.0,39.6,22.0,4.0,0.0,1.0,2.0,1.0,590577,2021-01-04 17:10:00,2021
San Lorenzo,15.0,5.0,9.0,55.2,14.0,1.0,1.0,1.0,4.0,6.0,Gimnasia La Plata,14.0,6.0,6.0,44.8,21.0,4.0,0.0,6.0,4.0,1.0,590573,2021-01-04 19:20:00,2021
Talleres (Córdoba),11.0,7.0,3.0,55.2,19.0,7.0,0.0,1.0,1.0,2.0,Banfield,14.0,3.0,8.0,44.8,9.0,1.0,1.0,3.0,4.0,4.0,590569,2021-01-04 21:30:00,2021
Godoy Cruz Antonio Tomba,13.0,4.0,3.0,36.6,11.0,3.0,0.0,1.0,1.0,1.0,Estudiantes de La Plata,14.0,1.0,7.0,63.4,15.0,3.0,0.0,1.0,3.0,5.0,590572,2021-01-05 19:20:00,2021
Huracán,8.0,1.0,4.0,51.1,11.0,1.0,0.0,1.0,2.0,1.0,Argentinos Juniors,11.0,3.0,0.0,48.9,17.0,2.0,0.0,1.0,0.0,3.0,590567,2021-01-05 19:20:00,2021
Atlético Tucumán,5.0,0.0,2.0,46.3,13.0,1.0,1.0,2.0,1.0,1.0,Colón (Santa Fe),9.0,4.0,6.0,53.7,17.0,3.0,0.0,2.0,0.0,1.0,590570,2021-01-05 21:30:00,2021
Lanús,13.0,7.0,1.0,51.9,9.0,0.0,0.0,4.0,8.0,1.0,Rosario Central,16.0,8.0,8.0,48.1,17.0,1.0,0.0,1.0,5.0,4.0,590564,2021-01-09 17:10:00,2021
Unión (Santa Fe),16.0,5.0,5.0,62.9,14.0,1.0,0.0,1.0,1.0,6.0,Patronato,10.0,2.0,4.0,37.1,11.0,2.0,0.0,2.0,4.0,2.0,590563,2021-01-09 17:10:00,2021
Racing Club,14.0,10.0,7.0,52.2,11.0,1.0,0.0,2.0,1.0,1.0,Newell's Old Boys,12.0,2.0,4.0,47.8,10.0,2.0,0.0,5.0,7.0,4.0,590562,2021-01-09 19:20:00,2021
Vélez Sarsfield,16.0,7.0,8.0,64.3,16.0,0.0,1.0,1.0,1.0,3.0,Godoy Cruz Antonio Tomba,9.0,3.0,2.0,35.7,21.0,2.0,1.0,0.0,4.0,1.0,590560,2021-01-09 19:20:00,2021
Argentinos Juniors,12.0,2.0,3.0,41.2,14.0,4.0,1.0,4.0,3.0,2.0,Boca Juniors,9.0,5.0,5.0,58.8,12.0,2.0,0.0,4.0,0.0,2.0,590557,2021-01-09 21:30:00,2021
River Plate,16.0,7.0,9.0,65.6,16.0,1.0,0.0,3.0,1.0,4.0,Independiente,7.0,3.0,2.0,34.4,15.0,1.0,0.0,3.0,6.0,0.0,590558,2021-01-09 21:30:00,2021
Arsenal Sarandi,27.0,8.0,6.0,56.8,11.0,3.0,0.0,0.0,4.0,9.0,Huracán,17.0,4.0,1.0,43.2,10.0,1.0,1.0,2.0,5.0,3.0,590561,2021-01-10 19:20:00,2021
Banfield,17.0,11.0,2.0,37.1,18.0,2.0,0.0,1.0,4.0,2.0,San Lorenzo,12.0,5.0,2.0,62.9,18.0,3.0,0.0,3.0,7.0,3.0,590565,2021-01-10 21:30:00,2021
Colón (Santa Fe),11.0,2.0,6.0,55.1,19.0,5.0,0.0,5.0,2.0,5.0,Talleres (Córdoba),15.0,5.0,6.0,44.9,8.0,2.0,0.0,2.0,1.0,4.0,590566,2021-01-10 21:30:00,2021
Gimnasia La Plata,15.0,5.0,8.0,56.4,8.0,7.0,0.0,4.0,3.0,1.0,Atlético Tucumán,14.0,4.0,4.0,43.6,17.0,4.0,0.0,1.0,6.0,4.0,590556,2021-01-10 21:30:00,2021
Estudiantes de La Plata,16.0,5.0,5.0,47.8,15.0,3.0,1.0,4.0,1.0,7.0,Central Córdoba (Santiago del Estero),6.0,3.0,7.0,52.2,14.0,2.0,0.0,2.0,4.0,2.0,590559,2021-01-11 21:30:00,2021
