id,name,norm_name,short_name,abbreviation,slug,color,alternate_color,logo,is_active
9739,Aldosivi,Aldosivi,Aldosivi,ALDO,arg.aldosivi,288A00,ffff00,https://a.espncdn.com/i/teamlogos/soccer/500-dark/9739.png,True
3,Argentinos Juniors,Argentinos Juniors,Argentinos ,ARGJ,arg.argentinos_juniors,C60000,0060f0,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3.png,True
9785,Atlético Tucumán,Atlético Tucumán,Atl Tucumán,CAT,arg.atltico_tucumn,0093EC,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/9785.png,True
235,Banfield,Banfield,Banfield,BAN,arg.banfield,288A00,1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500-dark/235.png,True
10060,Barracas Central,Barracas Central,Barracas,BAR,arg.barracas_central,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/10060.png,True
4,Belgrano (Córdoba),Belgrano,Belgrano ,BEL,arg.belgrano_de_cordoba,0060f0,1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500-dark/4.png,True
5,Boca Juniors,Boca Juniors,Boca ,CABJ,arg.boca_juniors,fcb000,0060f0,https://a.espncdn.com/i/teamlogos/soccer/500-dark/5.png,True
11989,Central Córdoba (Santiago del Estero),Central Córdoba,C. Córdoba (SE),CTR,arg.ctral._crdoba_se,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/11989.png,True
8950,Defensa y Justicia,Defensa y Justicia,Def. y Jus.,DYJ,arg.defensa_y_justicia,ffff00,288A00,https://a.espncdn.com/i/teamlogos/soccer/500-dark/8950.png,True
17702,Deportivo Riestra,Deportivo Riestra,Riestra,RIE,deportivo_riestra,212121,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/17702.png,True
8,Estudiantes de La Plata,Estudiantes de La Plata,Estudiantes,EST,arg.estudiantes_la_plata,C60000,288A00,https://a.espncdn.com/i/teamlogos/soccer/500-dark/8.png,True
19685,Estudiantes de Río Cuarto,Estudiantes de Río Cuarto,Estudiantes RC,AAE,estudiantes_de_ro_cuarto,008bd0,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/19685.png,True
11972,Gimnasia (Mendoza),Gimnasia Mendoza,Gimnasia (M),GMZ,arg.gimnasia_m,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/11972.png,True
9,Gimnasia La Plata,Gimnasia La Plata,Gimnasia LP,GLP,arg.gimnasia_la_plata,288A00,0060f0,https://a.espncdn.com/i/teamlogos/soccer/500-dark/9.png,True
10,Huracán,Huracán,Huracán ,HUR,arg.huracan,C60000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/10.png,True
11,Independiente,Independiente,Independiente,IND,arg.independiente,C60000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/11.png,True
9744,Independiente Rivadavia,Independiente Rivadavia,Ind. Rivadavia,RIV,arg.independiente_rivadavia,000061,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/9744.png,True
2975,Instituto (Córdoba),Instituto,Instituto,IACC,arg.instituto_de_cordoba,C60000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2975.png,True
12,Lanús,Lanús,Lanús ,LAN,arg.lanus,9f0000,1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500-dark/12.png,True
14,Newell's Old Boys,Newell's Old Boys,Newell's,NOB,arg.newells_old_boys,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/14.png,True
7764,Platense,Platense,Platense,PLA,betbrain.platense,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/7764.png,True
15,Racing Club,Racing Club,Racing ,RAC,arg.racing_club,409fff,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/15.png,True
16,River Plate,River Plate,River Plate,RIV,arg.river_plate,C60000,792DCD,https://a.espncdn.com/i/teamlogos/soccer/500-dark/16.png,True
17,Rosario Central,Rosario Central,Rosario Central,ROS,arg.rosario_central,ffff00,792DCD,https://a.espncdn.com/i/teamlogos/soccer/500-dark/17.png,True
18,San Lorenzo,San Lorenzo,San Lorenzo ,SLO,arg.san_lorenzo,0060f0,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/18.png,True
10158,Sarmiento (Junín),Sarmiento,Sarmiento (J),SARM,arg.sarmiento_de_junn,288A00,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/10158.png,True
19,Talleres (Córdoba),Talleres de Córdoba,Talleres ,TALL,arg.talleres_de_cordoba,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/19.png,True
7767,Tigre,Tigre,Tigre,TIG,arg.tigre,C60000,792DCD,https://a.espncdn.com/i/teamlogos/soccer/500-dark/7767.png,True
20,Unión (Santa Fe),Unión de Santa Fe,Unión (SF),USF,arg.union_de_santa_fe,C60000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/20.png,True
21,Vélez Sarsfield,Vélez Sarsfield,Vélez ,VEL,arg.velez_sarsfield,0070b0,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/21.png,True
