event_id,fecha,temporada,local_id,visita_id,local,visita,goles_local,goles_visita,estado
401841504,2026-08-14 20:30:00,2026,15,235,Racing Club,Banfield,,,pre
401841494,2026-08-15 14:30:00,2026,9739,7767,Aldosivi,Tigre,,,pre
401841502,2026-08-15 14:30:00,2026,18,20,San Lorenzo,Unión de Santa Fe,,,pre
401841499,2026-08-15 16:45:00,2026,8,9,Estudiantes de La Plata,Gimnasia La Plata,,,pre
401841506,2026-08-15 19:00:00,2026,14,17702,Newell's Old Boys,Deportivo Riestra,,,pre
401841496,2026-08-15 19:00:00,2026,4,9744,Belgrano,Independiente Rivadavia,,,pre
401841505,2026-08-15 21:15:00,2026,7764,5,Platense,Boca Juniors,,,pre
401841501,2026-08-16 15:00:00,2026,10158,10,Sarmiento,Huracán,,,pre
401841503,2026-08-16 18:00:00,2026,16,3,River Plate,Argentinos Juniors,,,pre
401841508,2026-08-16 20:15:00,2026,10060,17,Barracas Central,Rosario Central,,,pre
401841497,2026-08-16 20:15:00,2026,11989,2975,Central Córdoba,Instituto,,,pre
401841498,2026-08-17 14:45:00,2026,19685,9785,Estudiantes de Río Cuarto,Atlético Tucumán,,,pre
401841507,2026-08-17 17:00:00,2026,12,11,Lanús,Independiente,,,pre
401841495,2026-08-17 19:15:00,2026,21,8950,Vélez Sarsfield,Defensa y Justicia,,,pre
401841500,2026-08-17 21:30:00,2026,11972,19,Gimnasia Mendoza,Talleres de Córdoba,,,pre
401841522,2026-08-21 14:30:00,2026,9739,20,Aldosivi,Unión de Santa Fe,,,pre
401841511,2026-08-21 20:00:00,2026,19685,18,Estudiantes de Río Cuarto,San Lorenzo,,,pre
401841523,2026-08-22 16:00:00,2026,9785,2975,Atlético Tucumán,Instituto,,,pre
401841512,2026-08-22 16:00:00,2026,9,11972,Gimnasia La Plata,Gimnasia Mendoza,,,pre
401841514,2026-08-22 18:30:00,2026,11,9744,Independiente,Independiente Rivadavia,,,pre
401841513,2026-08-22 21:00:00,2026,10,17702,Huracán,Deportivo Riestra,,,pre
401841516,2026-08-22 21:00:00,2026,14,235,Newell's Old Boys,Banfield,,,pre
