event_id,fecha,temporada,local_id,visita_id,local,visita,goles_local,goles_visita,estado
590571,2021-01-02 17:30:00,2021,17,8950,Rosario Central,Defensa y Justicia,3.0,0.0,post
590576,2021-01-02 21:30:00,2021,5,16,Boca Juniors,River Plate,2.0,2.0,post
590568,2021-01-03 17:10:00,2021,11,2635,Independiente,Arsenal Sarandí,3.0,4.0,post
590578,2021-01-03 19:20:00,2021,14,21,Newell's Old Boys,Vélez Sarsfield,0.0,1.0,post
590574,2021-01-03 19:20:00,2021,10374,12,Patronato,Lanús,1.0,1.0,post
590575,2021-01-03 21:30:00,2021,11989,15,Central Córdoba,Racing Club,2.0,2.0,post
590577,2021-01-04 17:10:00,2021,9739,20,Aldosivi,Unión de Santa Fe,1.0,3.0,post
590573,2021-01-04 19:20:00,2021,18,9,San Lorenzo,Gimnasia La Plata,1.0,2.0,post
590569,2021-01-04 21:30:00,2021,19,235,Talleres de Córdoba,Banfield,3.0,2.0,post
590572,2021-01-05 19:20:00,2021,6756,8,Godoy Cruz,Estudiantes de La Plata,1.0,0.0,post
590567,2021-01-05 19:20:00,2021,10,3,Huracán,Argentinos Juniors,0.0,1.0,post
590570,2021-01-05 21:30:00,2021,9785,7,Atlético Tucumán,Colón de Santa Fe,0.0,2.0,post
590564,2021-01-09 17:10:00,2021,12,17,Lanús,Rosario Central,2.0,0.0,post
590563,2021-01-09 17:10:00,2021,20,10374,Unión de Santa Fe,Patronato,1.0,2.0,post
590562,2021-01-09 19:20:00,2021,15,14,Racing Club,Newell's Old Boys,3.0,1.0,post
590560,2021-01-09 19:20:00,2021,21,6756,Vélez Sarsfield,Godoy Cruz,3.0,2.0,post
590557,2021-01-09 21:30:00,2021,3,5,Argentinos Juniors,Boca Juniors,2.0,2.0,post
590558,2021-01-09 21:30:00,2021,16,11,River Plate,Independiente,0.0,2.0,post
590561,2021-01-10 19:20:00,2021,2635,10,Arsenal Sarandí,Huracán,1.0,0.0,post
590565,2021-01-10 21:30:00,2021,235,18,Banfield,San Lorenzo,4.0,1.0,post
590566,2021-01-10 21:30:00,2021,7,19,Colón de Santa Fe,Talleres de Córdoba,1.0,2.0,post
590556,2021-01-10 21:30:00,2021,9,9785,Gimnasia La Plata,Atlético Tucumán,0.0,1.0,post
590559,2021-01-11 21:30:00,2021,8,11989,Estudiantes de La Plata,Central Córdoba,1.0,2.0,post
590555,2021-01-14 17:45:00,2021,8950,9739,Defensa y Justicia,Aldosivi,4.0,4.0,post
592443,2021-01-16 22:10:00,2021,17,21,Rosario Central,Vélez Sarsfield,1.0,3.0,post
592392,2021-01-17 22:10:00,2021,235,5,Banfield,Boca Juniors,1.0,1.0,post
596394,2021-03-31 20:15:00,2021,21,235,Vélez Sarsfield,Banfield,2.0,3.0,post
610246,2021-07-16 19:00:00,2021,20,5,Unión de Santa Fe,Boca Juniors,1.0,1.0,post
610249,2021-07-16 21:15:00,2021,10158,8,Sarmiento,Estudiantes de La Plata,0.0,3.0,post
610250,2021-07-17 13:30:00,2021,9739,10374,Aldosivi,Patronato,0.0,2.0,post
610244,2021-07-17 15:45:00,2021,12,9785,Lanús,Atlético Tucumán,4.0,2.0,post
610255,2021-07-17 15:45:00,2021,14,19,Newell's Old Boys,Talleres de Córdoba,3.0,2.0,post
610251,2021-07-17 18:00:00,2021,9,7764,Gimnasia La Plata,Platense,2.0,2.0,post
610252,2021-07-17 20:15:00,2021,21,15,Vélez Sarsfield,Racing Club,0.0,0.0,post
610248,2021-07-18 13:30:00,2021,10,8950,Huracán,Defensa y Justicia,2.0,1.0,post
610254,2021-07-18 15:45:00,2021,2635,18,Arsenal Sarandí,San Lorenzo,1.0,1.0,post
610247,2021-07-18 18:00:00,2021,16,7,River Plate,Colón de Santa Fe,1.0,2.0,post
610243,2021-07-18 20:15:00,2021,11,3,Independiente,Argentinos Juniors,0.0,0.0,post
610245,2021-07-19 18:00:00,2021,11989,235,Central Córdoba,Banfield,1.0,1.0,post
610253,2021-07-19 20:15:00,2021,6756,17,Godoy Cruz,Rosario Central,2.0,1.0,post
610237,2021-07-23 19:00:00,2021,9785,10,Atlético Tucumán,Huracán,1.0,0.0,post
610230,2021-07-23 21:15:00,2021,7764,9739,Platense,Aldosivi,0.0,1.0,post
610238,2021-07-24 13:30:00,2021,7,12,Colón de Santa Fe,Lanús,1.0,4.0,post
610234,2021-07-24 15:45:00,2021,18,11989,San Lorenzo,Central Córdoba,1.0,0.0,post
610235,2021-07-24 18:00:00,2021,15,9,Racing Club,Gimnasia La Plata,0.0,0.0,post
610232,2021-07-24 20:15:00,2021,235,5,Banfield,Boca Juniors,0.0,0.0,post
610240,2021-07-25 13:30:00,2021,10374,10158,Patronato,Sarmiento,2.0,0.0,post
610236,2021-07-25 13:30:00,2021,8950,6756,Defensa y Justicia,Godoy Cruz,1.0,2.0,post
610242,2021-07-25 15:45:00,2021,17,21,Rosario Central,Vélez Sarsfield,1.0,0.0,post
610241,2021-07-25 18:00:00,2021,16,20,River Plate,Unión de Santa Fe,4.0,0.0,post
610233,2021-07-25 20:15:00,2021,8,11,Estudiantes de La Plata,Independiente,0.0,1.0,post
610231,2021-07-26 18:00:00,2021,19,2635,Talleres de Córdoba,Arsenal Sarandí,2.0,0.0,post
610239,2021-07-26 20:15:00,2021,3,14,Argentinos Juniors,Newell's Old Boys,1.0,0.0,post
610220,2021-07-27 16:30:00,2021,10,7,Huracán,Colón de Santa Fe,1.0,1.0,post
610225,2021-07-27 18:45:00,2021,9739,15,Aldosivi,Racing Club,0.0,2.0,post
610228,2021-07-27 21:00:00,2021,5,18,Boca Juniors,San Lorenzo,0.0,2.0,post
610219,2021-07-28 14:15:00,2021,20,235,Unión de Santa Fe,Banfield,0.0,1.0,post
610218,2021-07-28 14:15:00,2021,6756,9785,Godoy Cruz,Atlético Tucumán,1.0,2.0,post
610224,2021-07-28 16:30:00,2021,10158,7764,Sarmiento,Platense,1.0,0.0,post
610221,2021-07-28 16:30:00,2021,21,8950,Vélez Sarsfield,Defensa y Justicia,0.0,0.0,post
610223,2021-07-28 18:45:00,2021,11,10374,Independiente,Patronato,2.0,0.0,post
610226,2021-07-28 21:00:00,2021,12,16,Lanús,River Plate,0.0,3.0,post
610229,2021-07-29 14:15:00,2021,11989,19,Central Córdoba,Talleres de Córdoba,2.0,1.0,post
610217,2021-07-29 16:30:00,2021,2635,3,Arsenal Sarandí,Argentinos Juniors,1.0,0.0,post
610227,2021-07-29 18:45:00,2021,9,17,Gimnasia La Plata,Rosario Central,1.0,0.0,post
610222,2021-07-29 21:00:00,2021,14,8,Newell's Old Boys,Estudiantes de La Plata,4.0,2.0,post
610211,2021-07-31 13:30:00,2021,7,6756,Colón de Santa Fe,Godoy Cruz,1.0,0.0,post
610215,2021-07-31 15:45:00,2021,12,20,Lanús,Unión de Santa Fe,1.0,1.0,post
610214,2021-07-31 18:00:00,2021,15,10158,Racing Club,Sarmiento,1.0,0.0,post
610208,2021-07-31 20:15:00,2021,7764,11,Platense,Independiente,1.0,1.0,post
610210,2021-08-01 13:30:00,2021,8950,9,Defensa y Justicia,Gimnasia La Plata,3.0,2.0,post
610207,2021-08-01 15:45:00,2021,19,5,Talleres de Córdoba,Boca Juniors,0.0,0.0,post
610212,2021-08-01 18:00:00,2021,16,10,River Plate,Huracán,1.0,1.0,post
610206,2021-08-01 20:15:00,2021,18,235,San Lorenzo,Banfield,1.0,1.0,post
610209,2021-08-02 16:45:00,2021,3,11989,Argentinos Juniors,Central Córdoba,1.0,1.0,post
610213,2021-08-02 16:45:00,2021,10374,14,Patronato,Newell's Old Boys,0.0,0.0,post
610204,2021-08-02 19:00:00,2021,17,9739,Rosario Central,Aldosivi,1.0,2.0,post
610205,2021-08-02 19:00:00,2021,8,2635,Estudiantes de La Plata,Arsenal Sarandí,4.0,0.0,post
610216,2021-08-02 21:15:00,2021,9785,21,Atlético Tucumán,Vélez Sarsfield,0.0,0.0,post
610201,2021-08-06 19:00:00,2021,10158,17,Sarmiento,Rosario Central,1.0,0.0,post
610198,2021-08-06 21:15:00,2021,14,7764,Newell's Old Boys,Platense,1.0,0.0,post
610203,2021-08-07 13:30:00,2021,235,19,Banfield,Talleres de Córdoba,0.0,1.0,post
610202,2021-08-07 15:45:00,2021,20,18,Unión de Santa Fe,San Lorenzo,4.0,0.0,post
610196,2021-08-07 18:00:00,2021,10,12,Huracán,Lanús,0.0,1.0,post
610200,2021-08-07 20:15:00,2021,6756,16,Godoy Cruz,River Plate,2.0,1.0,post
610192,2021-08-08 13:30:00,2021,9,9785,Gimnasia La Plata,Atlético Tucumán,1.0,0.0,post
610193,2021-08-08 15:45:00,2021,21,7,Vélez Sarsfield,Colón de Santa Fe,0.0,1.0,post
610191,2021-08-08 18:00:00,2021,5,3,Boca Juniors,Argentinos Juniors,1.0,1.0,post
610199,2021-08-08 20:15:00,2021,11,15,Independiente,Racing Club,1.0,0.0,post
610194,2021-08-09 18:00:00,2021,9739,8950,Aldosivi,Defensa y Justicia,1.0,0.0,post
610197,2021-08-09 18:00:00,2021,2635,10374,Arsenal Sarandí,Patronato,2.0,2.0,post
610195,2021-08-09 20:15:00,2021,11989,8,Central Córdoba,Estudiantes de La Plata,1.0,2.0,post
610184,2021-08-13 19:00:00,2021,7,9,Colón de Santa Fe,Gimnasia La Plata,1.0,0.0,post
610189,2021-08-13 21:15:00,2021,10,20,Huracán,Unión de Santa Fe,0.0,0.0,post
610178,2021-08-14 13:30:00,2021,9785,9739,Atlético Tucumán,Aldosivi,2.0,2.0,post
610180,2021-08-14 15:45:00,2021,3,235,Argentinos Juniors,Banfield,2.0,0.0,post
610190,2021-08-14 18:00:00,2021,16,21,River Plate,Vélez Sarsfield,2.0,0.0,post
610182,2021-08-14 20:15:00,2021,17,11,Rosario Central,Independiente,1.0,2.0,post
610183,2021-08-15 13:30:00,2021,10374,11989,Patronato,Central Córdoba,1.0,0.0,post
610179,2021-08-15 15:45:00,2021,7764,2635,Platense,Arsenal Sarandí,2.0,1.0,post
610181,2021-08-15 18:00:00,2021,8,5,Estudiantes de La Plata,Boca Juniors,1.0,0.0,post
610186,2021-08-15 20:15:00,2021,15,14,Racing Club,Newell's Old Boys,2.0,0.0,post
610187,2021-08-16 18:00:00,2021,19,18,Talleres de Córdoba,San Lorenzo,2.0,0.0,post
610188,2021-08-16 20:15:00,2021,8950,10158,Defensa y Justicia,Sarmiento,4.0,2.0,post
610185,2021-08-16 21:45:00,2021,12,6756,Lanús,Godoy Cruz,3.0,1.0,post
610167,2021-08-20 16:45:00,2021,9739,7,Aldosivi,Colón de Santa Fe,3.0,0.0,post
610169,2021-08-20 19:00:00,2021,235,8,Banfield,Estudiantes de La Plata,1.0,1.0,post
610166,2021-08-20 19:00:00,2021,10158,9785,Sarmiento,Atlético Tucumán,3.0,0.0,post
610168,2021-08-20 21:15:00,2021,11,8950,Independiente,Defensa y Justicia,0.0,0.0,post
610173,2021-08-21 13:30:00,2021,11989,7764,Central Córdoba,Platense,2.0,2.0,post
610170,2021-08-21 13:30:00,2021,6756,10,Godoy Cruz,Huracán,1.0,1.0,post
610171,2021-08-21 15:45:00,2021,21,12,Vélez Sarsfield,Lanús,5.0,1.0,post
