temporada,equipo,squad_size,avg_age,foreigners,pct_foreigners,squad_value,stadium_capacity,avg_attendance,stadium_occupation
2020,RB Salzburg,28,23.2,20,0.71,134.3,30188,12000,0.3975
2020,SK Sturm Graz,28,24.8,15,0.54,51.4,16364,15000,0.9166
2020,Rapid Vienna,28,25.5,12,0.43,27.7,28000,19500,0.6964
2020,LASK Linz,28,25.8,13,0.46,27.7,19080,14000,0.7338
2020,Austria Vienna,28,25.2,13,0.46,19.8,17500,12500,0.7143
2020,Wolfsberger,28,26.0,11,0.39,12.6,7300,4000,0.5479
2020,TSV Hartberg,28,25.8,10,0.36,11.1,4635,3500,0.7551
2020,SK Austria Klagenfurt,28,26.0,11,0.39,9.5,30000,5500,0.1833
2020,SC Rheindorf Altach,28,26.2,13,0.46,8.7,8500,5000,0.5882
2020,FC Blau-Weiß Linz,28,26.5,11,0.39,8.7,5595,5200,0.9294
2020,WSG Swarovski Tirol,28,25.4,13,0.46,7.9,16008,3500,0.2186
2020,Grazer AK,28,25.8,11,0.39,7.9,16364,7500,0.4583
2020,Austria Lustenau,28,25.0,14,0.5,6.3,8800,4200,0.4773
2020,SV Josko Ried,28,25.5,10,0.36,6.3,7334,4500,0.6136
2020,FC Admira Wacker Modling,28,24.8,8,0.29,5.0,10600,2500,0.2358
2020,St. Pölten,28,25.0,8,0.29,5.0,8000,3000,0.375
2021,RB Salzburg,28,23.2,20,0.71,140.2,30188,12000,0.3975
2021,SK Sturm Graz,28,24.8,15,0.54,53.6,16364,15000,0.9166
2021,Rapid Vienna,28,25.5,12,0.43,28.9,28000,19500,0.6964
2021,LASK Linz,28,25.8,13,0.46,28.9,19080,14000,0.7338
2021,Austria Vienna,28,25.2,13,0.46,20.6,17500,12500,0.7143
2021,Wolfsberger,28,26.0,11,0.39,13.2,7300,4000,0.5479
2021,TSV Hartberg,28,25.8,10,0.36,11.5,4635,3500,0.7551
2021,SK Austria Klagenfurt,28,26.0,11,0.39,9.9,30000,5500,0.1833
2021,SC Rheindorf Altach,28,26.2,13,0.46,9.1,8500,5000,0.5882
2021,FC Blau-Weiß Linz,28,26.5,11,0.39,9.1,5595,5200,0.9294
2021,WSG Swarovski Tirol,28,25.4,13,0.46,8.2,16008,3500,0.2186
2021,Grazer AK,28,25.8,11,0.39,8.2,16364,7500,0.4583
2021,Austria Lustenau,28,25.0,14,0.5,6.6,8800,4200,0.4773
2021,SV Josko Ried,28,25.5,10,0.36,6.6,7334,4500,0.6136
2021,FC Admira Wacker Modling,28,24.8,8,0.29,5.0,10600,2500,0.2358
2021,St. Pölten,28,25.0,8,0.29,5.0,8000,3000,0.375
2022,RB Salzburg,28,23.2,20,0.71,146.2,30188,12000,0.3975
2022,SK Sturm Graz,28,24.8,15,0.54,55.9,16364,15000,0.9166
2022,Rapid Vienna,28,25.5,12,0.43,30.1,28000,19500,0.6964
2022,LASK Linz,28,25.8,13,0.46,30.1,19080,14000,0.7338
2022,Austria Vienna,28,25.2,13,0.46,21.5,17500,12500,0.7143
2022,Wolfsberger,28,26.0,11,0.39,13.8,7300,4000,0.5479
2022,TSV Hartberg,28,25.8,10,0.36,12.0,4635,3500,0.7551
2022,SK Austria Klagenfurt,28,26.0,11,0.39,10.3,30000,5500,0.1833
2022,SC Rheindorf Altach,28,26.2,13,0.46,9.5,8500,5000,0.5882
2022,FC Blau-Weiß Linz,28,26.5,11,0.39,9.5,5595,5200,0.9294
2022,WSG Swarovski Tirol,28,25.4,13,0.46,8.6,16008,3500,0.2186
2022,Grazer AK,28,25.8,11,0.39,8.6,16364,7500,0.4583
2022,Austria Lustenau,28,25.0,14,0.5,6.9,8800,4200,0.4773
2022,SV Josko Ried,28,25.5,10,0.36,6.9,7334,4500,0.6136
2022,FC Admira Wacker Modling,28,24.8,8,0.29,5.2,10600,2500,0.2358
2022,St. Pölten,28,25.0,8,0.29,5.2,8000,3000,0.375
2023,RB Salzburg,28,23.2,20,0.71,152.2,30188,12000,0.3975
2023,SK Sturm Graz,28,24.8,15,0.54,58.2,16364,15000,0.9166
2023,Rapid Vienna,28,25.5,12,0.43,31.3,28000,19500,0.6964
2023,LASK Linz,28,25.8,13,0.46,31.3,19080,14000,0.7338
2023,Austria Vienna,28,25.2,13,0.46,22.4,17500,12500,0.7143
2023,Wolfsberger,28,26.0,11,0.39,14.3,7300,4000,0.5479
2023,TSV Hartberg,28,25.8,10,0.36,12.5,4635,3500,0.7551
2023,SK Austria Klagenfurt,28,26.0,11,0.39,10.7,30000,5500,0.1833
2023,SC Rheindorf Altach,28,26.2,13,0.46,9.8,8500,5000,0.5882
2023,FC Blau-Weiß Linz,28,26.5,11,0.39,9.8,5595,5200,0.9294
2023,WSG Swarovski Tirol,28,25.4,13,0.46,8.9,16008,3500,0.2186
2023,Grazer AK,28,25.8,11,0.39,8.9,16364,7500,0.4583
2023,Austria Lustenau,28,25.0,14,0.5,7.2,8800,4200,0.4773
2023,SV Josko Ried,28,25.5,10,0.36,7.2,7334,4500,0.6136
2023,FC Admira Wacker Modling,28,24.8,8,0.29,5.4,10600,2500,0.2358
2023,St. Pölten,28,25.0,8,0.29,5.4,8000,3000,0.375
2024,RB Salzburg,28,23.2,20,0.71,158.1,30188,12000,0.3975
