local_equipo,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_wonCorners,local_saves,local_possessionPct,local_totalShots,local_shotsOnTarget,local_shotPct,local_penaltyKickGoals,local_penaltyKickShots,local_accuratePasses,local_totalPasses,local_passPct,local_accurateCrosses,local_totalCrosses,local_crossPct,local_totalLongBalls,local_accurateLongBalls,local_longballPct,local_blockedShots,local_effectiveTackles,local_totalTackles,local_tacklePct,local_interceptions,local_effectiveClearance,local_totalClearance,visita_equipo,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_wonCorners,visita_saves,visita_possessionPct,visita_totalShots,visita_shotsOnTarget,visita_shotPct,visita_penaltyKickGoals,visita_penaltyKickShots,visita_accuratePasses,visita_totalPasses,visita_passPct,visita_accurateCrosses,visita_totalCrosses,visita_crossPct,visita_totalLongBalls,visita_accurateLongBalls,visita_longballPct,visita_blockedShots,visita_effectiveTackles,visita_totalTackles,visita_tacklePct,visita_interceptions,visita_effectiveClearance,visita_totalClearance,event_id,fecha,temporada
Wolfsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SK Sturm Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578164,2021-01-17 16:00:00,2021
Rapid Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SK Sturm Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578128,2021-01-22 18:00:00,2021
Wolfsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSV Hartberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578129,2021-01-23 16:00:00,2021
SV Josko Ried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austria Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578126,2021-01-23 16:00:00,2021
St. Pölten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Admira Wacker Modling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578125,2021-01-23 16:00:00,2021
SC Rheindorf Altach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RB Salzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578127,2021-01-24 13:30:00,2021
LASK Linz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSG Swarovski Tirol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578130,2021-01-24 16:00:00,2021
FC Admira Wacker Modling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austria Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578119,2021-01-26 17:30:00,2021
SK Sturm Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSV Hartberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578124,2021-01-26 17:30:00,2021
RB Salzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SV Josko Ried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578122,2021-01-27 17:30:00,2021
Rapid Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Pölten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578123,2021-01-27 17:30:00,2021
WSG Swarovski Tirol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC Rheindorf Altach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578121,2021-01-27 17:30:00,2021
Wolfsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LASK Linz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578120,2021-01-27 19:30:00,2021
SV Josko Ried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Admira Wacker Modling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578113,2021-01-30 16:00:00,2021
TSV Hartberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RB Salzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578115,2021-01-30 16:00:00,2021
SC Rheindorf Altach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SK Sturm Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578116,2021-01-30 16:00:00,2021
Austria Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSG Swarovski Tirol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578117,2021-01-31 13:30:00,2021
St. Pölten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolfsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578118,2021-01-31 13:30:00,2021
LASK Linz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rapid Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578114,2021-01-31 16:00:00,2021
SK Sturm Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SV Josko Ried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578110,2021-02-09 17:30:00,2021
Rapid Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolfsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578112,2021-02-09 19:30:00,2021
FC Admira Wacker Modling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC Rheindorf Altach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578109,2021-02-10 17:30:00,2021
St. Pölten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LASK Linz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578108,2021-02-10 17:30:00,2021
RB Salzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austria Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578107,2021-02-10 19:30:00,2021
SC Rheindorf Altach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rapid Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578102,2021-02-13 16:00:00,2021
WSG Swarovski Tirol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RB Salzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578103,2021-02-13 16:00:00,2021
Wolfsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Admira Wacker Modling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578101,2021-02-13 16:00:00,2021
Austria Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSV Hartberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578106,2021-02-14 13:30:00,2021
SV Josko Ried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Pölten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578105,2021-02-14 13:30:00,2021
LASK Linz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SK Sturm Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578104,2021-02-14 16:00:00,2021
TSV Hartberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SV Josko Ried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578098,2021-02-20 16:00:00,2021
WSG Swarovski Tirol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Pölten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578099,2021-02-20 16:00:00,2021
Austria Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC Rheindorf Altach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578097,2021-02-20 16:00:00,2021
SK Sturm Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolfsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578100,2021-02-21 13:30:00,2021
FC Admira Wacker Modling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LASK Linz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578095,2021-02-21 13:30:00,2021
RB Salzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rapid Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578096,2021-02-21 16:00:00,2021
TSV Hartberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSG Swarovski Tirol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578111,2021-02-23 17:30:00,2021
FC Admira Wacker Modling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSG Swarovski Tirol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578094,2021-02-27 16:00:00,2021
LASK Linz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSV Hartberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578093,2021-02-27 16:00:00,2021
Rapid Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SV Josko Ried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578092,2021-02-27 16:00:00,2021
St. Pölten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austria Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578089,2021-02-28 13:30:00,2021
Wolfsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC Rheindorf Altach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578091,2021-02-28 13:30:00,2021
SK Sturm Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RB Salzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578090,2021-02-28 16:00:00,2021
WSG Swarovski Tirol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SK Sturm Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578086,2021-03-06 16:00:00,2021
SC Rheindorf Altach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LASK Linz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578084,2021-03-06 16:00:00,2021
TSV Hartberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Admira Wacker Modling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578083,2021-03-06 16:00:00,2021
SV Josko Ried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolfsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578088,2021-03-07 13:30:00,2021
RB Salzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Pölten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578087,2021-03-07 13:30:00,2021
Austria Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rapid Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578085,2021-03-07 16:00:00,2021
RB Salzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Admira Wacker Modling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578077,2021-03-13 16:00:00,2021
Wolfsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSG Swarovski Tirol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578082,2021-03-14 16:00:00,2021
Rapid Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSV Hartberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578081,2021-03-14 16:00:00,2021
SV Josko Ried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LASK Linz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578079,2021-03-14 16:00:00,2021
St. Pölten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC Rheindorf Altach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578080,2021-03-14 16:00:00,2021
SK Sturm Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austria Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578078,2021-03-14 16:00:00,2021
LASK Linz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RB Salzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578072,2021-03-20 16:00:00,2021
WSG Swarovski Tirol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rapid Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578071,2021-03-21 16:00:00,2021
FC Admira Wacker Modling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SK Sturm Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578073,2021-03-21 16:00:00,2021
