id,name,norm_name,short_name,abbreviation,slug,color,alternate_color,logo,is_active
21540,Austria Lustenau,Austria Lustenau,Austria Lustenau,ALU,austrialu,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/21540.png,True
1382,Austria Vienna,Austria Vienna,Vienna,VIE,aut.austria_vienna,745692,1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500-dark/1382.png,True
11485,FC Admira Wacker Modling,FC Admira Wacker Modling,Admira Wacker,ADM,,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/11485.png,True
21950,FC Blau-Weiß Linz,FC Blau-Weiß Linz,BW Linz,BWL,,163277,05070C,https://a.espncdn.com/i/teamlogos/soccer/500/21950.png,True
21846,Grazer AK,Grazer AK,Grazer,GRA,grazer_ak,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/21846.png,True
4411,LASK Linz,LASK Linz,LASK Linz,LAS,aut.lask_linz,ffffff,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/4411.png,True
2790,RB Salzburg,RB Salzburg,RB Salzburg,SLZ,aut.sv_salzburg,d82c3a,052a87,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2790.png,True
519,Rapid Vienna,Rapid Vienna,Rapid Vienna,VIE,aut.rapid_vienna,2b6a36,dc1f26,https://a.espncdn.com/i/teamlogos/soccer/500-dark/519.png,True
4405,SC Rheindorf Altach,SC Rheindorf Altach,SC Rheindorf,SCR,aut.sc_rheindorf_altach,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/4405.png,True
20966,SK Austria Klagenfurt,SK Austria Klagenfurt,Klagenfurt,AKL,,800080,FFD700,https://a.espncdn.com/i/teamlogos/soccer/500/20966.png,True
3746,SK Sturm Graz,SK Sturm Graz,Sturm Graz,STG,aut.sk_sturm_graz,ffffff,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3746.png,True
3759,SV Josko Ried,SV Josko Ried,SV Josko Ried,SJR,aut.sv_josko_ried,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3759.png,True
17519,St. Pölten,St. Pölten,St. Pölten,SKN,,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/17519.png,True
6907,TSV Hartberg,TSV Hartberg,TSV Hartberg,HAR,aut.tsv_hartberg,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/6907.png,True
18794,WSG Swarovski Tirol,WSG Swarovski Tirol,Swarovski Tirol,WST,wsg_swarovski_wattens,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/18794.png,True
13294,Wolfsberger,Wolfsberger,Wolfsberger,WOL,aut.wolfsberger_ac,1a1a1a,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/13294.png,True
