event_id,fecha,temporada,local_id,visita_id,local,visita,goles_local,goles_visita,estado,status_name
401881788,2026-09-13 14:30:00,2026,1382,21540,Austria Vienna,Austria Lustenau,,,pre,STATUS_SCHEDULED
401881786,2026-09-13 14:30:00,2026,18794,6907,WSG Swarovski Tirol,TSV Hartberg,,,pre,STATUS_SCHEDULED
401881791,2026-09-13 17:00:00,2026,3746,4411,SK Sturm Graz,LASK Linz,,,pre,STATUS_SCHEDULED
401881784,2026-09-18 19:30:00,2026,519,18794,Rapid Vienna,WSG Swarovski Tirol,,,pre,STATUS_SCHEDULED
401881780,2026-09-19 17:00:00,2026,21540,4405,Austria Lustenau,SC Rheindorf Altach,,,pre,STATUS_SCHEDULED
401881781,2026-09-19 19:30:00,2026,21846,1382,Grazer AK,Austria Vienna,,,pre,STATUS_SCHEDULED
401881782,2026-09-20 14:30:00,2026,3759,13294,SV Josko Ried,Wolfsberger,,,pre,STATUS_SCHEDULED
401881783,2026-09-20 14:30:00,2026,6907,4411,TSV Hartberg,LASK Linz,,,pre,STATUS_SCHEDULED
401881785,2026-09-20 17:00:00,2026,2790,3746,RB Salzburg,SK Sturm Graz,,,pre,STATUS_SCHEDULED
401881776,2026-10-10 17:00:00,2026,21846,2790,Grazer AK,RB Salzburg,,,pre,STATUS_SCHEDULED
401881774,2026-10-10 17:00:00,2026,18794,3759,WSG Swarovski Tirol,SV Josko Ried,,,pre,STATUS_SCHEDULED
401881777,2026-10-10 19:30:00,2026,1382,3746,Austria Vienna,SK Sturm Graz,,,pre,STATUS_SCHEDULED
401881775,2026-10-11 14:30:00,2026,4405,13294,SC Rheindorf Altach,Wolfsberger,,,pre,STATUS_SCHEDULED
401881778,2026-10-11 14:30:00,2026,6907,21540,TSV Hartberg,Austria Lustenau,,,pre,STATUS_SCHEDULED
401881779,2026-10-11 17:00:00,2026,4411,519,LASK Linz,Rapid Vienna,,,pre,STATUS_SCHEDULED
401881771,2026-10-16 19:30:00,2026,519,6907,Rapid Vienna,TSV Hartberg,,,pre,STATUS_SCHEDULED
401881768,2026-10-17 17:00:00,2026,21540,4411,Austria Lustenau,LASK Linz,,,pre,STATUS_SCHEDULED
401881770,2026-10-17 19:30:00,2026,3759,1382,SV Josko Ried,Austria Vienna,,,pre,STATUS_SCHEDULED
401881772,2026-10-18 14:30:00,2026,2790,4405,RB Salzburg,SC Rheindorf Altach,,,pre,STATUS_SCHEDULED
401881769,2026-10-18 14:30:00,2026,13294,18794,Wolfsberger,WSG Swarovski Tirol,,,pre,STATUS_SCHEDULED
401881773,2026-10-18 17:00:00,2026,3746,21846,SK Sturm Graz,Grazer AK,,,pre,STATUS_SCHEDULED
401881763,2026-10-23 19:30:00,2026,4405,1382,SC Rheindorf Altach,Austria Vienna,,,pre,STATUS_SCHEDULED
401881762,2026-10-24 17:00:00,2026,18794,21846,WSG Swarovski Tirol,Grazer AK,,,pre,STATUS_SCHEDULED
401881765,2026-10-24 19:30:00,2026,519,21540,Rapid Vienna,Austria Lustenau,,,pre,STATUS_SCHEDULED
401881767,2026-10-25 14:30:00,2026,3746,3759,SK Sturm Graz,SV Josko Ried,,,pre,STATUS_SCHEDULED
401881764,2026-10-25 14:30:00,2026,6907,13294,TSV Hartberg,Wolfsberger,,,pre,STATUS_SCHEDULED
401881766,2026-10-25 17:00:00,2026,4411,2790,LASK Linz,RB Salzburg,,,pre,STATUS_SCHEDULED
401881757,2026-10-30 19:30:00,2026,21846,6907,Grazer AK,TSV Hartberg,,,pre,STATUS_SCHEDULED
401881756,2026-10-31 17:00:00,2026,4405,3759,SC Rheindorf Altach,SV Josko Ried,,,pre,STATUS_SCHEDULED
401881760,2026-10-31 19:30:00,2026,4411,18794,LASK Linz,WSG Swarovski Tirol,,,pre,STATUS_SCHEDULED
401881761,2026-11-01 14:30:00,2026,2790,21540,RB Salzburg,Austria Lustenau,,,pre,STATUS_SCHEDULED
401881759,2026-11-01 14:30:00,2026,13294,3746,Wolfsberger,SK Sturm Graz,,,pre,STATUS_SCHEDULED
401881758,2026-11-01 17:00:00,2026,1382,519,Austria Vienna,Rapid Vienna,,,pre,STATUS_SCHEDULED
401881754,2026-11-06 19:30:00,2026,519,13294,Rapid Vienna,Wolfsberger,,,pre,STATUS_SCHEDULED
401881750,2026-11-07 17:00:00,2026,21540,21846,Austria Lustenau,Grazer AK,,,pre,STATUS_SCHEDULED
401881752,2026-11-07 19:30:00,2026,3759,4411,SV Josko Ried,LASK Linz,,,pre,STATUS_SCHEDULED
401881753,2026-11-08 14:30:00,2026,6907,4405,TSV Hartberg,SC Rheindorf Altach,,,pre,STATUS_SCHEDULED
401881751,2026-11-08 14:30:00,2026,18794,1382,WSG Swarovski Tirol,Austria Vienna,,,pre,STATUS_SCHEDULED
401881755,2026-11-08 17:00:00,2026,3746,2790,SK Sturm Graz,RB Salzburg,,,pre,STATUS_SCHEDULED
401881749,2026-11-21 17:00:00,2026,4411,6907,LASK Linz,TSV Hartberg,,,pre,STATUS_SCHEDULED
401881744,2026-11-21 17:00:00,2026,18794,21540,WSG Swarovski Tirol,Austria Lustenau,,,pre,STATUS_SCHEDULED
401881746,2026-11-21 19:30:00,2026,21846,519,Grazer AK,Rapid Vienna,,,pre,STATUS_SCHEDULED
401881745,2026-11-22 14:30:00,2026,4405,3746,SC Rheindorf Altach,SK Sturm Graz,,,pre,STATUS_SCHEDULED
401881748,2026-11-22 14:30:00,2026,13294,3759,Wolfsberger,SV Josko Ried,,,pre,STATUS_SCHEDULED
401881747,2026-11-22 17:00:00,2026,1382,2790,Austria Vienna,RB Salzburg,,,pre,STATUS_SCHEDULED
401881739,2026-11-27 19:30:00,2026,21846,4405,Grazer AK,SC Rheindorf Altach,,,pre,STATUS_SCHEDULED
401881740,2026-11-28 17:00:00,2026,1382,13294,Austria Vienna,Wolfsberger,,,pre,STATUS_SCHEDULED
401881738,2026-11-28 19:30:00,2026,21540,519,Austria Lustenau,Rapid Vienna,,,pre,STATUS_SCHEDULED
401881743,2026-11-29 14:30:00,2026,3746,18794,SK Sturm Graz,WSG Swarovski Tirol,,,pre,STATUS_SCHEDULED
401881741,2026-11-29 14:30:00,2026,3759,6907,SV Josko Ried,TSV Hartberg,,,pre,STATUS_SCHEDULED
