event_id,fecha,temporada,local_id,visita_id,local,visita,goles_local,goles_visita,estado,status_name
578164,2021-01-17 17:00:00,2021,13294,3746,Wolfsberger,SK Sturm Graz,0,0,post,STATUS_FULL_TIME
578128,2021-01-22 19:00:00,2021,519,3746,Rapid Vienna,SK Sturm Graz,4,1,post,STATUS_FULL_TIME
578125,2021-01-23 17:00:00,2021,17519,11485,St. Pölten,FC Admira Wacker Modling,2,2,post,STATUS_FULL_TIME
578126,2021-01-23 17:00:00,2021,3759,1382,SV Josko Ried,Austria Vienna,0,1,post,STATUS_FULL_TIME
578129,2021-01-23 17:00:00,2021,13294,6907,Wolfsberger,TSV Hartberg,0,0,post,STATUS_FULL_TIME
578127,2021-01-24 14:30:00,2021,4405,2790,SC Rheindorf Altach,RB Salzburg,0,2,post,STATUS_FULL_TIME
578130,2021-01-24 17:00:00,2021,4411,18794,LASK Linz,WSG Swarovski Tirol,2,4,post,STATUS_FULL_TIME
578119,2021-01-26 18:30:00,2021,11485,1382,FC Admira Wacker Modling,Austria Vienna,0,4,post,STATUS_FULL_TIME
578124,2021-01-26 18:30:00,2021,3746,6907,SK Sturm Graz,TSV Hartberg,2,1,post,STATUS_FULL_TIME
578123,2021-01-27 18:30:00,2021,519,17519,Rapid Vienna,St. Pölten,2,1,post,STATUS_FULL_TIME
578122,2021-01-27 18:30:00,2021,2790,3759,RB Salzburg,SV Josko Ried,3,0,post,STATUS_FULL_TIME
578121,2021-01-27 18:30:00,2021,18794,4405,WSG Swarovski Tirol,SC Rheindorf Altach,3,1,post,STATUS_FULL_TIME
578120,2021-01-27 20:30:00,2021,13294,4411,Wolfsberger,LASK Linz,0,3,post,STATUS_FULL_TIME
578116,2021-01-30 17:00:00,2021,4405,3746,SC Rheindorf Altach,SK Sturm Graz,2,1,post,STATUS_FULL_TIME
578113,2021-01-30 17:00:00,2021,3759,11485,SV Josko Ried,FC Admira Wacker Modling,0,0,post,STATUS_FULL_TIME
578115,2021-01-30 17:00:00,2021,6907,2790,TSV Hartberg,RB Salzburg,0,3,post,STATUS_FULL_TIME
578118,2021-01-31 14:30:00,2021,17519,13294,St. Pölten,Wolfsberger,0,2,post,STATUS_FULL_TIME
578117,2021-01-31 14:30:00,2021,1382,18794,Austria Vienna,WSG Swarovski Tirol,2,2,post,STATUS_FULL_TIME
578114,2021-01-31 17:00:00,2021,4411,519,LASK Linz,Rapid Vienna,1,2,post,STATUS_FULL_TIME
578110,2021-02-09 18:30:00,2021,3746,3759,SK Sturm Graz,SV Josko Ried,2,1,post,STATUS_FULL_TIME
578112,2021-02-09 20:30:00,2021,519,13294,Rapid Vienna,Wolfsberger,1,0,post,STATUS_FULL_TIME
578109,2021-02-10 18:30:00,2021,11485,4405,FC Admira Wacker Modling,SC Rheindorf Altach,3,1,post,STATUS_FULL_TIME
578108,2021-02-10 18:30:00,2021,17519,4411,St. Pölten,LASK Linz,1,3,post,STATUS_FULL_TIME
578107,2021-02-10 20:30:00,2021,2790,1382,RB Salzburg,Austria Vienna,3,1,post,STATUS_FULL_TIME
578103,2021-02-13 17:00:00,2021,18794,2790,WSG Swarovski Tirol,RB Salzburg,2,4,post,STATUS_FULL_TIME
578102,2021-02-13 17:00:00,2021,4405,519,SC Rheindorf Altach,Rapid Vienna,0,0,post,STATUS_FULL_TIME
578101,2021-02-13 17:00:00,2021,13294,11485,Wolfsberger,FC Admira Wacker Modling,2,1,post,STATUS_FULL_TIME
578106,2021-02-14 14:30:00,2021,1382,6907,Austria Vienna,TSV Hartberg,0,1,post,STATUS_FULL_TIME
578105,2021-02-14 14:30:00,2021,3759,17519,SV Josko Ried,St. Pölten,1,1,post,STATUS_FULL_TIME
578104,2021-02-14 17:00:00,2021,4411,3746,LASK Linz,SK Sturm Graz,2,0,post,STATUS_FULL_TIME
578097,2021-02-20 17:00:00,2021,1382,4405,Austria Vienna,SC Rheindorf Altach,5,1,post,STATUS_FULL_TIME
578098,2021-02-20 17:00:00,2021,6907,3759,TSV Hartberg,SV Josko Ried,1,1,post,STATUS_FULL_TIME
578099,2021-02-20 17:00:00,2021,18794,17519,WSG Swarovski Tirol,St. Pölten,0,1,post,STATUS_FULL_TIME
578100,2021-02-21 14:30:00,2021,3746,13294,SK Sturm Graz,Wolfsberger,1,2,post,STATUS_FULL_TIME
578095,2021-02-21 14:30:00,2021,11485,4411,FC Admira Wacker Modling,LASK Linz,1,2,post,STATUS_FULL_TIME
578096,2021-02-21 17:00:00,2021,2790,519,RB Salzburg,Rapid Vienna,4,2,post,STATUS_FULL_TIME
578111,2021-02-23 18:30:00,2021,6907,18794,TSV Hartberg,WSG Swarovski Tirol,1,0,post,STATUS_FULL_TIME
578094,2021-02-27 17:00:00,2021,11485,18794,FC Admira Wacker Modling,WSG Swarovski Tirol,1,1,post,STATUS_FULL_TIME
578093,2021-02-27 17:00:00,2021,4411,6907,LASK Linz,TSV Hartberg,1,2,post,STATUS_FULL_TIME
578092,2021-02-27 17:00:00,2021,519,3759,Rapid Vienna,SV Josko Ried,1,0,post,STATUS_FULL_TIME
578089,2021-02-28 14:30:00,2021,17519,1382,St. Pölten,Austria Vienna,0,2,post,STATUS_FULL_TIME
578091,2021-02-28 14:30:00,2021,13294,4405,Wolfsberger,SC Rheindorf Altach,0,1,post,STATUS_FULL_TIME
