temporada,equipo,squad_value
2020,RB Salzburg,134.3
2020,SK Sturm Graz,51.4
2020,Rapid Vienna,27.7
2020,LASK Linz,27.7
2020,Austria Vienna,19.8
2020,Wolfsberger,12.6
2020,TSV Hartberg,11.1
2020,SK Austria Klagenfurt,9.5
2020,SC Rheindorf Altach,8.7
2020,FC Blau-Weiß Linz,8.7
2020,WSG Swarovski Tirol,7.9
2020,Grazer AK,7.9
2020,Austria Lustenau,6.3
2020,SV Josko Ried,6.3
2020,FC Admira Wacker Modling,5.0
2020,St. Pölten,5.0
2021,RB Salzburg,140.2
2021,SK Sturm Graz,53.6
2021,Rapid Vienna,28.9
2021,LASK Linz,28.9
2021,Austria Vienna,20.6
2021,Wolfsberger,13.2
2021,TSV Hartberg,11.5
2021,SK Austria Klagenfurt,9.9
2021,SC Rheindorf Altach,9.1
2021,FC Blau-Weiß Linz,9.1
2021,WSG Swarovski Tirol,8.2
2021,Grazer AK,8.2
2021,Austria Lustenau,6.6
2021,SV Josko Ried,6.6
2021,FC Admira Wacker Modling,5.0
2021,St. Pölten,5.0
2022,RB Salzburg,146.2
2022,SK Sturm Graz,55.9
2022,Rapid Vienna,30.1
2022,LASK Linz,30.1
2022,Austria Vienna,21.5
2022,Wolfsberger,13.8
2022,TSV Hartberg,12.0
2022,SK Austria Klagenfurt,10.3
2022,SC Rheindorf Altach,9.5
2022,FC Blau-Weiß Linz,9.5
2022,WSG Swarovski Tirol,8.6
2022,Grazer AK,8.6
2022,Austria Lustenau,6.9
2022,SV Josko Ried,6.9
2022,FC Admira Wacker Modling,5.2
2022,St. Pölten,5.2
2023,RB Salzburg,152.2
2023,SK Sturm Graz,58.2
2023,Rapid Vienna,31.3
2023,LASK Linz,31.3
2023,Austria Vienna,22.4
2023,Wolfsberger,14.3
2023,TSV Hartberg,12.5
2023,SK Austria Klagenfurt,10.7
2023,SC Rheindorf Altach,9.8
2023,FC Blau-Weiß Linz,9.8
2023,WSG Swarovski Tirol,8.9
2023,Grazer AK,8.9
2023,Austria Lustenau,7.2
2023,SV Josko Ried,7.2
2023,FC Admira Wacker Modling,5.4
2023,St. Pölten,5.4
2024,RB Salzburg,158.1
2024,SK Sturm Graz,60.4
2024,Rapid Vienna,32.5
2024,LASK Linz,32.5
2024,Austria Vienna,23.2
2024,Wolfsberger,14.9
2024,TSV Hartberg,13.0
2024,SK Austria Klagenfurt,11.2
2024,SC Rheindorf Altach,10.2
2024,FC Blau-Weiß Linz,10.2
2024,WSG Swarovski Tirol,9.3
2024,Grazer AK,9.3
2024,Austria Lustenau,7.4
2024,SV Josko Ried,7.4
2024,FC Admira Wacker Modling,5.6
2024,St. Pölten,5.6
2025,RB Salzburg,164.0
2025,SK Sturm Graz,62.7
2025,Rapid Vienna,33.8
2025,LASK Linz,33.8
2025,Austria Vienna,24.1
2025,Wolfsberger,15.4
2025,TSV Hartberg,13.5
2025,SK Austria Klagenfurt,11.6
2025,SC Rheindorf Altach,10.6
2025,FC Blau-Weiß Linz,10.6
2025,WSG Swarovski Tirol,9.7
2025,Grazer AK,9.7
2025,Austria Lustenau,7.7
2025,SV Josko Ried,7.7
2025,FC Admira Wacker Modling,5.8
2025,St. Pölten,5.8
2026,RB Salzburg,170.0
2026,SK Sturm Graz,65.0
2026,Rapid Vienna,35.0
2026,LASK Linz,35.0
2026,Austria Vienna,25.0
2026,Wolfsberger,16.0
2026,TSV Hartberg,14.0
2026,SK Austria Klagenfurt,12.0
2026,SC Rheindorf Altach,11.0
2026,FC Blau-Weiß Linz,11.0
2026,WSG Swarovski Tirol,10.0
2026,Grazer AK,10.0
2026,Austria Lustenau,8.0
2026,SV Josko Ried,8.0
2026,FC Admira Wacker Modling,6.0
2026,St. Pölten,6.0
2027,RB Salzburg,175.9
2027,SK Sturm Graz,67.3
2027,Rapid Vienna,36.2
2027,LASK Linz,36.2
2027,Austria Vienna,25.9
2027,Wolfsberger,16.6
2027,TSV Hartberg,14.5
2027,SK Austria Klagenfurt,12.4
2027,SC Rheindorf Altach,11.4
2027,FC Blau-Weiß Linz,11.4
2027,WSG Swarovski Tirol,10.3
2027,Grazer AK,10.3
2027,Austria Lustenau,8.3
2027,SV Josko Ried,8.3
2027,FC Admira Wacker Modling,6.2
2027,St. Pölten,6.2
