temporada,equipo,squad_size,avg_age,foreigners,pct_foreigners,squad_value,stadium_capacity,avg_attendance,stadium_occupation
2020,Club Brugge,28,24.8,18,0.64,110.6,29062,24000,0.8258
2020,Anderlecht,28,24.6,16,0.57,86.9,22500,20500,0.9111
2020,Genk,28,24.2,17,0.61,79.0,23718,19000,0.8011
2020,Union Saint-Gilloise,28,25.4,20,0.71,71.1,9400,8500,0.9043
2020,Gent,28,25.2,16,0.57,67.2,20000,17500,0.875
2020,Antwerp,28,25.8,15,0.54,59.2,16144,14500,0.8982
2020,Cercle Brugge,28,23.9,17,0.61,43.5,29062,6500,0.2237
2020,Standard Liège,28,25.5,15,0.54,39.5,30023,21000,0.6995
2020,KV Mechelen,28,25.6,13,0.46,31.6,16672,13500,0.8097
2020,KVC Westerlo,28,24.5,16,0.57,30.0,8035,6500,0.809
2020,Sint-Truiden,28,25.2,15,0.54,27.7,14600,7500,0.5137
2020,Charleroi,28,25.9,17,0.61,27.7,15000,9000,0.6
2020,OH Leuven,28,25.4,15,0.54,25.3,10020,7200,0.7186
2020,KV Kortrijk,28,25.8,14,0.5,17.4,9399,7000,0.7448
2020,Dender,28,26.2,11,0.39,14.2,6429,5000,0.7777
2020,Beerschot,28,25.5,13,0.46,11.9,12771,7500,0.5873
2020,Eupen,28,25.0,18,0.64,11.1,8363,4000,0.4783
2020,RWDM,28,25.2,17,0.61,11.1,12266,6500,0.5299
2020,Zulte-Waregem,28,26.0,12,0.43,9.5,12250,8000,0.6531
2020,KV Oostende,28,25.6,13,0.46,7.9,8400,4500,0.5357
2020,Seraing,28,24.8,15,0.54,6.3,8207,2500,0.3046
2020,Waasland-Beveren,28,25.5,13,0.46,6.3,8100,3500,0.4321
2020,Lommel SK,28,24.0,15,0.54,6.3,8000,2500,0.3125
2020,Mouscron,28,25.5,14,0.5,5.0,10800,3500,0.3241
2020,RAAL La Louvière,28,25.0,10,0.36,5.0,12500,3000,0.24
2021,Club Brugge,28,24.8,18,0.64,115.5,29062,24000,0.8258
2021,Anderlecht,28,24.6,16,0.57,90.8,22500,20500,0.9111
2021,Genk,28,24.2,17,0.61,82.5,23718,19000,0.8011
2021,Union Saint-Gilloise,28,25.4,20,0.71,74.2,9400,8500,0.9043
2021,Gent,28,25.2,16,0.57,70.1,20000,17500,0.875
2021,Antwerp,28,25.8,15,0.54,61.9,16144,14500,0.8982
2021,Cercle Brugge,28,23.9,17,0.61,45.4,29062,6500,0.2237
2021,Standard Liège,28,25.5,15,0.54,41.2,30023,21000,0.6995
2021,KV Mechelen,28,25.6,13,0.46,33.0,16672,13500,0.8097
2021,KVC Westerlo,28,24.5,16,0.57,31.3,8035,6500,0.809
2021,Sint-Truiden,28,25.2,15,0.54,28.9,14600,7500,0.5137
2021,Charleroi,28,25.9,17,0.61,28.9,15000,9000,0.6
2021,OH Leuven,28,25.4,15,0.54,26.4,10020,7200,0.7186
2021,KV Kortrijk,28,25.8,14,0.5,18.1,9399,7000,0.7448
2021,Dender,28,26.2,11,0.39,14.8,6429,5000,0.7777
2021,Beerschot,28,25.5,13,0.46,12.4,12771,7500,0.5873
2021,Eupen,28,25.0,18,0.64,11.5,8363,4000,0.4783
2021,RWDM,28,25.2,17,0.61,11.5,12266,6500,0.5299
2021,Zulte-Waregem,28,26.0,12,0.43,9.9,12250,8000,0.6531
2021,KV Oostende,28,25.6,13,0.46,8.2,8400,4500,0.5357
2021,Seraing,28,24.8,15,0.54,6.6,8207,2500,0.3046
2021,Waasland-Beveren,28,25.5,13,0.46,6.6,8100,3500,0.4321
2021,Lommel SK,28,24.0,15,0.54,6.6,8000,2500,0.3125
2021,Mouscron,28,25.5,14,0.5,5.0,10800,3500,0.3241
2021,RAAL La Louvière,28,25.0,10,0.36,5.0,12500,3000,0.24
2022,Club Brugge,28,24.8,18,0.64,120.4,29062,24000,0.8258
2022,Anderlecht,28,24.6,16,0.57,94.6,22500,20500,0.9111
2022,Genk,28,24.2,17,0.61,86.0,23718,19000,0.8011
2022,Union Saint-Gilloise,28,25.4,20,0.71,77.4,9400,8500,0.9043
2022,Gent,28,25.2,16,0.57,73.1,20000,17500,0.875
2022,Antwerp,28,25.8,15,0.54,64.5,16144,14500,0.8982
2022,Cercle Brugge,28,23.9,17,0.61,47.3,29062,6500,0.2237
2022,Standard Liège,28,25.5,15,0.54,43.0,30023,21000,0.6995
2022,KV Mechelen,28,25.6,13,0.46,34.4,16672,13500,0.8097
2022,KVC Westerlo,28,24.5,16,0.57,32.7,8035,6500,0.809
2022,Sint-Truiden,28,25.2,15,0.54,30.1,14600,7500,0.5137
2022,Charleroi,28,25.9,17,0.61,30.1,15000,9000,0.6
2022,OH Leuven,28,25.4,15,0.54,27.5,10020,7200,0.7186
2022,KV Kortrijk,28,25.8,14,0.5,18.9,9399,7000,0.7448
2022,Dender,28,26.2,11,0.39,15.5,6429,5000,0.7777
2022,Beerschot,28,25.5,13,0.46,12.9,12771,7500,0.5873
2022,Eupen,28,25.0,18,0.64,12.0,8363,4000,0.4783
2022,RWDM,28,25.2,17,0.61,12.0,12266,6500,0.5299
2022,Zulte-Waregem,28,26.0,12,0.43,10.3,12250,8000,0.6531
2022,KV Oostende,28,25.6,13,0.46,8.6,8400,4500,0.5357
2022,Seraing,28,24.8,15,0.54,6.9,8207,2500,0.3046
2022,Waasland-Beveren,28,25.5,13,0.46,6.9,8100,3500,0.4321
2022,Lommel SK,28,24.0,15,0.54,6.9,8000,2500,0.3125
2022,Mouscron,28,25.5,14,0.5,5.2,10800,3500,0.3241
2022,RAAL La Louvière,28,25.0,10,0.36,5.2,12500,3000,0.24
2023,Club Brugge,28,24.8,18,0.64,125.3,29062,24000,0.8258
2023,Anderlecht,28,24.6,16,0.57,98.5,22500,20500,0.9111
2023,Genk,28,24.2,17,0.61,89.5,23718,19000,0.8011
2023,Union Saint-Gilloise,28,25.4,20,0.71,80.5,9400,8500,0.9043
2023,Gent,28,25.2,16,0.57,76.1,20000,17500,0.875
2023,Antwerp,28,25.8,15,0.54,67.1,16144,14500,0.8982
2023,Cercle Brugge,28,23.9,17,0.61,49.2,29062,6500,0.2237
2023,Standard Liège,28,25.5,15,0.54,44.8,30023,21000,0.6995
2023,KV Mechelen,28,25.6,13,0.46,35.8,16672,13500,0.8097
2023,KVC Westerlo,28,24.5,16,0.57,34.0,8035,6500,0.809
2023,Sint-Truiden,28,25.2,15,0.54,31.3,14600,7500,0.5137
2023,Charleroi,28,25.9,17,0.61,31.3,15000,9000,0.6
2023,OH Leuven,28,25.4,15,0.54,28.6,10020,7200,0.7186
2023,KV Kortrijk,28,25.8,14,0.5,19.7,9399,7000,0.7448
2023,Dender,28,26.2,11,0.39,16.1,6429,5000,0.7777
2023,Beerschot,28,25.5,13,0.46,13.4,12771,7500,0.5873
2023,Eupen,28,25.0,18,0.64,12.5,8363,4000,0.4783
2023,RWDM,28,25.2,17,0.61,12.5,12266,6500,0.5299
2023,Zulte-Waregem,28,26.0,12,0.43,10.7,12250,8000,0.6531
2023,KV Oostende,28,25.6,13,0.46,8.9,8400,4500,0.5357
2023,Seraing,28,24.8,15,0.54,7.2,8207,2500,0.3046
2023,Waasland-Beveren,28,25.5,13,0.46,7.2,8100,3500,0.4321
2023,Lommel SK,28,24.0,15,0.54,7.2,8000,2500,0.3125
2023,Mouscron,28,25.5,14,0.5,5.4,10800,3500,0.3241
2023,RAAL La Louvière,28,25.0,10,0.36,5.4,12500,3000,0.24
2024,Club Brugge,28,24.8,18,0.64,130.2,29062,24000,0.8258
2024,Anderlecht,28,24.6,16,0.57,102.3,22500,20500,0.9111
2024,Genk,28,24.2,17,0.61,93.0,23718,19000,0.8011
2024,Union Saint-Gilloise,28,25.4,20,0.71,83.7,9400,8500,0.9043
2024,Gent,28,25.2,16,0.57,79.0,20000,17500,0.875
2024,Antwerp,28,25.8,15,0.54,69.8,16144,14500,0.8982
2024,Cercle Brugge,28,23.9,17,0.61,51.1,29062,6500,0.2237
2024,Standard Liège,28,25.5,15,0.54,46.5,30023,21000,0.6995
2024,KV Mechelen,28,25.6,13,0.46,37.2,16672,13500,0.8097
2024,KVC Westerlo,28,24.5,16,0.57,35.3,8035,6500,0.809
2024,Sint-Truiden,28,25.2,15,0.54,32.5,14600,7500,0.5137
2024,Charleroi,28,25.9,17,0.61,32.5,15000,9000,0.6
2024,OH Leuven,28,25.4,15,0.54,29.8,10020,7200,0.7186
2024,KV Kortrijk,28,25.8,14,0.5,20.5,9399,7000,0.7448
