local_equipo,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_wonCorners,local_saves,local_possessionPct,local_totalShots,local_shotsOnTarget,local_shotPct,local_penaltyKickGoals,local_penaltyKickShots,local_accuratePasses,local_totalPasses,local_passPct,local_accurateCrosses,local_totalCrosses,local_crossPct,local_totalLongBalls,local_accurateLongBalls,local_longballPct,local_blockedShots,local_effectiveTackles,local_totalTackles,local_tacklePct,local_interceptions,local_effectiveClearance,local_totalClearance,visita_equipo,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_wonCorners,visita_saves,visita_possessionPct,visita_totalShots,visita_shotsOnTarget,visita_shotPct,visita_penaltyKickGoals,visita_penaltyKickShots,visita_accuratePasses,visita_totalPasses,visita_passPct,visita_accurateCrosses,visita_totalCrosses,visita_crossPct,visita_totalLongBalls,visita_accurateLongBalls,visita_longballPct,visita_blockedShots,visita_effectiveTackles,visita_totalTackles,visita_tacklePct,visita_interceptions,visita_effectiveClearance,visita_totalClearance,event_id,fecha,temporada
Eupen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Racing Genk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576392,2021-01-06 19:45:00,2021
KV Oostende,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Charleroi SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576501,2021-01-09 19:45:00,2021
KAA Gent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576414,2021-01-17 12:30:00,2021
Eupen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anderlecht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576413,2021-01-15 19:45:00,2021
Beerschot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KAA Gent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576499,2021-01-10 15:00:00,2021
KV Mechelen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576502,2021-01-10 12:30:00,2021
Mouscron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Racing Genk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576410,2021-01-16 17:30:00,2021
Waasland-Beveren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zulte-Waregem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576412,2021-01-16 17:30:00,2021
Anderlecht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Charleroi SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576458,2021-01-19 20:00:00,2021
Oud-Heverlee Leuven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anderlecht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576503,2021-01-10 17:15:00,2021
Zulte-Waregem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mouscron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576504,2021-01-09 15:15:00,2021
Cercle Brugge KSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard Liege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576415,2021-01-17 15:00:00,2021
