id,name,norm_name,short_name,abbreviation,slug,color,alternate_color,logo,is_active
441,Anderlecht,Anderlecht,Anderlecht,AND,bel.anderlecht,695196,fafafc,https://a.espncdn.com/i/teamlogos/soccer/500-dark/441.png,True
17544,Antwerp,Antwerp,Antwerp,ANT,friendly.antwerp,C60000,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/17544.png,True
991,Beerschot,Beerschot,Beerschot,BEER,,695196,f2ff00,https://a.espncdn.com/i/teamlogos/soccer/500/991.png,True
3610,Cercle Brugge KSV,Cercle Brugge,Cercle Brugge,CBK,bel.cercle_brugge_ksv,048a28,cccccc,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3610.png,True
3616,Royal Charleroi SC,Charleroi,Royal Charleroi,CHA,bel.royal_charleroi_sc,000000,fe2a9b,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3616.png,True
570,Club Brugge,Club Brugge,Club Brugge,BRU,bel.club_brugge,0081ff,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/570.png,True
7878,Dender,Dender,Dender,DEN,,000000,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/7878.png,True
4689,Eupen,Eupen,Eupen,EUP,,1a1a1a,cccccc,https://a.espncdn.com/i/teamlogos/soccer/500/4689.png,True
938,Racing Genk,Genk,Genk,GENK,bel.racing_genk,0000ff,cccccc,https://a.espncdn.com/i/teamlogos/soccer/500-dark/938.png,True
3611,KAA Gent,Gent,KAA Gent,GENT,bel.kaa_gent,0000ff,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3611.png,True
5786,KV Kortrijk,KV Kortrijk,KV Kortrijk,KVK,bel.kv_kortrijk,ff0000,cccccc,https://a.espncdn.com/i/teamlogos/soccer/500-dark/5786.png,True
7879,KV Mechelen,KV Mechelen,KV Mechelen,KVM,bel.kv-mechelen,ff0000,cccccc,https://a.espncdn.com/i/teamlogos/soccer/500-dark/7879.png,True
3612,KV Oostende,KV Oostende,KV Oostende,KVO,,f2ff00,ff0000,https://a.espncdn.com/i/teamlogos/soccer/500/3612.png,True
606,KVC Westerlo,KVC Westerlo,Westerlo,KVCW,bel.kvc_westerlo,005bd2,fffb00,https://a.espncdn.com/i/teamlogos/soccer/500-dark/606.png,True
22269,Lommel SK,Lommel SK,Lommel SK,LOM,lommel_sk,2d8322,FFFFFF,https://a.espncdn.com/i/teamlogos/soccer/500-dark/22269.png,True
12514,Mouscron,Mouscron,Mouscron,REM,,ff0000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/12514.png,True
5579,OH Leuven,OH Leuven,OH Leuven,OHL,bel.oud-heverlee_leuven,048a28,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/5579.png,True
131235,RAAL La Louvière,RAAL La Louvière,La Louvière,RLL,raal_la_louviere,287F45,F8F9FA,https://a.espncdn.com/i/teamlogos/soccer/500-dark/131235.png,True
20981,RWDM,RWDM,RWDM,RWDM,,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/20981.png,True
20946,RFC Seraing,Seraing,RFC Seraing,SER,,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/20946.png,True
936,Sint-Truidense,Sint-Truiden,Sint-Truidense,STVV,bel.st._truiden,f8ea2c,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/936.png,True
559,Standard Liege,Standard Liège,Standard Liege,STL,bel.standard_liege,cc272e,cccccc,https://a.espncdn.com/i/teamlogos/soccer/500-dark/559.png,True
5807,Union St.-Gilloise,Union Saint-Gilloise,Union SG,USG,team.union_st.-gilloise.betbrain,FCEE33,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/5807.png,True
13450,Waasland-Beveren,Waasland-Beveren,Waasland-Beveren,WAA,bel.waasland-beveren,f2ff00,ffd32e,https://a.espncdn.com/i/teamlogos/soccer/500-dark/13450.png,True
4691,Zulte-Waregem,Zulte-Waregem,Zulte-Waregem,ZUL,bel.zulte-waregem,ff0000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/4691.png,True
