event_id,fecha,temporada,local_id,visita_id,local,visita,goles_local,goles_visita,estado
401878996,2026-09-11 20:45:00,2026,7879,441,KV Mechelen,Anderlecht,,,pre
401878995,2026-09-12 16:00:00,2026,13450,936,Waasland-Beveren,Sint-Truiden,,,pre
401878994,2026-09-12 18:15:00,2026,606,559,KVC Westerlo,Standard Liège,,,pre
401878993,2026-09-12 20:45:00,2026,5579,3610,OH Leuven,Cercle Brugge,,,pre
401878992,2026-09-12 20:45:00,2026,5807,22269,Union Saint-Gilloise,Lommel SK,,,pre
401878991,2026-09-13 13:30:00,2026,570,17544,Club Brugge,Antwerp,,,pre
401878990,2026-09-13 16:00:00,2026,938,3611,Genk,Gent,,,pre
401878989,2026-09-13 18:30:00,2026,4691,3616,Zulte-Waregem,Charleroi,,,pre
401878988,2026-09-13 19:15:00,2026,131235,5786,RAAL La Louvière,KV Kortrijk,,,pre
401878987,2026-09-18 20:45:00,2026,3611,559,Gent,Standard Liège,,,pre
401878986,2026-09-19 16:00:00,2026,5579,131235,OH Leuven,RAAL La Louvière,,,pre
401878985,2026-09-19 18:15:00,2026,3616,3610,Charleroi,Cercle Brugge,,,pre
401878984,2026-09-19 20:45:00,2026,441,4691,Anderlecht,Zulte-Waregem,,,pre
401878983,2026-09-19 20:45:00,2026,22269,7879,Lommel SK,KV Mechelen,,,pre
401878982,2026-09-20 13:30:00,2026,17544,5807,Antwerp,Union Saint-Gilloise,,,pre
401878981,2026-09-20 16:00:00,2026,936,606,Sint-Truiden,KVC Westerlo,,,pre
401878980,2026-09-20 18:30:00,2026,570,938,Club Brugge,Genk,,,pre
401878979,2026-09-20 19:15:00,2026,5786,13450,KV Kortrijk,Waasland-Beveren,,,pre
401878976,2026-10-09 20:45:00,2026,13450,22269,Waasland-Beveren,Lommel SK,,,pre
401878977,2026-10-10 16:00:00,2026,3610,441,Cercle Brugge,Anderlecht,,,pre
401878978,2026-10-10 18:15:00,2026,131235,570,RAAL La Louvière,Club Brugge,,,pre
401878973,2026-10-10 20:45:00,2026,938,5786,Genk,KV Kortrijk,,,pre
401878974,2026-10-10 20:45:00,2026,4691,3611,Zulte-Waregem,Gent,,,pre
401878971,2026-10-11 13:30:00,2026,559,3616,Standard Liège,Charleroi,,,pre
401878975,2026-10-11 16:00:00,2026,5807,5579,Union Saint-Gilloise,OH Leuven,,,pre
401878970,2026-10-11 18:30:00,2026,606,17544,KVC Westerlo,Antwerp,,,pre
401878972,2026-10-11 19:15:00,2026,7879,936,KV Mechelen,Sint-Truiden,,,pre
401878967,2026-10-23 20:45:00,2026,5786,7879,KV Kortrijk,KV Mechelen,,,pre
401878968,2026-10-24 16:00:00,2026,17544,3616,Antwerp,Charleroi,,,pre
401878969,2026-10-24 18:15:00,2026,5579,22269,OH Leuven,Lommel SK,,,pre
401878965,2026-10-24 20:45:00,2026,606,13450,KVC Westerlo,Waasland-Beveren,,,pre
401878966,2026-10-24 20:45:00,2026,131235,4691,RAAL La Louvière,Zulte-Waregem,,,pre
401878963,2026-10-25 13:30:00,2026,938,559,Genk,Standard Liège,,,pre
401878964,2026-10-25 16:00:00,2026,570,936,Club Brugge,Sint-Truiden,,,pre
401878962,2026-10-25 18:30:00,2026,3611,441,Gent,Anderlecht,,,pre
401878961,2026-10-25 19:15:00,2026,5807,3610,Union Saint-Gilloise,Cercle Brugge,,,pre
401878956,2026-10-30 20:45:00,2026,4691,570,Zulte-Waregem,Club Brugge,,,pre
401878958,2026-10-31 16:00:00,2026,7879,938,KV Mechelen,Genk,,,pre
401878953,2026-10-31 18:15:00,2026,559,5786,Standard Liège,KV Kortrijk,,,pre
401878957,2026-10-31 20:45:00,2026,13450,5807,Waasland-Beveren,Union Saint-Gilloise,,,pre
401878960,2026-10-31 20:45:00,2026,441,606,Anderlecht,KVC Westerlo,,,pre
401878959,2026-11-01 13:30:00,2026,3610,17544,Cercle Brugge,Antwerp,,,pre
401878952,2026-11-01 16:00:00,2026,936,5579,Sint-Truiden,OH Leuven,,,pre
401878954,2026-11-01 18:30:00,2026,22269,3611,Lommel SK,Gent,,,pre
401878955,2026-11-01 19:15:00,2026,3616,131235,Charleroi,RAAL La Louvière,,,pre
401878951,2026-11-06 20:45:00,2026,559,13450,Standard Liège,Waasland-Beveren,,,pre
401878947,2026-11-07 16:00:00,2026,606,3616,KVC Westerlo,Charleroi,,,pre
401878949,2026-11-07 18:15:00,2026,5579,7879,OH Leuven,KV Mechelen,,,pre
401878950,2026-11-07 20:45:00,2026,17544,22269,Antwerp,Lommel SK,,,pre
401878948,2026-11-07 20:45:00,2026,131235,3610,RAAL La Louvière,Cercle Brugge,,,pre
401878946,2026-11-08 13:30:00,2026,570,441,Club Brugge,Anderlecht,,,pre
401878945,2026-11-08 16:00:00,2026,3611,5786,Gent,KV Kortrijk,,,pre
401878943,2026-11-08 18:30:00,2026,5807,938,Union Saint-Gilloise,Genk,,,pre
401878944,2026-11-08 19:15:00,2026,936,4691,Sint-Truiden,Zulte-Waregem,,,pre
401878937,2026-11-20 20:45:00,2026,3610,606,Cercle Brugge,KVC Westerlo,,,pre
401878940,2026-11-21 16:00:00,2026,3616,936,Charleroi,Sint-Truiden,,,pre
401878939,2026-11-21 18:15:00,2026,938,131235,Genk,RAAL La Louvière,,,pre
401878935,2026-11-21 20:45:00,2026,7879,570,KV Mechelen,Club Brugge,,,pre
401878938,2026-11-21 20:45:00,2026,4691,17544,Zulte-Waregem,Antwerp,,,pre
401878942,2026-11-22 13:30:00,2026,13450,3611,Waasland-Beveren,Gent,,,pre
401878936,2026-11-22 16:00:00,2026,5786,5807,KV Kortrijk,Union Saint-Gilloise,,,pre
401878941,2026-11-22 18:30:00,2026,441,5579,Anderlecht,OH Leuven,,,pre
401878934,2026-11-22 19:15:00,2026,22269,559,Lommel SK,Standard Liège,,,pre
401878930,2026-11-27 20:45:00,2026,5579,5786,OH Leuven,KV Kortrijk,,,pre
401878929,2026-11-28 16:00:00,2026,606,131235,KVC Westerlo,RAAL La Louvière,,,pre
401878932,2026-11-28 18:15:00,2026,3610,7879,Cercle Brugge,KV Mechelen,,,pre
401878931,2026-11-28 20:45:00,2026,22269,4691,Lommel SK,Zulte-Waregem,,,pre
401878933,2026-11-28 20:45:00,2026,3616,13450,Charleroi,Waasland-Beveren,,,pre
401878926,2026-11-29 13:30:00,2026,936,938,Sint-Truiden,Genk,,,pre
401878928,2026-11-29 16:00:00,2026,17544,441,Antwerp,Anderlecht,,,pre
401878927,2026-11-29 18:30:00,2026,559,570,Standard Liège,Club Brugge,,,pre
401878925,2026-11-29 19:15:00,2026,5807,3611,Union Saint-Gilloise,Gent,,,pre
401878924,2026-12-11 20:45:00,2026,938,5579,Genk,OH Leuven,,,pre
401878923,2026-12-12 16:00:00,2026,5786,22269,KV Kortrijk,Lommel SK,,,pre
401878922,2026-12-12 18:15:00,2026,131235,17544,RAAL La Louvière,Antwerp,,,pre
401878921,2026-12-12 20:45:00,2026,13450,3610,Waasland-Beveren,Cercle Brugge,,,pre
401878920,2026-12-12 20:45:00,2026,4691,559,Zulte-Waregem,Standard Liège,,,pre
