event_id,fecha,temporada,local_id,visita_id,local,visita,goles_local,goles_visita,estado
576392,2021-01-06 20:45:00,2021,4689,938,Eupen,Genk,1.0,4.0,post
576504,2021-01-09 16:15:00,2021,4691,12514,Zulte-Waregem,Mouscron,1.0,0.0,post
576498,2021-01-09 18:30:00,2021,3610,4689,Cercle Brugge,Eupen,1.0,2.0,post
576500,2021-01-09 18:30:00,2021,5786,938,KV Kortrijk,Genk,2.0,1.0,post
576501,2021-01-09 20:45:00,2021,3612,3616,KV Oostende,Charleroi,3.0,2.0,post
576502,2021-01-10 13:30:00,2021,7879,17544,KV Mechelen,Antwerp,3.0,0.0,post
576499,2021-01-10 16:00:00,2021,991,3611,Beerschot,Gent,1.0,1.0,post
576503,2021-01-10 18:15:00,2021,5579,441,OH Leuven,Anderlecht,1.0,0.0,post
576505,2021-01-10 20:45:00,2021,936,570,Sint-Truiden,Club Brugge,1.0,2.0,post
576506,2021-01-11 20:45:00,2021,559,13450,Standard Liège,Waasland-Beveren,3.0,1.0,post
576384,2021-01-12 20:45:00,2021,3612,4689,KV Oostende,Eupen,1.0,1.0,post
576382,2021-01-13 18:30:00,2021,991,3610,Beerschot,Cercle Brugge,1.0,1.0,post
576413,2021-01-15 20:45:00,2021,4689,441,Eupen,Anderlecht,2.0,0.0,post
576411,2021-01-16 16:15:00,2021,3612,5786,KV Oostende,KV Kortrijk,2.0,1.0,post
576410,2021-01-16 18:30:00,2021,12514,938,Mouscron,Genk,2.0,0.0,post
576412,2021-01-16 18:30:00,2021,13450,4691,Waasland-Beveren,Zulte-Waregem,1.0,5.0,post
576408,2021-01-16 20:45:00,2021,3616,7879,Charleroi,KV Mechelen,0.0,1.0,post
576414,2021-01-17 13:30:00,2021,3611,17544,Gent,Antwerp,0.0,1.0,post
576415,2021-01-17 16:00:00,2021,3610,559,Cercle Brugge,Standard Liège,0.0,1.0,post
576416,2021-01-17 18:15:00,2021,991,570,Beerschot,Club Brugge,0.0,3.0,post
576409,2021-01-17 20:45:00,2021,936,5579,Sint-Truiden,OH Leuven,3.0,1.0,post
576461,2021-01-19 18:45:00,2021,12514,13450,Mouscron,Waasland-Beveren,1.0,1.0,post
576458,2021-01-19 21:00:00,2021,441,3616,Anderlecht,Charleroi,3.0,0.0,post
