temporada,equipo,squad_value
2020,Club Brugge,110.6
2020,Anderlecht,86.9
2020,Genk,79.0
2020,Union Saint-Gilloise,71.1
2020,Gent,67.2
2020,Antwerp,59.2
2020,Cercle Brugge,43.5
2020,Standard Liège,39.5
2020,KV Mechelen,31.6
2020,KVC Westerlo,30.0
2020,Sint-Truiden,27.7
2020,Charleroi,27.7
2020,OH Leuven,25.3
2020,KV Kortrijk,17.4
2020,Dender,14.2
2020,Beerschot,11.9
2020,Eupen,11.1
2020,RWDM,11.1
2020,Zulte-Waregem,9.5
2020,KV Oostende,7.9
2020,Seraing,6.3
2020,Waasland-Beveren,6.3
2020,Lommel SK,6.3
2020,Mouscron,5.0
2020,RAAL La Louvière,5.0
2021,Club Brugge,115.5
2021,Anderlecht,90.8
2021,Genk,82.5
2021,Union Saint-Gilloise,74.2
2021,Gent,70.1
2021,Antwerp,61.9
2021,Cercle Brugge,45.4
2021,Standard Liège,41.2
2021,KV Mechelen,33.0
2021,KVC Westerlo,31.3
2021,Sint-Truiden,28.9
2021,Charleroi,28.9
2021,OH Leuven,26.4
2021,KV Kortrijk,18.1
2021,Dender,14.8
2021,Beerschot,12.4
2021,Eupen,11.5
2021,RWDM,11.5
2021,Zulte-Waregem,9.9
2021,KV Oostende,8.2
2021,Seraing,6.6
2021,Waasland-Beveren,6.6
2021,Lommel SK,6.6
2021,Mouscron,5.0
2021,RAAL La Louvière,5.0
2022,Club Brugge,120.4
2022,Anderlecht,94.6
2022,Genk,86.0
2022,Union Saint-Gilloise,77.4
2022,Gent,73.1
2022,Antwerp,64.5
2022,Cercle Brugge,47.3
2022,Standard Liège,43.0
2022,KV Mechelen,34.4
2022,KVC Westerlo,32.7
2022,Sint-Truiden,30.1
2022,Charleroi,30.1
2022,OH Leuven,27.5
2022,KV Kortrijk,18.9
2022,Dender,15.5
2022,Beerschot,12.9
2022,Eupen,12.0
2022,RWDM,12.0
2022,Zulte-Waregem,10.3
2022,KV Oostende,8.6
2022,Seraing,6.9
2022,Waasland-Beveren,6.9
2022,Lommel SK,6.9
2022,Mouscron,5.2
2022,RAAL La Louvière,5.2
2023,Club Brugge,125.3
2023,Anderlecht,98.5
2023,Genk,89.5
2023,Union Saint-Gilloise,80.5
2023,Gent,76.1
2023,Antwerp,67.1
2023,Cercle Brugge,49.2
2023,Standard Liège,44.8
2023,KV Mechelen,35.8
2023,KVC Westerlo,34.0
2023,Sint-Truiden,31.3
2023,Charleroi,31.3
2023,OH Leuven,28.6
2023,KV Kortrijk,19.7
2023,Dender,16.1
2023,Beerschot,13.4
2023,Eupen,12.5
2023,RWDM,12.5
2023,Zulte-Waregem,10.7
2023,KV Oostende,8.9
2023,Seraing,7.2
2023,Waasland-Beveren,7.2
2023,Lommel SK,7.2
2023,Mouscron,5.4
2023,RAAL La Louvière,5.4
2024,Club Brugge,130.2
2024,Anderlecht,102.3
2024,Genk,93.0
2024,Union Saint-Gilloise,83.7
2024,Gent,79.0
2024,Antwerp,69.8
2024,Cercle Brugge,51.1
2024,Standard Liège,46.5
2024,KV Mechelen,37.2
2024,KVC Westerlo,35.3
2024,Sint-Truiden,32.5
2024,Charleroi,32.5
2024,OH Leuven,29.8
2024,KV Kortrijk,20.5
2024,Dender,16.7
2024,Beerschot,13.9
2024,Eupen,13.0
2024,RWDM,13.0
2024,Zulte-Waregem,11.2
2024,KV Oostende,9.3
2024,Seraing,7.4
2024,Waasland-Beveren,7.4
2024,Lommel SK,7.4
2024,Mouscron,5.6
2024,RAAL La Louvière,5.6
2025,Club Brugge,135.1
2025,Anderlecht,106.1
2025,Genk,96.5
2025,Union Saint-Gilloise,86.8
2025,Gent,82.0
2025,Antwerp,72.4
2025,Cercle Brugge,53.1
2025,Standard Liège,48.2
2025,KV Mechelen,38.6
2025,KVC Westerlo,36.7
2025,Sint-Truiden,33.8
2025,Charleroi,33.8
2025,OH Leuven,30.9
2025,KV Kortrijk,21.2
2025,Dender,17.4
2025,Beerschot,14.5
2025,Eupen,13.5
2025,RWDM,13.5
2025,Zulte-Waregem,11.6
2025,KV Oostende,9.7
2025,Seraing,7.7
2025,Waasland-Beveren,7.7
2025,Lommel SK,7.7
2025,Mouscron,5.8
2025,RAAL La Louvière,5.8
2026,Club Brugge,140.0
2026,Anderlecht,110.0
2026,Genk,100.0
2026,Union Saint-Gilloise,90.0
2026,Gent,85.0
2026,Antwerp,75.0
2026,Cercle Brugge,55.0
2026,Standard Liège,50.0
2026,KV Mechelen,40.0
2026,KVC Westerlo,38.0
2026,Sint-Truiden,35.0
2026,Charleroi,35.0
2026,OH Leuven,32.0
2026,KV Kortrijk,22.0
2026,Dender,18.0
2026,Beerschot,15.0
2026,Eupen,14.0
2026,RWDM,14.0
2026,Zulte-Waregem,12.0
2026,KV Oostende,10.0
2026,Seraing,8.0
2026,Waasland-Beveren,8.0
2026,Lommel SK,8.0
2026,Mouscron,6.0
2026,RAAL La Louvière,6.0
2027,Club Brugge,144.9
2027,Anderlecht,113.8
2027,Genk,103.5
2027,Union Saint-Gilloise,93.1
2027,Gent,88.0
2027,Antwerp,77.6
2027,Cercle Brugge,56.9
2027,Standard Liège,51.7
2027,KV Mechelen,41.4
2027,KVC Westerlo,39.3
2027,Sint-Truiden,36.2
2027,Charleroi,36.2
2027,OH Leuven,33.1
2027,KV Kortrijk,22.8
2027,Dender,18.6
2027,Beerschot,15.5
2027,Eupen,14.5
2027,RWDM,14.5
2027,Zulte-Waregem,12.4
2027,KV Oostende,10.3
2027,Seraing,8.3
2027,Waasland-Beveren,8.3
2027,Lommel SK,8.3
2027,Mouscron,6.2
2027,RAAL La Louvière,6.2
