temporada,equipo,squad_size,avg_age,foreigners,pct_foreigners,squad_value,stadium_capacity,avg_attendance,stadium_occupation
2020,Flamengo,62,22.0,5,0.0806,185.6,82238,21904,0.2663
2020,Corinthians,50,23.0,6,0.12,132.35,49205,32791,0.6664
2020,Grêmio,59,24.0,6,0.1017,120.28,60540,14051,0.2321
2020,Atlético-MG,48,23.9,8,0.1667,106.45,44892,42300,0.9423
2020,Palmeiras,58,22.3,5,0.0862,93.25,43713,15882,0.3633
2020,São Paulo,51,23.2,9,0.1765,71.9,72039,28264,0.3923
2020,Internacional,57,21.9,11,0.193,71.85,50848,14459,0.2844
2020,Santos,63,22.2,5,0.0794,53.7,16068,9464,0.589
2020,Fluminense,63,23.2,7,0.1111,39.13,82238,13448,0.1635
2020,Red Bull Bragantino,44,21.7,5,0.1136,33.8,12000,2581,0.2151
2020,Athletico-PR,63,21.5,5,0.0794,31.35,42372,10293,0.2429
2020,Fortaleza,46,25.7,4,0.087,31.2,63904,19590,0.3066
2020,Bahia,74,23.0,6,0.0811,30.35,47364,18499,0.3906
2020,Sport Club do Recife,71,22.4,2,0.0282,27.95,35000,5118,0.1462
2020,Juventude,49,26.2,5,0.102,26.83,23726,8067,0.34
2020,Atlético Goianiense,63,22.1,1,0.0159,24.7,13000,5864,0.4511
2020,Ceará,69,22.6,2,0.029,21.93,63904,18815,0.2944
2020,Cuiabá,62,22.7,3,0.0484,21.0,42968,10303,0.2398
2020,América Mineiro,57,23.9,2,0.0351,16.95,23018,2896,0.1258
2020,Chapecoense,53,23.1,0,0.0,13.75,22600,1638,0.0725
2021,Flamengo,61,23.1,5,0.082,181.95,82238,54479,0.6625
2021,Corinthians,52,24.2,7,0.1346,131.9,49205,38898,0.7905
2021,Atlético-MG,44,25.0,8,0.1818,115.0,44892,31504,0.7018
2021,Palmeiras,42,23.1,6,0.1429,111.6,43713,35943,0.8222
2021,Internacional,51,24.0,10,0.1961,104.43,50848,22858,0.4495
2021,Botafogo,62,24.0,6,0.0968,83.45,46931,20727,0.4416
2021,Athletico-PR,67,21.9,9,0.1343,70.93,42372,19479,0.4597
2021,São Paulo,48,23.0,10,0.2083,67.88,72039,30132,0.4183
2021,Santos,52,22.6,9,0.1731,52.18,16068,11307,0.7037
2021,Red Bull Bragantino,47,21.4,6,0.1277,49.28,12000,4769,0.3974
2021,Fluminense,46,25.3,5,0.1087,41.28,82238,30484,0.3707
2021,Fortaleza,43,25.7,7,0.1628,32.65,63904,32961,0.5158
2021,Avaí,64,25.2,3,0.0469,32.3,17800,9148,0.5139
2021,Ceará,52,24.5,2,0.0385,27.65,63904,30506,0.4774
2021,Cuiabá,63,22.8,3,0.0476,26.75,42968,13722,0.3194
2021,Coritiba,54,23.6,8,0.1481,25.63,40502,21210,0.5237
2021,América Mineiro,56,24.4,7,0.125,24.58,23018,3829,0.1663
2021,Juventude,55,24.2,3,0.0545,22.18,23726,3823,0.1611
2021,Goiás,70,22.2,0,0.0,21.2,14450,10410,0.7204
2021,Atlético Goianiense,52,22.9,3,0.0577,16.58,13000,7143,0.5495
2022,Flamengo,58,22.4,5,0.0862,193.1,82238,57720,0.7019
2022,Atlético-MG,40,25.7,7,0.175,138.4,44892,33068,0.7366
2022,Botafogo,64,24.1,14,0.2188,126.43,46931,29382,0.6261
2022,Palmeiras,42,23.0,7,0.1667,120.5,43713,33220,0.76
2022,São Paulo,50,23.5,11,0.22,112.18,72039,43800,0.608
2022,Grêmio,62,23.5,10,0.1613,99.98,60540,33486,0.5531
2022,Corinthians,48,23.2,8,0.1667,99.95,49205,38647,0.7854
2022,Santos,56,24.2,11,0.1964,94.2,16068,11800,0.7344
2022,Fluminense,59,23.5,7,0.1186,77.6,82238,32019,0.3893
2022,Internacional,41,25.4,11,0.2683,77.15,50848,26675,0.5246
2022,Red Bull Bragantino,49,21.4,7,0.1429,75.85,12000,6055,0.5046
