id,name,norm_name,short_name,abbreviation,slug,color,alternate_color,logo,is_active
3458,Athletico-PR,Athletico Paranaense,Athletico-PR,CAP,bra.atletico_paranaense,D80518,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3458.png,True
7632,Atlético-MG,Atlético Mineiro,Atlético-MG,CAM,bra.atltico-mg,000000,fafafc,https://a.espncdn.com/i/teamlogos/soccer/500-dark/7632.png,True
9967,Bahia,Bahia,Bahia,BAH,bra.bahia,C60000,0093EC,https://a.espncdn.com/i/teamlogos/soccer/500-dark/9967.png,True
6086,Botafogo,Botafogo,Botafogo,BOT,bra.botafogo,000000,fafafc,https://a.espncdn.com/i/teamlogos/soccer/500-dark/6086.png,True
9318,Chapecoense,Chapecoense,Chapecoense,CHA,betbrain.chapecoense_af,417505,fafafc,https://a.espncdn.com/i/teamlogos/soccer/500-dark/9318.png,True
874,Corinthians,Corinthians,Corinthians,COR,bra.corinthians,000000,fafafc,https://a.espncdn.com/i/teamlogos/soccer/500-dark/874.png,True
3456,Coritiba,Coritiba,Coritiba,CFC,bra.coritiba_fbc,417505,fafafc,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3456.png,True
2022,Cruzeiro,Cruzeiro,Cruzeiro,CRU,bra.cruzeiro,0093EC,fafafc,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2022.png,True
819,Flamengo,Flamengo,Flamengo,FLA,bra.flamengo,C60000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/819.png,True
3445,Fluminense,Fluminense,Fluminense,FLU,bra.fluminense_fc,7E0202,417505,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3445.png,True
6273,Grêmio,Grêmio,Grêmio,GRE,bra.gremio,0093EC,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/6273.png,True
1936,Internacional,Internacional,Internacional,INT,bra.internacional,C60000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/1936.png,True
9169,Mirassol,Mirassol,Mirassol,MIR,bra.mirassol,FEDC00,417505,https://a.espncdn.com/i/teamlogos/soccer/500-dark/9169.png,True
2029,Palmeiras,Palmeiras,Palmeiras,PAL,bra.palmeiras,417505,fafafc,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2029.png,True
6079,Red Bull Bragantino,Red Bull Bragantino,Bragantino,BRA,bra.bragantino,000000,fafafc,https://a.espncdn.com/i/teamlogos/soccer/500-dark/6079.png,True
4936,Remo,Remo,Remo,REMO,betbrain.clube_do_remo,265891,fafafa,https://a.espncdn.com/i/teamlogos/soccer/500-dark/4936.png,True
2674,Santos,Santos,Santos,SAN,bra.santos,000000,fafafc,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2674.png,True
2026,São Paulo,São Paulo,São Paulo,SAO,bra.sao_paulo,C60000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2026.png,True
3454,Vasco da Gama,Vasco da Gama,Vasco,VAS,bra.cr_vasco_da_gama,000000,fafafc,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3454.png,True
3457,Vitória,Vitória,Vitória,VIT,bra.ec_vitoria,C6101C,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3457.png,True
