event_id,fecha,temporada,local_id,visita_id,local,visita,goles_local,goles_visita,estado
569710,2021-01-06 19:15:00,2021,6086,3458,Botafogo,Athletico Paranaense,0.0,2.0,post
569715,2021-01-06 20:30:00,2021,3456,3395,Coritiba,Goiás,1.0,2.0,post
569711,2021-01-06 20:30:00,2021,6273,9967,Grêmio,Bahia,2.0,1.0,post
569714,2021-01-06 20:30:00,2021,7635,6272,Sport,Fortaleza,1.0,0.0,post
569713,2021-01-06 21:30:00,2021,819,3445,Flamengo,Fluminense,1.0,2.0,post
569718,2021-01-06 21:30:00,2021,6079,2026,Red Bull Bragantino,São Paulo,4.0,2.0,post
569716,2021-01-07 19:00:00,2021,9969,1936,Ceará,Internacional,0.0,2.0,post
569719,2021-01-07 21:00:00,2021,10357,3454,Atlético Goianiense,Vasco da Gama,0.0,0.0,post
569708,2021-01-09 19:00:00,2021,7635,2029,Sport,Palmeiras,0.0,1.0,post
569701,2021-01-09 19:00:00,2021,3456,3458,Coritiba,Athletico Paranaense,0.0,0.0,post
569707,2021-01-09 21:00:00,2021,6272,6273,Fortaleza,Grêmio,0.0,0.0,post
569704,2021-01-10 16:00:00,2021,819,9969,Flamengo,Ceará,0.0,2.0,post
569709,2021-01-10 16:00:00,2021,2026,2674,São Paulo,Santos,0.0,1.0,post
569702,2021-01-10 18:15:00,2021,10357,9967,Atlético Goianiense,Bahia,1.0,1.0,post
569706,2021-01-10 18:15:00,2021,1936,3395,Internacional,Goiás,1.0,0.0,post
569703,2021-01-10 20:30:00,2021,3454,6086,Vasco da Gama,Botafogo,3.0,0.0,post
569700,2021-01-11 20:00:00,2021,6079,7632,Red Bull Bragantino,Atlético Mineiro,2.0,2.0,post
569705,2021-01-13 21:30:00,2021,874,3445,Corinthians,Fluminense,5.0,0.0,post
569697,2021-01-15 21:30:00,2021,2029,6273,Palmeiras,Grêmio,1.0,1.0,post
569698,2021-01-16 19:00:00,2021,3445,7635,Fluminense,Sport,1.0,0.0,post
569694,2021-01-16 21:00:00,2021,3454,3456,Vasco da Gama,Coritiba,0.0,1.0,post
569699,2021-01-17 16:00:00,2021,3458,2026,Athletico Paranaense,São Paulo,1.0,1.0,post
569691,2021-01-17 16:00:00,2021,2674,6086,Santos,Botafogo,2.0,1.0,post
569690,2021-01-17 18:15:00,2021,7632,10357,Atlético Mineiro,Atlético Goianiense,3.0,1.0,post
569692,2021-01-17 20:30:00,2021,9969,6079,Ceará,Red Bull Bragantino,1.0,2.0,post
569696,2021-01-17 20:30:00,2021,1936,6272,Internacional,Fortaleza,4.0,2.0,post
569712,2021-01-18 19:00:00,2021,2029,874,Palmeiras,Corinthians,4.0,0.0,post
569695,2021-01-18 20:00:00,2021,3395,819,Goiás,Flamengo,0.0,3.0,post
569681,2021-01-20 17:00:00,2021,6086,10357,Botafogo,Atlético Goianiense,1.0,3.0,post
569682,2021-01-20 18:00:00,2021,9967,3458,Bahia,Athletico Paranaense,1.0,0.0,post
569680,2021-01-20 19:15:00,2021,6273,7632,Grêmio,Atlético Mineiro,1.0,1.0,post
569684,2021-01-20 20:30:00,2021,3456,3445,Coritiba,Fluminense,3.0,3.0,post
569689,2021-01-20 21:30:00,2021,6079,3454,Red Bull Bragantino,Vasco da Gama,4.0,1.0,post
569685,2021-01-20 21:30:00,2021,2026,1936,São Paulo,Internacional,1.0,5.0,post
569687,2021-01-21 19:00:00,2021,6272,2674,Fortaleza,Santos,2.0,0.0,post
569683,2021-01-21 19:00:00,2021,3395,9969,Goiás,Ceará,0.0,4.0,post
569686,2021-01-21 19:00:00,2021,819,2029,Flamengo,Palmeiras,2.0,0.0,post
569688,2021-01-21 21:00:00,2021,874,7635,Corinthians,Sport,3.0,0.0,post
569674,2021-01-23 19:00:00,2021,2026,3456,São Paulo,Coritiba,1.0,1.0,post
569670,2021-01-23 21:00:00,2021,3454,7632,Vasco da Gama,Atlético Mineiro,3.0,2.0,post
569675,2021-01-24 16:00:00,2021,3458,819,Athletico Paranaense,Flamengo,2.0,1.0,post
569679,2021-01-24 16:00:00,2021,9969,2029,Ceará,Palmeiras,2.0,1.0,post
569678,2021-01-24 16:00:00,2021,1936,6273,Internacional,Grêmio,2.0,1.0,post
569671,2021-01-24 18:15:00,2021,7635,9967,Sport,Bahia,2.0,0.0,post
569677,2021-01-24 18:15:00,2021,2674,3395,Santos,Goiás,3.0,4.0,post
569676,2021-01-24 18:15:00,2021,10357,6272,Atlético Goianiense,Fortaleza,2.0,0.0,post
569672,2021-01-24 20:30:00,2021,3445,6086,Fluminense,Botafogo,2.0,0.0,post
569673,2021-01-25 20:00:00,2021,874,6079,Corinthians,Red Bull Bragantino,0.0,2.0,post
569717,2021-01-26 20:00:00,2021,7632,2674,Atlético Mineiro,Santos,2.0,0.0,post
569989,2021-01-26 20:00:00,2021,2029,3454,Palmeiras,Vasco da Gama,1.0,1.0,post
569693,2021-01-28 19:00:00,2021,9967,874,Bahia,Corinthians,2.0,1.0,post
