temporada,equipo,squad_value
2020,Flamengo,185.6
2020,Corinthians,132.35
2020,Grêmio,120.28
2020,Atlético-MG,106.45
2020,Palmeiras,93.25
2020,São Paulo,71.9
2020,Internacional,71.85
2020,Santos,53.7
2020,Fluminense,39.13
2020,Red Bull Bragantino,33.8
2020,Athletico-PR,31.35
2020,Fortaleza,31.2
2020,Bahia,30.35
2020,Sport Club do Recife,27.95
2020,Juventude,26.83
2020,Atlético Goianiense,24.7
2020,Ceará,21.93
2020,Cuiabá,21.0
2020,América Mineiro,16.95
2020,Chapecoense,13.75
2021,Flamengo,181.95
2021,Corinthians,131.9
2021,Atlético-MG,115.0
2021,Palmeiras,111.6
2021,Internacional,104.43
2021,Botafogo,83.45
2021,Athletico-PR,70.93
2021,São Paulo,67.88
2021,Santos,52.18
2021,Red Bull Bragantino,49.28
2021,Fluminense,41.28
2021,Fortaleza,32.65
2021,Avaí,32.3
2021,Ceará,27.65
2021,Cuiabá,26.75
2021,Coritiba,25.63
2021,América Mineiro,24.58
2021,Juventude,22.18
2021,Goiás,21.2
2021,Atlético Goianiense,16.58
2022,Flamengo,193.1
2022,Atlético-MG,138.4
2022,Botafogo,126.43
2022,Palmeiras,120.5
2022,São Paulo,112.18
2022,Grêmio,99.98
2022,Corinthians,99.95
2022,Santos,94.2
2022,Fluminense,77.6
2022,Internacional,77.15
2022,Red Bull Bragantino,75.85
2022,Vasco da Gama,72.85
2022,Bahia,70.5
2022,Cruzeiro,62.75
2022,Coritiba,58.33
2022,Athletico-PR,57.73
2022,Fortaleza,45.33
2022,América Mineiro,34.18
2022,Goiás,27.83
2022,Cuiabá,21.38
2023,Flamengo,214.15
2023,Palmeiras,153.1
2023,Corinthians,145.5
2023,Botafogo,131.43
2023,Atlético-MG,131.35
2023,Internacional,123.23
2023,São Paulo,113.75
2023,Vasco da Gama,106.95
2023,Cruzeiro,101.68
2023,Fluminense,98.85
2023,Grêmio,87.0
2023,Bahia,76.95
2023,Red Bull Bragantino,74.25
2023,Athletico-PR,64.6
2023,Fortaleza,45.05
2023,Atlético Goianiense,32.6
2023,Criciúma,31.0
2023,Sport,31.0
2023,Cuiabá,23.48
2023,Juventude,21.6
2024,Flamengo,273.5
2024,Palmeiras,260.35
2024,Botafogo,214.65
2024,Santos,150.0
2024,Atlético-MG,127.75
2024,Grêmio,124.68
2024,Vasco da Gama,122.6
2024,Cruzeiro,121.4
2024,Corinthians,105.4
2024,São Paulo,99.2
2024,Bahia,99.08
2024,Fluminense,89.2
2024,Red Bull Bragantino,86.53
2024,Internacional,83.25
2024,Fortaleza,61.95
2024,Sport Club do Recife,52.91
2024,Sport,43.28
2024,Ceará,35.73
2024,Juventude,31.55
2024,Mirassol,28.4
2025,Palmeiras,240.48
2025,Flamengo,217.95
2025,Cruzeiro,155.75
2025,Corinthians,150.3
2025,Bahia,118.8
2025,Botafogo,118.45
2025,Fluminense,113.53
2025,Vasco da Gama,105.25
2025,Santos,102.2
2025,Grêmio,100.55
2025,Red Bull Bragantino,99.05
2025,Atlético-MG,87.15
2025,São Paulo,80.0
2025,Internacional,75.4
2025,Athletico-PR,74.88
2025,Sport,45.33
2025,Coritiba,43.23
2025,Mirassol,32.08
2025,Remo,22.03
2025,Chapecoense,16.98
2026,Palmeiras,240.48
2026,Flamengo,217.95
2026,Cruzeiro,155.75
2026,Corinthians,150.3
2026,Bahia,118.8
2026,Botafogo,118.45
2026,Fluminense,113.53
2026,Vasco da Gama,105.25
2026,Santos,102.2
2026,Grêmio,100.55
2026,Red Bull Bragantino,99.05
2026,Atlético-MG,87.15
2026,São Paulo,80.0
2026,Internacional,75.4
2026,Athletico-PR,74.88
2026,Sport,45.33
2026,Coritiba,43.23
2026,Mirassol,32.08
2026,Remo,22.03
2026,Chapecoense,16.98
