temporada,equipo,squad_size,avg_age,foreigners,pct_foreigners,squad_value,stadium_capacity,avg_attendance,stadium_occupation
2020,1. FC Union Berlin,33,26.4,10,0.303,82.05,22012,3850,0.1749
2020,Arminia Bielefeld,33,25.4,15,0.4545,56.73,26750,5460,0.2041
2020,Bayer Leverkusen,33,25.6,22,0.6667,373.25,30210,6042,0.2
2020,Bayern Munich,45,24.4,22,0.4889,858.23,75000,250,0.0033
2020,Borussia Dortmund,32,25.5,17,0.5312,628.4,81365,7033,0.0864
2020,Borussia Mönchengladbach,33,26.2,19,0.5758,300.75,54042,5342,0.0988
2020,Eintracht Frankfurt,36,26.2,24,0.6667,269.15,59500,7250,0.1218
2020,FC Augsburg,31,26.4,21,0.6774,93.05,30660,6000,0.1957
2020,FC Cologne,36,25.3,19,0.5278,118.2,50000,300,0.006
2020,Hertha Berlin,38,24.9,22,0.5789,228.88,74667,4000,0.0536
2020,Mainz,36,25.4,18,0.5,163.3,33305,3403,0.1022
2020,RB Leipzig,32,24.1,23,0.7188,574.95,47069,6000,0.1275
2020,SC Freiburg,30,25.7,13,0.4333,139.1,34700,3200,0.0922
2020,Schalke 04,45,25.3,27,0.6,123.05,62278,300,0.0048
2020,TSG Hoffenheim,37,25.4,26,0.7027,228.15,30150,4143,0.1374
2020,VfB Stuttgart,32,24.4,17,0.5312,189.25,60449,8750,0.1448
2020,VfL Wolfsburg,30,26.4,20,0.6667,256.83,28917,3217,0.1112
2020,Werder Bremen,33,25.7,17,0.5152,111.98,41800,4250,0.1017
2021,1. FC Union Berlin,40,27.1,16,0.4,115.9,22012,13965,0.6344
2021,Arminia Bielefeld,34,25.1,20,0.5882,65.85,26750,16773,0.627
2021,Bayer Leverkusen,35,25.1,25,0.7143,455.05,30210,18154,0.6009
2021,Bayern Munich,38,25.2,21,0.5526,790.33,75000,40146,0.5353
2021,Borussia Dortmund,44,24.5,25,0.5682,558.98,81365,41800,0.5137
2021,Borussia Mönchengladbach,31,25.8,13,0.4194,236.8,54042,26539,0.4911
2021,Eintracht Frankfurt,36,25.7,23,0.6389,228.75,59500,26338,0.4427
2021,FC Augsburg,32,26.0,19,0.5938,95.3,30660,18386,0.5997
2021,FC Cologne,31,25.8,13,0.4194,99.28,50000,31965,0.6393
2021,Hertha Berlin,45,25.2,22,0.4889,155.78,74667,23500,0.3147
2021,Mainz,34,25.5,18,0.5294,131.03,33305,17996,0.5403
2021,RB Leipzig,34,24.3,23,0.6765,498.95,47069,28932,0.6147
2021,SC Freiburg,32,25.5,12,0.375,176.35,34700,18535,0.5341
2021,SpVgg Greuther Fürth,34,25.1,15,0.4412,36.95,16626,9932,0.5974
2021,TSG Hoffenheim,40,25.3,22,0.55,211.43,30150,11929,0.3957
2021,VfB Stuttgart,39,24.0,22,0.5641,174.23,60449,28908,0.4782
2021,VfL Bochum,33,27.7,17,0.5152,52.25,26000,16594,0.6382
2021,VfL Wolfsburg,37,25.7,24,0.6486,269.3,28917,12018,0.4156
2022,1. FC Union Berlin,36,27.4,18,0.5,157.95,22012,21888,0.9944
2022,Bayer Leverkusen,35,24.8,25,0.7143,452.5,30210,28612,0.9471
2022,Bayern Munich,35,25.7,23,0.6571,948.95,75000,75003,1.0
