id,name,norm_name,short_name,abbreviation,slug,color,alternate_color,logo,is_active
598,1. FC Union Berlin,1. FC Union Berlin,Union Berlin,FCU,ger.fc_union_berlin,DA0308,d4d4d4,https://a.espncdn.com/i/teamlogos/soccer/500-dark/598.png,True
131,Bayer Leverkusen,Bayer Leverkusen,Leverkusen,B04,ger.leverkusen,DA0308,f9fbfc,https://a.espncdn.com/i/teamlogos/soccer/500-dark/131.png,True
132,Bayern Munich,Bayern Munich,Bayern,MUN,ger.bayern_munich,dc052d,1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500-dark/132.png,True
124,Borussia Dortmund,Borussia Dortmund,Dortmund,DOR,ger.dortmund,ffee00,272726,https://a.espncdn.com/i/teamlogos/soccer/500-dark/124.png,True
268,Borussia Mönchengladbach,Borussia Mönchengladbach,Gladbach,BMG,ger.borussia_mgladbach,ffffff,03915c,https://a.espncdn.com/i/teamlogos/soccer/500-dark/268.png,True
125,Eintracht Frankfurt,Eintracht Frankfurt,Frankfurt,SGE,ger.frankfurt,ffffff,272726,https://a.espncdn.com/i/teamlogos/soccer/500-dark/125.png,True
3841,FC Augsburg,FC Augsburg,Augsburg,FCA,ger.fc_augsburg,ffffff,03915c,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3841.png,True
122,FC Cologne,FC Cologne,Cologne,KOE,ger.1_fc_kln,ffffff,DA0308,https://a.espncdn.com/i/teamlogos/soccer/500-dark/122.png,True
127,Hamburg SV,Hamburg SV,Hamburg,HSV,ger.hamburg,1a26af,1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500-dark/127.png,True
2950,Mainz,Mainz,Mainz,M05,ger.mainz,DA0308,000055,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2950.png,True
11420,RB Leipzig,RB Leipzig,RB Leipzig,RBL,ger.rb_leipzig,ffffff,740c14,https://a.espncdn.com/i/teamlogos/soccer/500-dark/11420.png,True
126,SC Freiburg,SC Freiburg,Freiburg,SCF,ger.freiburg,DA0308,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/126.png,True
3307,SC Paderborn 07,SC Paderborn 07,Paderborn,SCP,ger.sc_paderborn_07,0000dd,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3307.png,True
10388,SV Elversberg,SV Elversberg,Elversberg,ELV,ger.sv_07_elversberg,000000,FFFFFF,https://a.espncdn.com/i/teamlogos/soccer/500-dark/10388.png,True
133,Schalke 04,Schalke 04,Schalke,S04,ger.schalke_04,0000dd,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/133.png,True
7911,TSG Hoffenheim,TSG Hoffenheim,Hoffenheim,TSG,ger.tsg_hoffenheim,003399,000055,https://a.espncdn.com/i/teamlogos/soccer/500-dark/7911.png,True
134,VfB Stuttgart,VfB Stuttgart,Stuttgart,VFB,ger.stuttgart,ffffff,DA0308,https://a.espncdn.com/i/teamlogos/soccer/500-dark/134.png,True
137,Werder Bremen,Werder Bremen,Bremen,SVW,ger.werder_bremen,03915c,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/137.png,True
