temporada,equipo,squad_value
2020,1. FC Union Berlin,82.05
2020,Arminia Bielefeld,56.73
2020,Bayer Leverkusen,373.25
2020,Bayern Munich,858.23
2020,Borussia Dortmund,628.4
2020,Borussia Mönchengladbach,300.75
2020,Eintracht Frankfurt,269.15
2020,FC Augsburg,93.05
2020,FC Cologne,118.2
2020,Hertha Berlin,228.88
2020,Mainz,163.3
2020,RB Leipzig,574.95
2020,SC Freiburg,139.1
2020,Schalke 04,123.05
2020,TSG Hoffenheim,228.15
2020,VfB Stuttgart,189.25
2020,VfL Wolfsburg,256.83
2020,Werder Bremen,111.98
2021,1. FC Union Berlin,115.9
2021,Arminia Bielefeld,65.85
2021,Bayer Leverkusen,455.05
2021,Bayern Munich,790.33
2021,Borussia Dortmund,558.98
2021,Borussia Mönchengladbach,236.8
2021,Eintracht Frankfurt,228.75
2021,FC Augsburg,95.3
2021,FC Cologne,99.28
2021,Hertha Berlin,155.78
2021,Mainz,131.03
2021,RB Leipzig,498.95
2021,SC Freiburg,176.35
2021,SpVgg Greuther Fürth,36.95
2021,TSG Hoffenheim,211.43
2021,VfB Stuttgart,174.23
2021,VfL Bochum,52.25
2021,VfL Wolfsburg,269.3
2022,1. FC Union Berlin,157.95
2022,Bayer Leverkusen,452.5
2022,Bayern Munich,948.95
2022,Borussia Dortmund,567.55
2022,Borussia Mönchengladbach,241.68
2022,Eintracht Frankfurt,324.55
2022,FC Augsburg,132.23
2022,FC Cologne,115.65
2022,Hertha Berlin,94.0
2022,Mainz,135.9
2022,RB Leipzig,486.4
2022,SC Freiburg,200.95
2022,Schalke 04,87.78
2022,TSG Hoffenheim,178.8
2022,VfB Stuttgart,151.05
2022,VfL Bochum,53.7
2022,VfL Wolfsburg,238.3
2022,Werder Bremen,89.5
2023,1. FC Heidenheim 1846,66.45
2023,1. FC Union Berlin,160.95
2023,Bayer Leverkusen,658.35
2023,Bayern Munich,965.15
2023,Borussia Dortmund,494.8
2023,Borussia Mönchengladbach,165.23
2023,Eintracht Frankfurt,326.65
2023,FC Augsburg,140.8
2023,FC Cologne,81.45
2023,Mainz,142.88
2023,RB Leipzig,545.4
2023,SC Freiburg,180.35
2023,SV Darmstadt 98,38.7
2023,TSG Hoffenheim,176.0
2023,VfB Stuttgart,346.63
2023,VfL Bochum,64.53
2023,VfL Wolfsburg,206.45
2023,Werder Bremen,134.93
2024,1. FC Heidenheim 1846,72.53
2024,1. FC Union Berlin,136.05
2024,Bayer Leverkusen,623.35
2024,Bayern Munich,953.55
2024,Borussia Dortmund,508.28
2024,Borussia Mönchengladbach,187.5
2024,Eintracht Frankfurt,431.25
2024,FC Augsburg,158.88
2024,Holstein Kiel,47.13
2024,Mainz,175.13
2024,RB Leipzig,513.7
2024,SC Freiburg,186.2
2024,St. Pauli,65.78
2024,TSG Hoffenheim,187.1
2024,VfB Stuttgart,365.23
2024,VfL Bochum,57.1
2024,VfL Wolfsburg,296.3
2024,Werder Bremen,132.0
2025,1. FC Heidenheim 1846,78.75
2025,1. FC Union Berlin,129.85
2025,Bayer Leverkusen,548.35
2025,Bayern Munich,994.4
2025,Borussia Dortmund,520.4
2025,Borussia Mönchengladbach,171.4
2025,Eintracht Frankfurt,408.95
2025,FC Augsburg,180.65
2025,FC Cologne,156.65
2025,Hamburg SV,186.05
2025,Mainz,165.35
2025,RB Leipzig,618.7
2025,SC Freiburg,264.85
2025,St. Pauli,65.65
2025,TSG Hoffenheim,285.8
2025,VfB Stuttgart,464.55
2025,VfL Wolfsburg,234.1
2025,Werder Bremen,177.83
2026,1. FC Union Berlin,109.88
2026,Bayer Leverkusen,513.45
2026,Bayern Munich,1080.0
2026,Borussia Dortmund,464.2
2026,Borussia Mönchengladbach,136.0
2026,Eintracht Frankfurt,338.85
2026,FC Augsburg,164.25
2026,FC Cologne,123.9
2026,Hamburg SV,106.15
2026,Mainz,169.2
2026,RB Leipzig,604.8
2026,SC Freiburg,242.55
2026,SC Paderborn 07,37.88
2026,SV Elversberg,51.6
2026,Schalke 04,59.13
2026,TSG Hoffenheim,294.95
2026,VfB Stuttgart,420.15
2026,Werder Bremen,149.83
