temporada,equipo,squad_size,avg_age,foreigners,pct_foreigners,squad_value,stadium_capacity,avg_attendance,stadium_occupation
2020,Colo Colo,55,20.9,7,0.1273,23.03,43667,16473,0.3772
2020,Universidad Católica,34,25.4,5,0.1471,17.45,20249,5829,0.2879
2020,Unión Española,36,24.4,9,0.25,14.9,19887,2509,0.1262
2020,Palestino,36,25.4,8,0.2222,13.43,8000,967,0.1209
2020,Universidad de Chile,40,22.8,6,0.15,13.3,46190,2663,0.0577
2020,Unión La Calera,34,24.4,8,0.2353,12.55,9200,1885,0.2049
2020,La Serena,38,23.0,11,0.2895,11.73,17134,4464,0.2605
2020,Antofagasta,39,23.8,7,0.1795,10.73,21178,4718,0.2228
2020,O'Higgins,37,23.9,9,0.2432,10.05,14450,3789,0.2622
2020,Everton CD,41,23.3,10,0.2439,8.73,19200,6740,0.351
2020,Audax Italiano,32,24.8,6,0.1875,8.63,11367,281,0.0247
2020,Huachipato,37,21.3,7,0.1892,8.13,10032,2286,0.2279
2020,Curicó Unido,41,23.3,10,0.2439,7.48,12000,2782,0.2318
2020,Ñublense,37,24.8,8,0.2162,7.25,11319,3458,0.3055
2020,Santiago Wanderers,42,21.9,6,0.1429,6.78,20575,4080,0.1983
2020,Cobresal,36,24.5,8,0.2222,6.33,11240,844,0.0751
2020,Melipilla,34,25.7,10,0.2941,4.9,1137,1017,0.8945
2021,Universidad Católica,45,25.0,10,0.2222,19.13,20249,8301,0.4099
2021,Colo Colo,37,22.4,10,0.2703,15.98,43667,22080,0.5056
2021,Universidad de Chile,37,23.0,7,0.1892,15.05,46190,10210,0.221
2021,Palestino,30,25.0,7,0.2333,11.75,8000,1744,0.218
2021,Antofagasta,36,24.3,7,0.1944,11.5,21178,2522,0.1191
2021,Everton CD,41,23.3,8,0.1951,9.93,19200,4525,0.2357
2021,O'Higgins,31,23.5,5,0.1613,9.68,14450,4999,0.346
2021,Unión Española,36,24.2,9,0.25,9.3,19887,2191,0.1102
2021,Huachipato,34,23.0,9,0.2647,8.98,10032,2870,0.2861
2021,Coquimbo Unido,40,24.3,6,0.15,8.9,17750,6098,0.3435
2021,Unión La Calera,33,23.9,7,0.2121,8.43,9200,2218,0.2411
2021,Ñublense,36,23.5,5,0.1389,8.25,11319,5693,0.503
2021,Audax Italiano,39,23.5,7,0.1795,7.63,11367,2352,0.2069
2021,La Serena,36,23.8,6,0.1667,6.73,17134,4386,0.256
2021,Cobresal,28,25.2,8,0.2857,5.8,11240,1147,0.102
2021,Curicó Unido,34,25.0,8,0.2353,5.35,12000,5086,0.4238
2022,Colo Colo,36,24.1,10,0.2778,26.55,43667,34165,0.7824
2022,Universidad Católica,35,23.9,7,0.2,18.2,20249,6684,0.3301
2022,Universidad de Chile,32,23.8,6,0.1875,13.3,46190,12140,0.2628
2022,Ñublense,34,25.1,5,0.1471,10.68,11319,5354,0.473
2022,Palestino,30,24.3,6,0.2,10.43,8000,2013,0.2516
2022,Unión Española,35,23.4,9,0.2571,10.2,19887,3766,0.1894
2022,Everton CD,34,24.5,8,0.2353,9.9,19200,6441,0.3355
2022,Unión La Calera,33,24.1,12,0.3636,9.28,9200,2622,0.285
2022,Curicó Unido,38,24.4,7,0.1842,8.9,12000,4083,0.3402
2022,Audax Italiano,32,24.4,8,0.25,8.65,11367,3228,0.284
2022,Huachipato,31,22.5,7,0.2258,8.48,10032,4218,0.4205
2022,Coquimbo Unido,37,25.6,6,0.1622,8.1,17750,6717,0.3784
2022,O'Higgins,31,23.6,6,0.1935,7.53,14450,6361,0.4402
2022,Cobresal,35,24.2,10,0.2857,6.48,11240,1083,0.0964
2022,Magallanes,36,26.4,7,0.1944,6.33,3500,2625,0.75
2022,Copiapó,29,26.7,6,0.2069,6.0,8500,4822,0.5673
2023,Colo Colo,47,25.3,13,0.2766,30.7,43667,30299,0.6939
2023,Universidad Católica,43,25.5,13,0.3023,26.15,20249,9034,0.4461
2023,Everton CD,46,25.6,14,0.3043,22.78,19200,6289,0.3276
2023,Universidad de Chile,33,24.9,8,0.2424,17.95,46190,36632,0.7931
2023,O'Higgins,45,24.3,14,0.3111,17.18,14450,6348,0.4393
2023,Unión La Calera,59,24.6,22,0.3729,16.0,9200,2302,0.2502
2023,Unión Española,45,24.4,12,0.2667,15.8,19887,4249,0.2137
2023,Audax Italiano,51,25.2,14,0.2745,15.43,11367,1856,0.1633
2023,Huachipato,53,22.2,11,0.2075,12.15,10032,3074,0.3064
2023,Cobresal,45,24.6,13,0.2889,12.15,11240,893,0.0794
2023,Palestino,37,25.0,11,0.2973,12.0,8000,2228,0.2785
2023,Cobreloa,54,24.6,13,0.2407,11.7,12102,5626,0.4649
2023,Deportes Iquique,49,26.1,11,0.2245,10.88,13171,9612,0.7298
2023,Coquimbo Unido,52,25.3,13,0.25,10.08,17750,6768,0.3813
2023,Ñublense,36,24.5,7,0.1944,9.75,11319,5199,0.4593
2023,Copiapó,33,25.6,8,0.2424,6.6,8500,3758,0.4421
2024,Colo Colo,36,24.0,6,0.1667,33.28,43667,30565,0.7
2024,Universidad de Chile,42,24.0,9,0.2143,26.83,46190,29564,0.6401
2024,Everton CD,35,25.4,10,0.2857,17.63,19200,5504,0.2867
2024,Universidad Católica,35,24.3,6,0.1714,17.28,20249,12660,0.6252
2024,Unión Española,37,23.8,11,0.2973,15.7,19887,3206,0.1612
2024,Huachipato,44,22.8,8,0.1818,11.73,10032,2994,0.2984
2024,O'Higgins,34,23.1,9,0.2647,10.63,14450,4072,0.2818
2024,Deportes Iquique,37,26.4,11,0.2973,10.5,13171,7464,0.5667
2024,Audax Italiano,31,23.3,8,0.2581,9.3,11367,2883,0.2536
2024,Palestino,34,24.8,7,0.2059,9.08,8000,2128,0.266
2024,Ñublense,35,24.5,7,0.2,8.83,11319,4866,0.4299
2024,La Serena,40,23.2,10,0.25,8.28,17134,4022,0.2347
2024,Coquimbo Unido,28,25.8,8,0.2857,7.9,17750,8361,0.471
2024,Deportes Limache,40,25.3,11,0.275,7.08,7265,2623,0.361
2024,Cobresal,36,22.5,7,0.1944,6.85,11240,663,0.059
2024,Unión La Calera,32,23.8,9,0.2812,6.08,9200,2394,0.2602
2025,Universidad de Chile,24,28.2,6,0.25,16.98,46190,27066,0.586
2025,Universidad Católica,28,28.5,7,0.25,16.88,20249,16191,0.7996
2025,O'Higgins,27,25.4,8,0.2963,15.8,14450,5729,0.3965
2025,Colo Colo,24,27.0,5,0.2083,14.1,43667,32163,0.7366
2025,Coquimbo Unido,30,28.0,10,0.3333,14.05,17750,7120,0.4011
2025,Audax Italiano,29,25.9,6,0.2069,11.13,11367,2235,0.1966
2025,Palestino,26,28.3,5,0.1923,9.3,8000,2154,0.2692
2025,Everton CD,28,26.8,9,0.3214,9.28,19200,4860,0.2531
2025,Deportes Limache,23,27.5,7,0.3043,8.3,7265,2685,0.3696
2025,Huachipato,26,26.1,6,0.2308,7.8,10032,3078,0.3068
2025,La Serena,27,26.3,7,0.2593,7.73,17134,4134,0.2413
2025,Universidad de Concepción,27,25.3,5,0.1852,7.44,30448,4637,0.1523
2025,Ñublense,24,27.6,6,0.25,7.25,11319,5263,0.465
2025,Unión La Calera,26,27.5,9,0.3462,6.76,9200,2248,0.2443
2025,Cobresal,28,26.5,8,0.2857,5.93,11240,703,0.0625
2025,Deportes Concepcion,26,30.1,9,0.3462,5.11,30448,9500,0.312
