local_equipo,local_totalShots,local_shotsOnTarget,local_wonCorners,local_possessionPct,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_saves,local_blockedShots,visita_equipo,visita_totalShots,visita_shotsOnTarget,visita_wonCorners,visita_possessionPct,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_saves,visita_blockedShots,event_id,fecha,temporada
O'Higgins,11.0,5.0,8.0,58.2,15.0,3.0,0.0,0.0,2.0,1.0,La Serena,6.0,3.0,2.0,41.8,6.0,0.0,1.0,2.0,4.0,0.0,587847,2021-01-02 13:30:00,2021
Everton CD,16.0,5.0,6.0,43.1,11.0,0.0,0.0,4.0,3.0,4.0,Deportes Iquique,7.0,3.0,0.0,56.9,11.0,3.0,0.0,2.0,4.0,0.0,587842,2021-01-02 20:00:00,2021
Unión La Calera,10.0,4.0,4.0,52.5,6.0,2.0,0.0,0.0,4.0,1.0,Unión Wanderers,,,,,,,,,,,587843,2021-01-02 22:15:00,2021
Antofagasta,17.0,5.0,6.0,65.3,9.0,1.0,1.0,1.0,1.0,1.0,Colo Colo,6.0,2.0,3.0,34.7,18.0,3.0,0.0,2.0,4.0,1.0,587839,2021-01-03 13:30:00,2021
Universidad de Chile,14.0,4.0,3.0,54.0,14.0,3.0,0.0,3.0,4.0,3.0,Universidad de Concepción,18.0,4.0,6.0,46.0,9.0,2.0,0.0,0.0,2.0,7.0,587846,2021-01-03 22:15:00,2021
Palestino,13.0,6.0,3.0,59.9,10.0,4.0,0.0,0.0,2.0,1.0,Curicó Unido,7.0,3.0,7.0,40.1,10.0,2.0,0.0,0.0,2.0,0.0,587844,2021-01-04 13:30:00,2021
Universidad Católica,19.0,7.0,9.0,64.1,11.0,1.0,0.0,0.0,2.0,6.0,Huachipato,8.0,2.0,4.0,35.9,14.0,2.0,0.0,1.0,4.0,3.0,587845,2021-01-04 22:15:00,2021
Audax Italiano,17.0,8.0,8.0,50.3,9.0,4.0,0.0,2.0,7.0,3.0,Unión Española,12.0,9.0,7.0,49.7,15.0,2.0,0.0,4.0,6.0,1.0,587840,2021-01-05 00:30:00,2021
Unión Wanderers,16.0,7.0,6.0,68.8,9.0,0.0,0.0,2.0,0.0,2.0,Colo Colo,1.0,0.0,2.0,31.2,15.0,6.0,1.0,3.0,4.0,1.0,587856,2021-01-06 13:30:00,2021
La Serena,15.0,5.0,8.0,55.6,12.0,1.0,0.0,1.0,2.0,4.0,Everton CD,15.0,4.0,3.0,44.4,3.0,0.0,0.0,1.0,4.0,5.0,587852,2021-01-06 20:00:00,2021
