id,name,norm_name,short_name,abbreviation,slug,color,alternate_color,logo,is_active
4138,Audax Italiano,Audax Italiano,Audax Italiano,AUD,chi.audax_italiano,046904,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/4138.png,True
4133,Cobresal,Cobresal,Cobresal,COB,chi.cobresal,fd0000,fd0000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/4133.png,True
2688,Colo Colo,Colo Colo,Colo Colo,COL,chi.colo_colo,050505,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2688.png,True
8186,Coquimbo Unido,Coquimbo Unido,Coquimbo,COQ,chi.coquimbo,000000,FBE805,https://a.espncdn.com/i/teamlogos/soccer/500-dark/8186.png,True
8110,Deportes Concepcion,Deportes Concepción,Concepcion,CON,chi.deportes-concepcion,800080,FFFFFF,https://a.espncdn.com/i/teamlogos/soccer/500-dark/8110.png,True
19195,Deportes Limache,Deportes Limache,Limache,LIM,deportes_limache,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/19195.png,True
4129,Everton CD,Everton,Everton CD,EVE,chi.everton_cd,212121,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/4129.png,True
4134,Huachipato,Huachipato,Huachipato,HUA,chi.huachipato,023396,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/4134.png,True
4137,La Serena,Deportes La Serena,La Serena,LSE,chi.la_serena,C22222,C22222,https://a.espncdn.com/i/teamlogos/soccer/500-dark/4137.png,True
6072,O'Higgins,O'Higgins,O'Higgins,OHI,chi.ohiggins,517ab7,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/6072.png,True
4422,Palestino,Palestino,Palestino,PAL,chi.palestino,2a1b07,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/4422.png,True
885,Universidad Católica,Universidad Católica,U Católica,CDUC,chi.universidad_catolica,0a4f8d,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/885.png,True
4139,Universidad de Chile,Universidad de Chile,U de Chile,U. de Chile,chi.universidad_de_chile,0232cc,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/4139.png,True
5362,Universidad de Concepción,Universidad de Concepción,U Concepción,UdeC,chi.universidad_de_concepcion,0C4DA2,FBE805,https://a.espncdn.com/i/teamlogos/soccer/500-dark/5362.png,True
10144,Unión La Calera,Unión La Calera,Unión La Calera,ULC,chi.unin_la_calera,fd0000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/10144.png,True
7427,Ñublense,Ñublense,Ñublense,ÑUB,chi.ublense,C22222,C22222,https://a.espncdn.com/i/teamlogos/soccer/500-dark/7427.png,True
