event_id,fecha,temporada,local_id,visita_id,local,visita,goles_local,goles_visita,estado
587847,2021-01-02 10:30:00,2021,6072,4137,O'Higgins,Deportes La Serena,1.0,1.0,post
587842,2021-01-02 17:00:00,2021,4129,10142,Everton,Deportes Iquique,1.0,0.0,post
587843,2021-01-02 19:15:00,2021,10144,3553,Unión La Calera,Unión Wanderers,3.0,0.0,post
587839,2021-01-03 10:30:00,2021,6071,2688,Antofagasta,Colo Colo,0.0,1.0,post
587846,2021-01-03 19:15:00,2021,4139,5362,Universidad de Chile,Universidad de Concepción,2.0,0.0,post
587844,2021-01-04 10:30:00,2021,4422,17365,Palestino,Curicó Unido,4.0,2.0,post
587845,2021-01-04 19:15:00,2021,885,4134,Universidad Católica,Huachipato,3.0,0.0,post
587840,2021-01-04 21:30:00,2021,4138,4132,Audax Italiano,Unión Española,2.0,2.0,post
587856,2021-01-06 10:30:00,2021,3553,2688,Unión Wanderers,Colo Colo,3.0,0.0,post
587852,2021-01-06 17:00:00,2021,4137,4129,Deportes La Serena,Everton,1.0,1.0,post
587855,2021-01-06 19:15:00,2021,4139,6072,Universidad de Chile,O'Higgins,0.0,1.0,post
587850,2021-01-07 10:30:00,2021,17365,6071,Curicó Unido,Antofagasta,2.0,0.0,post
587854,2021-01-07 17:00:00,2021,5362,4422,Universidad de Concepción,Palestino,1.0,1.0,post
587848,2021-01-07 19:15:00,2021,4134,10144,Huachipato,Unión La Calera,4.0,3.0,post
587849,2021-01-07 21:30:00,2021,10142,885,Deportes Iquique,Universidad Católica,0.0,1.0,post
587851,2021-01-08 10:30:00,2021,4133,4138,Cobresal,Audax Italiano,1.0,2.0,post
587865,2021-01-10 10:30:00,2021,885,17365,Universidad Católica,Curicó Unido,1.0,1.0,post
587859,2021-01-10 18:30:00,2021,2688,4129,Colo Colo,Everton,1.0,0.0,post
587861,2021-01-10 21:00:00,2021,10144,5362,Unión La Calera,Universidad de Concepción,1.0,2.0,post
587863,2021-01-11 10:30:00,2021,4422,4132,Palestino,Unión Española,2.0,2.0,post
587857,2021-01-11 17:00:00,2021,6071,4137,Antofagasta,Deportes La Serena,2.0,2.0,post
587862,2021-01-11 19:15:00,2021,3553,4133,Unión Wanderers,Cobresal,1.0,0.0,post
587858,2021-01-11 21:30:00,2021,4138,4134,Audax Italiano,Huachipato,2.0,0.0,post
587864,2021-01-12 10:30:00,2021,6072,10142,O'Higgins,Deportes Iquique,2.0,2.0,post
587872,2021-01-13 17:00:00,2021,5362,2688,Universidad de Concepción,Colo Colo,1.0,1.0,post
587866,2021-01-14 17:00:00,2021,4129,4138,Everton,Audax Italiano,2.0,1.0,post
587873,2021-01-14 19:15:00,2021,4139,4422,Universidad de Chile,Palestino,1.0,1.0,post
587871,2021-01-14 21:30:00,2021,4132,885,Unión Española,Universidad Católica,1.0,1.0,post
587869,2021-01-15 10:30:00,2021,4133,6071,Cobresal,Antofagasta,3.0,1.0,post
587874,2021-01-15 17:00:00,2021,4137,10144,Deportes La Serena,Unión La Calera,0.0,3.0,post
587868,2021-01-15 19:15:00,2021,17365,6072,Curicó Unido,O'Higgins,1.0,3.0,post
587870,2021-01-15 21:30:00,2021,4134,3553,Huachipato,Unión Wanderers,4.0,0.0,post
587876,2021-01-17 18:00:00,2021,2688,4139,Colo Colo,Universidad de Chile,0.0,0.0,post
587881,2021-01-18 10:30:00,2021,4422,4133,Palestino,Cobresal,3.0,2.0,post
