temporada,equipo,squad_value
2020,Colo Colo,23.03
2020,Universidad Católica,17.45
2020,Unión Española,14.9
2020,Palestino,13.43
2020,Universidad de Chile,13.3
2020,Unión La Calera,12.55
2020,La Serena,11.73
2020,Antofagasta,10.73
2020,O'Higgins,10.05
2020,Everton CD,8.73
2020,Audax Italiano,8.63
2020,Huachipato,8.13
2020,Curicó Unido,7.48
2020,Ñublense,7.25
2020,Santiago Wanderers,6.78
2020,Cobresal,6.33
2020,Melipilla,4.9
2021,Universidad Católica,19.13
2021,Colo Colo,15.98
2021,Universidad de Chile,15.05
2021,Palestino,11.75
2021,Antofagasta,11.5
2021,Everton CD,9.93
2021,O'Higgins,9.68
2021,Unión Española,9.3
2021,Huachipato,8.98
2021,Coquimbo Unido,8.9
2021,Unión La Calera,8.43
2021,Ñublense,8.25
2021,Audax Italiano,7.63
2021,La Serena,6.73
2021,Cobresal,5.8
2021,Curicó Unido,5.35
2022,Colo Colo,26.55
2022,Universidad Católica,18.2
2022,Universidad de Chile,13.3
2022,Ñublense,10.68
2022,Palestino,10.43
2022,Unión Española,10.2
2022,Everton CD,9.9
2022,Unión La Calera,9.28
2022,Curicó Unido,8.9
2022,Audax Italiano,8.65
2022,Huachipato,8.48
2022,Coquimbo Unido,8.1
2022,O'Higgins,7.53
2022,Cobresal,6.48
2022,Magallanes,6.33
2022,Copiapó,6.0
2023,Colo Colo,30.7
2023,Universidad Católica,26.15
2023,Everton CD,22.78
2023,Universidad de Chile,17.95
2023,O'Higgins,17.18
2023,Unión La Calera,16.0
2023,Unión Española,15.8
2023,Audax Italiano,15.43
2023,Huachipato,12.15
2023,Cobresal,12.15
2023,Palestino,12.0
2023,Cobreloa,11.7
2023,Deportes Iquique,10.88
2023,Coquimbo Unido,10.08
2023,Ñublense,9.75
2023,Copiapó,6.6
2024,Colo Colo,33.28
2024,Universidad de Chile,26.83
2024,Everton CD,17.63
2024,Universidad Católica,17.28
2024,Unión Española,15.7
2024,Huachipato,11.73
2024,O'Higgins,10.63
2024,Deportes Iquique,10.5
2024,Audax Italiano,9.3
2024,Palestino,9.08
2024,Ñublense,8.83
2024,La Serena,8.28
2024,Coquimbo Unido,7.9
2024,Deportes Limache,7.08
2024,Cobresal,6.85
2024,Unión La Calera,6.08
2025,Universidad de Chile,16.98
2025,Universidad Católica,16.88
2025,O'Higgins,15.8
2025,Colo Colo,14.1
2025,Coquimbo Unido,14.05
2025,Audax Italiano,11.13
2025,Palestino,9.3
2025,Everton CD,9.28
2025,Deportes Limache,8.3
2025,Huachipato,7.8
2025,La Serena,7.73
2025,Universidad de Concepción,7.44
2025,Ñublense,7.25
2025,Unión La Calera,6.76
2025,Cobresal,5.93
2025,Deportes Concepcion,5.11
2026,Universidad de Chile,16.98
2026,Universidad Católica,16.88
2026,O'Higgins,15.8
2026,Colo Colo,14.1
2026,Coquimbo Unido,14.05
2026,Audax Italiano,11.13
2026,Palestino,9.3
2026,Everton CD,9.28
2026,Deportes Limache,8.3
2026,Huachipato,7.8
2026,La Serena,7.73
2026,Universidad de Concepción,7.44
2026,Ñublense,7.25
2026,Unión La Calera,6.76
2026,Cobresal,5.93
2026,Deportes Concepcion,5.11
