fecha,competicion,local,visita,elo_diff,squad_value_diff,ea_overall_diff,h2h_diff,goles_anotados_diff,goles_recibidos_diff,tiros_diff,tiros_arco_diff,corners_diff,posesion_diff,faltas_diff,resultado
2019-01-02,Amistosos 2018-19,Thailand,Oman,-109.1,1.68,-9.6,0.636,0.1,-0.2,0.0,0.0,0.0,0.0,0.0,0
2019-01-08,Amistosos 2018-19,Sweden,Finland,231.6,0.863,4.82,2.273,0.0,0.33,-1.83,0.27,-0.23,-4.07,-3.5,0
2019-01-11,Amistosos 2018-19,Sweden,Iceland,171.2,0.822,4.27,1.333,0.0,-0.82,0.93,0.13,-0.1,7.29,1.6,1
2019-01-11,Amistosos 2018-19,Finland,Estonia,145.5,1.98,8.36,1.059,-0.33,-0.21,3.0,0.9,0.2,12.15,-1.67,0
2019-01-15,Amistosos 2018-19,Iceland,Estonia,164.8,2.021,8.91,1.2,-0.15,0.91,0.45,1.07,0.33,2.08,-6.98,1
2019-01-28,Amistosos 2018-19,United States,Panama,169.5,2.216,7.64,1.333,-0.05,-0.62,3.83,1.53,2.3,10.33,-3.43,2
2019-02-02,Amistosos 2018-19,United States,Costa Rica,26.4,0.564,1.82,-0.111,-0.6,-0.38,2.5,-1.8,1.8,14.5,0.4,2
2019-02-17,Amistosos 2018-19,Dominican Republic,Guadeloupe,31.4,1.733,1.59,-0.5,1.25,-0.73,0.0,0.0,0.0,0.0,0.0,2
2019-02-21,Amistosos 2018-19,Kazakhstan,Moldova,3.3,-1.554,-0.6,0.0,0.38,-1.0,0.33,0.73,-1.83,-1.75,2.83,2
2019-02-26,Amistosos 2018-19,Cuba,Bermuda,35.3,0.928,-1.5,1.0,-0.37,0.07,0.0,0.0,0.0,0.0,0.0,1
2019-02-27,Amistosos 2018-19,Bermuda,Cuba,-35.3,-0.928,1.5,-1.0,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0
2019-02-28,Amistosos 2018-19,Grenada,St. Lucia,-88.6,-2.465,-6.67,0.0,-0.1,1.4,0.0,0.0,0.0,0.0,0.0,2
2019-02-28,Amistosos 2018-19,St. Vincent and the Grenadines,Barbados,-18.7,2.526,4.37,0.0,-1.0,-0.6,0.0,0.0,0.0,0.0,0.0,2
2019-03-02,Amistosos 2018-19,St. Vincent and the Grenadines,St. Lucia,-64.9,0.0,-1.3,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,2
2019-03-02,Amistosos 2018-19,Grenada,Dominica,-18.0,-2.465,-5.26,1.056,-1.27,1.14,0.0,0.0,0.0,0.0,0.0,0
2019-03-03,Amistosos 2018-19,Bolivia,Nicaragua,299.6,1.908,5.0,1.0,0.88,1.12,0.0,0.0,0.0,0.0,0.0,1
2019-03-04,Amistosos 2018-19,St. Lucia,Dominica,70.6,0.0,1.41,0.0,-0.29,-0.33,0.0,0.0,0.0,0.0,0.0,1
2019-03-04,Amistosos 2018-19,Barbados,Grenada,42.4,-0.061,1.0,0.762,0.5,-0.97,0.0,0.0,0.0,0.0,0.0,2
2019-03-06,Amistosos 2018-19,St. Lucia,Barbados,30.9,2.526,5.67,0.0,-1.0,-0.27,0.0,0.0,0.0,0.0,0.0,0
2019-03-06,Amistosos 2018-19,St. Vincent and the Grenadines,Dominica,5.7,0.0,0.11,0.0,0.38,-0.33,0.0,0.0,0.0,0.0,0.0,2
2019-03-07,Amistosos 2018-19,Guatemala,El Salvador,-11.5,-1.115,-2.2,0.153,2.2,2.17,0.0,0.0,0.0,0.0,0.0,0
2019-03-08,Amistosos 2018-19,Dominica,Barbados,-39.7,2.526,4.26,-0.9,-0.71,-0.27,0.0,0.0,0.0,0.0,0.0,0
2019-03-08,Amistosos 2018-19,St. Vincent and the Grenadines,Grenada,39.1,2.465,5.37,0.0,0.75,-2.0,0.0,0.0,0.0,0.0,0.0,1
2019-03-09,Amistosos 2018-19,Cambodia,Bangladesh,-4.7,0.0,-0.09,-0.667,0.45,-0.7,0.0,0.0,0.0,0.0,0.0,0
2019-03-16,Amistosos 2018-19,Suriname,Guyana,-17.5,1.453,5.58,1.431,-0.25,0.12,0.0,0.0,0.0,0.0,0.0,2
2019-03-16,Amistosos 2018-19,Bahamas,Turks and Caicos Islands,45.8,0.0,0.92,3.5,0.77,-1.12,0.0,0.0,0.0,0.0,0.0,2
2019-03-18,Amistosos 2018-19,Fiji,New Caledonia,-53.3,0.511,1.0,-0.222,0.43,-1.02,0.0,0.0,0.0,0.0,0.0,2
2019-03-18,Amistosos 2018-19,Solomon Islands,Vanuatu,-35.6,-0.874,-0.71,0.69,-0.12,-0.62,0.0,0.0,0.0,0.0,0.0,2
2019-03-19,Amistosos 2018-19,Myanmar,Chinese Taipei,81.8,0.0,1.64,0.0,-0.25,-1.05,0.0,0.0,0.0,0.0,0.0,1
2019-03-20,Amistosos 2018-19,Oman,Afghanistan,294.1,-0.846,11.33,2.0,0.6,0.14,0.0,0.0,0.0,0.0,0.0,2
2019-03-20,Amistosos 2018-19,Malaysia,Singapore,47.1,0.0,0.94,0.329,1.96,-0.27,0.0,0.0,0.0,0.0,0.0,0
2019-03-20,Amistosos 2018-19,Germany,Serbia,125.5,1.035,6.09,0.25,0.0,0.23,2.04,0.08,0.81,3.53,-1.29,1
2019-03-20,Amistosos 2018-19,Wales,Trinidad and Tobago,233.5,2.647,8.87,1.0,0.15,0.4,2.9,1.0,0.0,5.44,-3.1,2
2019-03-21,Amistosos 2018-19,New Caledonia,Mauritius,335.8,-0.329,0.0,-0.0,0.67,-0.57,0.0,0.0,0.0,0.0,0.0,0
2019-03-21,Amistosos 2018-19,China,Thailand,148.7,3.018,9.42,1.364,-0.2,-0.35,0.0,0.0,0.0,0.0,0.0,0
2019-03-21,Amistosos 2018-19,United Arab Emirates,Saudi Arabia,-75.7,-1.63,3.91,-0.806,0.6,0.42,-3.5,-0.8,-0.7,-7.5,2.9,2
2019-03-21,Amistosos 2018-19,Kosovo,Denmark,-354.1,-1.725,-8.36,-0.0,0.96,-0.67,-2.0,3.77,0.5,1.83,-0.33,1
2019-03-22,Amistosos 2018-19,Argentina,Venezuela,166.1,1.794,10.73,2.913,1.67,1.17,-3.0,-0.2,-0.3,12.0,2.1,0
2019-03-22,Amistosos 2018-19,Uruguay,Uzbekistan,258.4,3.568,12.52,3.0,0.93,-0.29,-0.17,0.47,-1.47,-4.0,2.43,2
2019-03-22,Amistosos 2018-19,Japan,Colombia,-137.7,-0.759,-3.91,-0.75,0.69,0.6,0.75,0.5,2.25,-1.1,-5.75,0
2019-03-22,Amistosos 2018-19,United States,Ecuador,7.2,0.619,1.18,-0.154,-0.06,-0.3,0.0,0.0,0.0,0.0,0.0,2
2019-03-22,Amistosos 2018-19,South Korea,Bolivia,168.3,3.054,6.0,-0.0,0.37,-1.42,-0.5,0.8,-1.8,-20.0,3.1,2
2019-03-23,Amistosos 2018-19,Afghanistan,Malaysia,20.0,-1.619,-8.26,-3.0,-2.8,1.23,0.0,0.0,0.0,0.0,0.0,0
2019-03-23,Amistosos 2018-19,Guatemala,Costa Rica,-240.3,-4.168,-10.91,-0.797,1.0,0.96,-2.5,-1.8,-0.2,10.0,-1.1,2
2019-03-23,Amistosos 2018-19,Mexico,Chile,-64.5,0.084,-0.36,-0.321,0.0,-0.12,4.5,-2.2,2.2,9.5,3.1,2
2019-03-23,Amistosos 2018-19,Brazil,Panama,532.2,3.962,18.18,4.667,0.62,-0.62,15.0,6.5,6.0,12.0,-5.5,1
2019-03-23,Amistosos 2018-19,Oman,Singapore,361.2,-2.465,4.02,2.111,0.79,0.4,0.0,0.0,0.0,0.0,0.0,1
2019-03-23,Amistosos 2018-19,Jordan,Syria,4.0,-5.044,-10.33,0.192,-0.04,-0.1,0.0,0.0,0.0,0.0,0.0,0
2019-03-23,Amistosos 2018-19,Peru,Paraguay,144.3,-0.5,-2.0,-0.25,0.42,0.33,-4.5,-1.7,-1.8,1.5,0.1,2
2019-03-24,Amistosos 2018-19,Fiji,Mauritius,286.7,0.182,1.0,0.0,0.9,-0.71,0.0,0.0,0.0,0.0,0.0,2
2019-03-24,Amistosos 2018-19,Chinese Taipei,Solomon Islands,-353.6,-1.327,-7.07,0.0,-1.0,2.58,0.0,0.0,0.0,0.0,0.0,0
2019-03-25,Amistosos 2018-19,Kuwait,Nepal,393.0,0.0,7.86,4.0,0.77,0.62,0.0,0.0,0.0,0.0,0.0,2
2019-03-25,Amistosos 2018-19,Saudi Arabia,Equatorial Guinea,219.4,1.918,4.42,-0.0,-0.33,0.07,10.5,2.8,2.2,12.0,-5.9,2
2019-03-25,Amistosos 2018-19,Azerbaijan,Lithuania,102.5,-1.064,1.93,-0.333,1.0,-0.62,3.0,0.23,5.17,20.23,-1.17,1
2019-03-25,Amistosos 2018-19,China,Uzbekistan,-80.4,1.341,1.15,-0.333,-0.42,-1.2,10.0,4.0,5.0,4.4,-2.0,0
2019-03-25,Amistosos 2018-19,Thailand,Uruguay,-487.5,-5.245,-20.78,0.0,-1.4,0.04,-2.33,0.67,-1.67,-1.87,-8.0,0
2019-03-25,Amistosos 2018-19,Myanmar,Indonesia,-91.8,3.324,12.13,-0.0,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0
2019-03-26,Amistosos 2018-19,Morocco,Argentina,-149.1,-1.12,-6.91,-1.5,-0.5,-1.5,2.67,-0.67,0.33,-9.67,5.67,0
2019-03-26,Amistosos 2018-19,Czech Republic,Brazil,-422.2,-1.899,-9.13,-2.0,-0.58,1.1,-15.0,-4.75,-2.25,-17.58,1.75,0
2019-03-26,Amistosos 2018-19,Gibraltar,Estonia,-277.6,-0.709,2.69,-3.0,-0.8,1.67,-1.71,0.32,-0.47,-2.77,-6.64,0
2019-03-26,Amistosos 2018-19,Algeria,Tunisia,-97.7,1.22,5.73,0.088,0.67,-0.43,-0.5,-0.13,1.47,-0.67,-2.43,2
2019-03-26,Amistosos 2018-19,United States,Chile,-45.2,-0.395,-3.0,-0.8,-0.33,-0.15,0.0,0.0,0.0,0.0,0.0,1
2019-03-26,Amistosos 2018-19,Nigeria,Egypt,70.1,0.293,0.73,0.056,0.2,-0.4,3.33,1.33,1.67,1.0,2.33,2
2019-03-26,Amistosos 2018-19,Honduras,Ecuador,-138.4,-0.75,-4.45,-0.429,-0.83,-0.39,0.0,0.0,0.0,0.0,0.0,1
2019-03-26,Amistosos 2018-19,Japan,Bolivia,197.5,3.386,8.64,1.0,0.83,0.25,-0.5,-0.2,1.2,-6.0,-3.9,2
2019-03-26,Amistosos 2018-19,South Korea,Colombia,-186.6,-1.092,-6.55,0.667,-0.14,0.08,1.17,1.2,1.47,-2.87,-3.1,2
2019-03-26,Amistosos 2018-19,Ivory Coast,Liberia,262.4,4.911,14.59,1.867,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2
2019-03-26,Amistosos 2018-19,Iraq,Jordan,75.3,4.119,8.57,0.561,0.55,0.71,0.0,0.0,0.0,0.0,0.0,2
2019-03-26,Amistosos 2018-19,United Arab Emirates,Syria,-17.9,-1.02,7.67,0.889,0.86,0.17,0.0,0.0,0.0,0.0,0.0,1
2019-03-26,Amistosos 2018-19,Senegal,Mali,220.2,1.131,5.82,0.353,1.17,0.08,-1.83,-0.2,-1.8,-6.0,1.77,2
2019-03-27,Amistosos 2018-19,Peru,El Salvador,308.4,3.045,8.98,1.0,0.29,0.5,-7.5,-1.2,-1.8,-3.0,-0.9,0
2019-03-27,Amistosos 2018-19,Costa Rica,Jamaica,138.8,0.306,2.55,1.25,-0.18,0.25,0.0,0.0,0.0,0.0,0.0,2
2019-03-27,Amistosos 2018-19,Mexico,Paraguay,89.0,0.552,2.18,1.053,0.9,0.38,1.5,-3.2,2.2,4.0,5.1,2
2019-05-25,Amistosos 2018-19,Eswatini,Mauritius,62.0,0.693,-1.7,-0.4,-1.15,-0.63,0.0,0.0,0.0,0.0,0.0,1
2019-05-26,Amistosos 2018-19,Mozambique,Namibia,-37.1,1.533,5.08,-0.538,0.38,0.71,0.0,0.0,0.0,0.0,0.0,0
2019-05-26,Amistosos 2018-19,Malawi,Seychelles,261.3,0.0,5.23,0.0,0.29,-1.88,0.0,0.0,0.0,0.0,0.0,2
2019-05-27,Amistosos 2018-19,Eswatini,Comoros,45.7,-0.445,2.39,3.0,0.17,0.23,0.0,0.0,0.0,0.0,0.0,1
2019-05-28,Amistosos 2018-19,Seychelles,Mozambique,-289.3,-0.82,-5.16,-1.333,-0.71,0.29,0.0,0.0,0.0,0.0,0.0,1
2019-05-28,Amistosos 2018-19,Namibia,Malawi,72.9,-0.713,-5.53,0.462,-0.1,0.29,0.0,0.0,0.0,0.0,0.0,0
2019-05-28,Amistosos 2018-19,Laos,Sri Lanka,-9.2,0.0,-0.18,-0.4,0.25,-0.07,0.0,0.0,0.0,0.0,0.0,2
2019-05-29,Amistosos 2018-19,Comoros,Mauritius,13.0,1.138,-4.14,-2.222,-0.58,-0.48,0.0,0.0,0.0,0.0,0.0,2
2019-05-30,Amistosos 2018-19,Mozambique,Malawi,-19.3,0.82,-0.81,-0.25,-0.18,0.83,0.0,0.0,0.0,0.0,0.0,1
2019-05-30,Amistosos 2018-19,Namibia,Seychelles,324.9,-0.713,-0.13,1.0,0.6,-0.93,0.0,0.0,0.0,0.0,0.0,2
2019-05-30,Amistosos 2018-19,Turkey,Greece,76.0,-0.41,-0.15,0.9,0.75,-0.08,-2.75,0.1,-0.5,-3.04,-2.58,2
2019-05-31,Amistosos 2018-19,Laos,Sri Lanka,5.6,0.0,0.11,-0.167,0.71,-0.16,0.0,0.0,0.0,0.0,0.0,1
2019-06-01,Amistosos 2018-19,Lesotho,Uganda,-174.4,0.697,9.61,-2.0,-0.6,-0.13,0.0,0.0,0.0,0.0,0.0,1
2019-06-01,Amistosos 2018-19,Zimbabwe,Comoros,317.0,1.482,3.6,-0.0,0.67,0.34,0.0,0.0,0.0,0.0,0.0,2
2019-06-02,Amistosos 2018-19,Luxembourg,Madagascar,-45.7,0.129,-2.11,0.0,1.07,0.33,6.33,2.4,1.53,4.8,3.1,1
2019-06-02,Amistosos 2018-19,El Salvador,Haiti,-19.2,-1.02,2.47,0.64,-1.55,-0.45,0.0,0.0,0.0,0.0,0.0,2
2019-06-02,Amistosos 2018-19,France,Bolivia,468.3,5.05,17.64,-0.0,0.0,0.1,0.33,0.63,-1.47,-7.12,-2.57,2
2019-06-02,Amistosos 2018-19,Turkey,Uzbekistan,47.4,2.371,7.56,0.0,0.25,-0.75,-0.75,1.5,1.0,3.07,-2.25,2
2019-06-02,Amistosos 2018-19,Zambia,Malawi,131.8,0.558,-6.66,1.315,-0.42,1.2,0.0,0.0,0.0,0.0,0.0,1
2019-06-02,Amistosos 2018-19,Malaysia,Nepal,195.2,0.0,3.9,3.5,2.17,-0.33,0.0,0.0,0.0,0.0,0.0,2
2019-06-02,Amistosos 2018-19,Venezuela,Ecuador,-13.2,0.411,-0.09,-0.889,-0.83,-1.0,0.0,0.0,0.0,0.0,0.0,1
2019-06-02,Amistosos 2018-19,South Africa,Botswana,250.3,2.594,3.38,1.167,-0.29,-0.1,0.0,0.0,0.0,0.0,0.0,1
2019-06-03,Amistosos 2018-19,Colombia,Panama,359.5,3.126,12.45,1.0,0.61,-0.6,0.0,-1.0,-2.3,15.8,1.0,2
2019-06-04,Amistosos 2018-19,Uganda,South Africa,-81.5,-3.291,-13.2,-1.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,1
2019-06-04,Amistosos 2018-19,Comoros,Malawi,-155.9,0.445,-4.8,-0.333,-0.2,0.46,0.0,0.0,0.0,0.0,0.0,0
2019-06-05,Amistosos 2018-19,United States,Jamaica,208.1,0.87,4.36,1.0,-0.83,0.57,0.0,0.0,0.0,0.0,0.0,0
2019-06-05,Amistosos 2018-19,Paraguay,Honduras,71.6,1.296,6.09,0.5,0.77,-0.08,0.0,0.0,0.0,0.0,0.0,1
