team,elo,squad_value,ea_overall,goles_anotados_avg,goles_recibidos_avg,tiros_avg,tiros_arco_avg,corners_avg,posesion_avg,faltas_avg
Spain,2223.3,1279000000.0,86.45,3.12,1.33,18.5,7.5,6.62,68.11,8.62
Argentina,2189.1,856000000.0,85.0,2.43,1.0,11.67,6.0,6.0,64.47,14.67
France,2127.9,1443000000.0,86.73,2.62,1.33,19.75,6.38,6.75,66.44,10.12
England,2090.1,1263500000.0,86.09,2.62,1.0,18.29,6.86,7.0,70.0,9.29
Brazil,2069.4,1163500000.0,86.36,2.71,1.67,14.75,6.5,3.75,52.22,11.0
Colombia,2064.4,327825000.0,79.73,2.0,1.75,13.75,5.25,5.75,58.87,9.75
Portugal,2056.4,975000000.0,85.27,3.67,1.6,22.25,7.5,6.75,69.6,7.38
Ecuador,2028.6,302125000.0,77.18,1.57,1.0,12.0,4.5,2.75,49.62,14.25
Netherlands,2003.9,852000000.0,84.73,2.86,1.2,15.88,5.88,6.25,62.32,10.38
Germany,2000.2,995200000.0,85.73,3.0,1.67,18.0,7.14,6.86,62.71,11.0
Japan,1993.4,309700000.0,79.27,2.0,2.0,16.5,7.0,6.5,54.9,13.5
Mexico,1985.3,111400000.0,78.18,2.14,1.5,12.71,5.0,7.0,57.13,11.57
Morocco,1984.7,445300000.0,81.0,2.25,1.0,15.75,5.5,6.75,61.62,10.5
Norway,1983.3,479900000.0,80.18,3.75,1.14,16.71,6.43,5.43,56.59,8.57
Uruguay,1976.0,441600000.0,81.18,1.67,2.33,7.5,2.0,3.0,48.3,13.0
Turkey,1974.2,435100000.0,80.27,3.29,2.17,14.0,5.88,7.88,53.02,10.38
Croatia,1973.5,379300000.0,81.18,2.83,1.4,18.25,5.75,7.5,65.28,10.75
Switzerland,1951.6,340700000.0,81.45,2.57,1.6,11.25,5.38,5.14,59.95,9.12
Belgium,1944.6,664500000.0,83.73,4.29,1.67,21.88,9.12,10.0,63.25,9.12
Denmark,1938.2,368400000.0,79.73,3.0,2.0,17.75,6.38,7.12,62.6,9.88
Italy,1935.2,936000000.0,85.09,2.62,3.0,20.62,6.75,7.12,58.72,11.12
Paraguay,1918.7,113499999.0,75.64,1.83,1.75,9.0,4.0,5.0,43.95,11.5
Senegal,1918.6,314300000.0,79.73,3.71,2.33,13.0,5.83,5.33,61.45,12.5
Canada,1902.8,193125000.0,77.09,1.6,1.33,15.0,4.5,9.75,58.25,11.0
Australia,1900.1,50425000.0,72.73,1.8,1.5,7.5,3.25,2.25,45.2,14.5
Iran,1894.9,22225000.0,71.0,2.5,2.0,11.5,4.2,4.8,50.0,12.9
