temporada,equipo,squad_size,avg_age,foreigners,pct_foreigners,squad_value,stadium_capacity,avg_attendance,stadium_occupation
2020,F.C. København,28,25.2,17,0.61,63.2,38065,28000,0.7356
2020,FC Midtjylland,28,24.8,16,0.57,51.4,12152,10500,0.8641
2020,Brøndby IF,28,25.5,15,0.54,35.6,28000,21000,0.75
2020,FC Nordsjælland,28,23.0,15,0.54,31.6,10300,5500,0.534
2020,AGF,28,25.8,13,0.46,17.4,19433,12500,0.6432
2020,Silkeborg IF,28,25.4,10,0.36,12.6,10000,6500,0.65
2020,Randers FC,28,25.6,11,0.39,11.1,10300,5200,0.5049
2020,Viborg FF,28,25.2,13,0.46,11.1,10000,6800,0.68
2020,AaB,28,24.8,12,0.43,9.5,13600,8500,0.625
2020,Odense Boldklub,28,25.5,13,0.46,9.5,15790,9000,0.57
2020,Vejle Boldklub,28,25.9,14,0.5,7.9,11060,7500,0.6781
2020,Lyngby Boldklub,28,25.6,11,0.39,7.1,10100,5500,0.5446
2020,Sønderjyske Fodbold,28,25.8,13,0.46,7.1,10100,5000,0.495
2020,AC Horsens,28,25.2,10,0.36,5.5,10400,3800,0.3654
2020,Hvidovre IF,28,26.2,7,0.25,5.0,12000,3000,0.25
2020,FC Fredericia,28,24.8,7,0.25,5.0,6000,2200,0.3667
2021,F.C. København,28,25.2,17,0.61,66.0,38065,28000,0.7356
2021,FC Midtjylland,28,24.8,16,0.57,53.6,12152,10500,0.8641
2021,Brøndby IF,28,25.5,15,0.54,37.1,28000,21000,0.75
2021,FC Nordsjælland,28,23.0,15,0.54,33.0,10300,5500,0.534
2021,AGF,28,25.8,13,0.46,18.1,19433,12500,0.6432
2021,Silkeborg IF,28,25.4,10,0.36,13.2,10000,6500,0.65
2021,Randers FC,28,25.6,11,0.39,11.5,10300,5200,0.5049
2021,Viborg FF,28,25.2,13,0.46,11.5,10000,6800,0.68
2021,AaB,28,24.8,12,0.43,9.9,13600,8500,0.625
2021,Odense Boldklub,28,25.5,13,0.46,9.9,15790,9000,0.57
2021,Vejle Boldklub,28,25.9,14,0.5,8.2,11060,7500,0.6781
2021,Lyngby Boldklub,28,25.6,11,0.39,7.4,10100,5500,0.5446
2021,Sønderjyske Fodbold,28,25.8,13,0.46,7.4,10100,5000,0.495
2021,AC Horsens,28,25.2,10,0.36,5.8,10400,3800,0.3654
2021,Hvidovre IF,28,26.2,7,0.25,5.0,12000,3000,0.25
2021,FC Fredericia,28,24.8,7,0.25,5.0,6000,2200,0.3667
2022,F.C. København,28,25.2,17,0.61,68.8,38065,28000,0.7356
2022,FC Midtjylland,28,24.8,16,0.57,55.9,12152,10500,0.8641
2022,Brøndby IF,28,25.5,15,0.54,38.7,28000,21000,0.75
2022,FC Nordsjælland,28,23.0,15,0.54,34.4,10300,5500,0.534
2022,AGF,28,25.8,13,0.46,18.9,19433,12500,0.6432
2022,Silkeborg IF,28,25.4,10,0.36,13.8,10000,6500,0.65
2022,Randers FC,28,25.6,11,0.39,12.0,10300,5200,0.5049
2022,Viborg FF,28,25.2,13,0.46,12.0,10000,6800,0.68
2022,AaB,28,24.8,12,0.43,10.3,13600,8500,0.625
2022,Odense Boldklub,28,25.5,13,0.46,10.3,15790,9000,0.57
2022,Vejle Boldklub,28,25.9,14,0.5,8.6,11060,7500,0.6781
2022,Lyngby Boldklub,28,25.6,11,0.39,7.7,10100,5500,0.5446
2022,Sønderjyske Fodbold,28,25.8,13,0.46,7.7,10100,5000,0.495
2022,AC Horsens,28,25.2,10,0.36,6.0,10400,3800,0.3654
2022,Hvidovre IF,28,26.2,7,0.25,5.0,12000,3000,0.25
2022,FC Fredericia,28,24.8,7,0.25,5.0,6000,2200,0.3667
2023,F.C. København,28,25.2,17,0.61,71.6,38065,28000,0.7356
2023,FC Midtjylland,28,24.8,16,0.57,58.2,12152,10500,0.8641
2023,Brøndby IF,28,25.5,15,0.54,40.3,28000,21000,0.75
2023,FC Nordsjælland,28,23.0,15,0.54,35.8,10300,5500,0.534
2023,AGF,28,25.8,13,0.46,19.7,19433,12500,0.6432
2023,Silkeborg IF,28,25.4,10,0.36,14.3,10000,6500,0.65
2023,Randers FC,28,25.6,11,0.39,12.5,10300,5200,0.5049
2023,Viborg FF,28,25.2,13,0.46,12.5,10000,6800,0.68
2023,AaB,28,24.8,12,0.43,10.7,13600,8500,0.625
2023,Odense Boldklub,28,25.5,13,0.46,10.7,15790,9000,0.57
2023,Vejle Boldklub,28,25.9,14,0.5,8.9,11060,7500,0.6781
2023,Lyngby Boldklub,28,25.6,11,0.39,8.1,10100,5500,0.5446
2023,Sønderjyske Fodbold,28,25.8,13,0.46,8.1,10100,5000,0.495
2023,AC Horsens,28,25.2,10,0.36,6.3,10400,3800,0.3654
2023,Hvidovre IF,28,26.2,7,0.25,5.0,12000,3000,0.25
2023,FC Fredericia,28,24.8,7,0.25,5.0,6000,2200,0.3667
2024,F.C. København,28,25.2,17,0.61,74.4,38065,28000,0.7356
2024,FC Midtjylland,28,24.8,16,0.57,60.4,12152,10500,0.8641
2024,Brøndby IF,28,25.5,15,0.54,41.8,28000,21000,0.75
2024,FC Nordsjælland,28,23.0,15,0.54,37.2,10300,5500,0.534
2024,AGF,28,25.8,13,0.46,20.5,19433,12500,0.6432
2024,Silkeborg IF,28,25.4,10,0.36,14.9,10000,6500,0.65
2024,Randers FC,28,25.6,11,0.39,13.0,10300,5200,0.5049
2024,Viborg FF,28,25.2,13,0.46,13.0,10000,6800,0.68
2024,AaB,28,24.8,12,0.43,11.2,13600,8500,0.625
2024,Odense Boldklub,28,25.5,13,0.46,11.2,15790,9000,0.57
2024,Vejle Boldklub,28,25.9,14,0.5,9.3,11060,7500,0.6781
2024,Lyngby Boldklub,28,25.6,11,0.39,8.4,10100,5500,0.5446
2024,Sønderjyske Fodbold,28,25.8,13,0.46,8.4,10100,5000,0.495
2024,AC Horsens,28,25.2,10,0.36,6.5,10400,3800,0.3654
2024,Hvidovre IF,28,26.2,7,0.25,5.0,12000,3000,0.25
2024,FC Fredericia,28,24.8,7,0.25,5.0,6000,2200,0.3667
2025,F.C. København,28,25.2,17,0.61,77.2,38065,28000,0.7356
2025,FC Midtjylland,28,24.8,16,0.57,62.7,12152,10500,0.8641
2025,Brøndby IF,28,25.5,15,0.54,43.4,28000,21000,0.75
2025,FC Nordsjælland,28,23.0,15,0.54,38.6,10300,5500,0.534
2025,AGF,28,25.8,13,0.46,21.2,19433,12500,0.6432
2025,Silkeborg IF,28,25.4,10,0.36,15.4,10000,6500,0.65
2025,Randers FC,28,25.6,11,0.39,13.5,10300,5200,0.5049
2025,Viborg FF,28,25.2,13,0.46,13.5,10000,6800,0.68
2025,AaB,28,24.8,12,0.43,11.6,13600,8500,0.625
2025,Odense Boldklub,28,25.5,13,0.46,11.6,15790,9000,0.57
2025,Vejle Boldklub,28,25.9,14,0.5,9.7,11060,7500,0.6781
2025,Lyngby Boldklub,28,25.6,11,0.39,8.7,10100,5500,0.5446
2025,Sønderjyske Fodbold,28,25.8,13,0.46,8.7,10100,5000,0.495
2025,AC Horsens,28,25.2,10,0.36,6.8,10400,3800,0.3654
2025,Hvidovre IF,28,26.2,7,0.25,5.0,12000,3000,0.25
2025,FC Fredericia,28,24.8,7,0.25,5.0,6000,2200,0.3667
2026,F.C. København,28,25.2,17,0.61,80.0,38065,28000,0.7356
2026,FC Midtjylland,28,24.8,16,0.57,65.0,12152,10500,0.8641
2026,Brøndby IF,28,25.5,15,0.54,45.0,28000,21000,0.75
2026,FC Nordsjælland,28,23.0,15,0.54,40.0,10300,5500,0.534
2026,AGF,28,25.8,13,0.46,22.0,19433,12500,0.6432
2026,Silkeborg IF,28,25.4,10,0.36,16.0,10000,6500,0.65
2026,Randers FC,28,25.6,11,0.39,14.0,10300,5200,0.5049
2026,Viborg FF,28,25.2,13,0.46,14.0,10000,6800,0.68
2026,AaB,28,24.8,12,0.43,12.0,13600,8500,0.625
2026,Odense Boldklub,28,25.5,13,0.46,12.0,15790,9000,0.57
2026,Vejle Boldklub,28,25.9,14,0.5,10.0,11060,7500,0.6781
2026,Lyngby Boldklub,28,25.6,11,0.39,9.0,10100,5500,0.5446
