local_equipo,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_wonCorners,local_saves,local_possessionPct,local_totalShots,local_shotsOnTarget,local_shotPct,local_penaltyKickGoals,local_penaltyKickShots,local_accuratePasses,local_totalPasses,local_passPct,local_accurateCrosses,local_totalCrosses,local_crossPct,local_totalLongBalls,local_accurateLongBalls,local_longballPct,local_blockedShots,local_effectiveTackles,local_totalTackles,local_tacklePct,local_interceptions,local_effectiveClearance,local_totalClearance,visita_equipo,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_wonCorners,visita_saves,visita_possessionPct,visita_totalShots,visita_shotsOnTarget,visita_shotPct,visita_penaltyKickGoals,visita_penaltyKickShots,visita_accuratePasses,visita_totalPasses,visita_passPct,visita_accurateCrosses,visita_totalCrosses,visita_crossPct,visita_totalLongBalls,visita_accurateLongBalls,visita_longballPct,visita_blockedShots,visita_effectiveTackles,visita_totalTackles,visita_tacklePct,visita_interceptions,visita_effectiveClearance,visita_totalClearance,event_id,fecha,temporada
Randers FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC Horsens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575827,2021-02-02 17:00:00,2021
Vejle Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575828,2021-02-02 19:00:00,2021
Odense Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lyngby Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575831,2021-02-03 17:00:00,2021
AaB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F.C. København,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575830,2021-02-03 19:00:00,2021
FC Midtjylland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sønderjyske Fodbold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575832,2021-02-04 17:00:00,2021
FC Nordsjælland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brøndby IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575829,2021-02-04 19:00:00,2021
FC Nordsjælland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odense Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575825,2021-02-07 13:00:00,2021
Sønderjyske Fodbold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vejle Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575826,2021-02-07 13:00:00,2021
AC Horsens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F.C. København,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575822,2021-02-07 15:00:00,2021
AGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lyngby Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575824,2021-02-07 17:00:00,2021
Brøndby IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AaB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575821,2021-02-07 19:00:00,2021
Randers FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Midtjylland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575823,2021-02-08 18:00:00,2021
Vejle Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Nordsjælland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575818,2021-02-14 13:00:00,2021
AaB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Randers FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575819,2021-02-14 13:00:00,2021
Lyngby Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brøndby IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575817,2021-02-14 15:00:00,2021
FC Midtjylland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC Horsens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575815,2021-02-14 17:00:00,2021
Odense Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575816,2021-02-14 19:00:00,2021
F.C. København,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sønderjyske Fodbold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575820,2021-02-15 18:00:00,2021
AaB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Midtjylland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575810,2021-02-19 18:00:00,2021
Randers FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Nordsjælland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575811,2021-02-21 13:00:00,2021
AC Horsens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odense Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575812,2021-02-21 13:00:00,2021
AGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sønderjyske Fodbold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575813,2021-02-21 15:00:00,2021
Brøndby IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vejle Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575814,2021-02-21 17:00:00,2021
Lyngby Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F.C. København,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575809,2021-02-22 18:00:00,2021
Vejle Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC Horsens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575803,2021-02-26 18:00:00,2021
FC Nordsjælland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AaB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575805,2021-02-28 13:00:00,2021
Odense Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Randers FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575808,2021-02-28 13:00:00,2021
F.C. København,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575804,2021-02-28 15:00:00,2021
FC Midtjylland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brøndby IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575806,2021-02-28 17:00:00,2021
Sønderjyske Fodbold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lyngby Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575807,2021-03-01 18:00:00,2021
AC Horsens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AaB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575797,2021-03-03 17:00:00,2021
AGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Nordsjælland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575799,2021-03-03 17:00:00,2021
F.C. København,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vejle Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575802,2021-03-03 19:00:00,2021
Lyngby Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Midtjylland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575798,2021-03-04 17:00:00,2021
Sønderjyske Fodbold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odense Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575800,2021-03-04 17:00:00,2021
Brøndby IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Randers FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575801,2021-03-04 19:00:00,2021
Randers FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lyngby Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575794,2021-03-07 11:00:00,2021
Brøndby IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F.C. København,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575793,2021-03-07 13:00:00,2021
FC Midtjylland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575792,2021-03-07 15:00:00,2021
FC Nordsjælland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC Horsens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575791,2021-03-07 17:00:00,2021
Vejle Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odense Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575795,2021-03-07 19:00:00,2021
AaB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sønderjyske Fodbold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575796,2021-03-08 18:00:00,2021
Lyngby Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Nordsjælland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575789,2021-03-12 18:00:00,2021
Vejle Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AaB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575786,2021-03-14 13:00:00,2021
Sønderjyske Fodbold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC Horsens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575785,2021-03-14 13:00:00,2021
Odense Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brøndby IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575787,2021-03-14 15:00:00,2021
F.C. København,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Midtjylland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575788,2021-03-14 17:00:00,2021
AGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Randers FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575790,2021-03-15 18:00:00,2021
FC Nordsjælland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sønderjyske Fodbold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575783,2021-03-21 16:00:00,2021
Brøndby IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575779,2021-03-21 16:00:00,2021
Randers FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F.C. København,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575780,2021-03-21 16:00:00,2021
FC Midtjylland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vejle Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575784,2021-03-21 16:00:00,2021
AaB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odense Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575782,2021-03-21 16:00:00,2021
AC Horsens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lyngby Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575781,2021-03-21 16:00:00,2021
AC Horsens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odense Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597386,2021-04-04 14:00:00,2021
FC Nordsjælland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597387,2021-04-04 16:05:00,2021
AaB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sønderjyske Fodbold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597388,2021-04-05 12:00:00,2021
F.C. København,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Randers FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597389,2021-04-05 14:00:00,2021
FC Midtjylland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brøndby IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597390,2021-04-05 16:00:00,2021
Lyngby Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vejle Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597391,2021-04-06 16:30:00,2021
Odense Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vejle Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597392,2021-04-09 16:30:00,2021
Randers FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Nordsjælland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597394,2021-04-11 12:00:00,2021
Sønderjyske Fodbold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC Horsens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597393,2021-04-11 12:00:00,2021
Brøndby IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F.C. København,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597395,2021-04-11 14:00:00,2021
AGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Midtjylland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597396,2021-04-11 16:00:00,2021
Lyngby Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AaB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597397,2021-04-12 17:00:00,2021
Vejle Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AaB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597398,2021-04-16 17:00:00,2021
AC Horsens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lyngby Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597400,2021-04-18 12:00:00,2021
Odense Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sønderjyske Fodbold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597399,2021-04-18 12:00:00,2021
F.C. København,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Nordsjælland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597401,2021-04-18 14:00:00,2021
Brøndby IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597402,2021-04-18 16:00:00,2021
Randers FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Midtjylland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597403,2021-04-19 17:00:00,2021
AaB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odense Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597405,2021-04-21 16:00:00,2021
Lyngby Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sønderjyske Fodbold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597404,2021-04-21 16:00:00,2021
FC Nordsjælland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brøndby IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597406,2021-04-21 18:00:00,2021
AGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Randers FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597408,2021-04-22 15:45:00,2021
Vejle Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC Horsens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597407,2021-04-22 16:00:00,2021
FC Midtjylland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F.C. København,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597409,2021-04-22 18:15:00,2021
AC Horsens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AaB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597410,2021-04-25 12:00:00,2021
Sønderjyske Fodbold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vejle Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597411,2021-04-25 12:00:00,2021
Brøndby IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Randers FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597412,2021-04-25 14:00:00,2021
Odense Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lyngby Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597413,2021-04-25 16:00:00,2021
AGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F.C. København,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597414,2021-04-25 18:00:00,2021
FC Nordsjælland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Midtjylland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597415,2021-04-26 17:00:00,2021
AC Horsens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vejle Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597416,2021-04-30 14:00:00,2021
AaB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lyngby Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597417,2021-04-30 16:05:00,2021
Sønderjyske Fodbold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odense Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597418,2021-05-02 12:00:00,2021
Randers FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brøndby IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597419,2021-05-02 14:00:00,2021
FC Midtjylland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Nordsjælland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597420,2021-05-02 16:00:00,2021
F.C. København,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597421,2021-05-03 17:00:00,2021
Odense Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AaB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597422,2021-05-07 17:00:00,2021
Lyngby Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC Horsens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597423,2021-05-09 12:00:00,2021
Vejle Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sønderjyske Fodbold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597424,2021-05-09 12:00:00,2021
Randers FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597425,2021-05-09 14:00:00,2021
Brøndby IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Midtjylland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597426,2021-05-09 16:00:00,2021
FC Nordsjælland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F.C. København,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597427,2021-05-10 17:00:00,2021
Vejle Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odense Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597428,2021-05-14 17:00:00,2021
FC Midtjylland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Randers FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597429,2021-05-16 11:00:00,2021
AaB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC Horsens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597430,2021-05-16 12:00:00,2021
F.C. København,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brøndby IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597431,2021-05-16 14:00:00,2021
AGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Nordsjælland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597432,2021-05-16 16:00:00,2021
Sønderjyske Fodbold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lyngby Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597433,2021-05-17 17:00:00,2021
FC Nordsjælland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Randers FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597435,2021-05-19 16:00:00,2021
AaB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vejle Boldklub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597434,2021-05-19 16:00:00,2021
F.C. København,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Midtjylland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597436,2021-05-19 18:00:00,2021
