id,name,norm_name,short_name,abbreviation,slug,color,alternate_color,logo,is_active
3585,AC Horsens,AC Horsens,AC Horsens,ACH,den.ac_horsens,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3585.png,True
7853,AGF,AGF,AGF,AGF,den.agf-aarhus,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/7853.png,True
2986,AaB,AaB,AaB,AaB,,b51c21,000000,https://a.espncdn.com/i/teamlogos/soccer/500/2986.png,True
575,Brøndby IF,Brøndby IF,Brøndby,BRO,den.brndby,ffff00,43473d,https://a.espncdn.com/i/teamlogos/soccer/500-dark/575.png,True
909,F.C. København,F.C. København,København,KBH,den.fc_copenhagen,ffffff,1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500-dark/909.png,True
130912,FC Fredericia,FC Fredericia,Fredericia,FRD,,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/130912.png,True
572,FC Midtjylland,FC Midtjylland,Midtjylland,MID,den.fc_midtjylland,000000,ff0900,https://a.espncdn.com/i/teamlogos/soccer/500-dark/572.png,True
3101,FC Nordsjælland,FC Nordsjælland,Nordsjælland,FCN,den.fc_nordsjlland,CF010E,0093EC,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3101.png,True
21933,Hvidovre IF,Hvidovre IF,Hvidovre,HVI,,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/21933.png,True
7860,Lyngby Boldklub,Lyngby Boldklub,Lyngby,LBK,den.lyngby,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/7860.png,True
11550,Odense Boldklub,Odense Boldklub,Odense,OBK,ger.odense_boldklub,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/11550.png,True
3132,Randers FC,Randers FC,Randers,RAN,den.randers_fc,81c0ff,ff6600,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3132.png,True
607,Silkeborg IF,Silkeborg IF,Silkeborg,SIF,den.silkeborg_if,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/607.png,True
8118,Sønderjyske Fodbold,Sønderjyske Fodbold,Sønderjyske,SON,team.sonderjyske,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/8118.png,True
12498,Vejle Boldklub,Vejle Boldklub,Vejle,VEJ,,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/12498.png,True
3153,Viborg FF,Viborg FF,Viborg,VIB,den.viborg_ff,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3153.png,True
