event_id,fecha,temporada,local_id,visita_id,local,visita,goles_local,goles_visita,estado,status_name
575827,2021-02-02 18:00:00,2021,3132,3585,Randers FC,AC Horsens,3,0,post,STATUS_FULL_TIME
575828,2021-02-02 20:00:00,2021,12498,7853,Vejle Boldklub,AGF,0,0,post,STATUS_FULL_TIME
575831,2021-02-03 18:00:00,2021,11550,7860,Odense Boldklub,Lyngby Boldklub,0,1,post,STATUS_FULL_TIME
575830,2021-02-03 20:00:00,2021,2986,909,AaB,F.C. København,2,3,post,STATUS_FULL_TIME
575832,2021-02-04 18:00:00,2021,572,8118,FC Midtjylland,Sønderjyske Fodbold,1,2,post,STATUS_FULL_TIME
575829,2021-02-04 20:00:00,2021,3101,575,FC Nordsjælland,Brøndby IF,0,1,post,STATUS_FULL_TIME
575825,2021-02-07 14:00:00,2021,3101,11550,FC Nordsjælland,Odense Boldklub,0,2,post,STATUS_FULL_TIME
575826,2021-02-07 14:00:00,2021,8118,12498,Sønderjyske Fodbold,Vejle Boldklub,0,1,post,STATUS_FULL_TIME
575822,2021-02-07 16:00:00,2021,3585,909,AC Horsens,F.C. København,0,2,post,STATUS_FULL_TIME
575824,2021-02-07 18:00:00,2021,7853,7860,AGF,Lyngby Boldklub,1,0,post,STATUS_FULL_TIME
575821,2021-02-07 20:00:00,2021,575,2986,Brøndby IF,AaB,1,1,post,STATUS_FULL_TIME
575823,2021-02-08 19:00:00,2021,3132,572,Randers FC,FC Midtjylland,1,2,post,STATUS_FULL_TIME
575819,2021-02-14 14:00:00,2021,2986,3132,AaB,Randers FC,0,0,post,STATUS_FULL_TIME
575818,2021-02-14 14:00:00,2021,12498,3101,Vejle Boldklub,FC Nordsjælland,2,2,post,STATUS_FULL_TIME
575817,2021-02-14 16:00:00,2021,7860,575,Lyngby Boldklub,Brøndby IF,0,4,post,STATUS_FULL_TIME
575815,2021-02-14 18:00:00,2021,572,3585,FC Midtjylland,AC Horsens,1,0,post,STATUS_FULL_TIME
575816,2021-02-14 20:00:00,2021,11550,7853,Odense Boldklub,AGF,0,0,post,STATUS_FULL_TIME
575820,2021-02-15 19:00:00,2021,909,8118,F.C. København,Sønderjyske Fodbold,3,2,post,STATUS_FULL_TIME
