temporada,equipo,squad_value
2020,F.C. København,63.2
2020,FC Midtjylland,51.4
2020,Brøndby IF,35.6
2020,FC Nordsjælland,31.6
2020,AGF,17.4
2020,Silkeborg IF,12.6
2020,Randers FC,11.1
2020,Viborg FF,11.1
2020,AaB,9.5
2020,Odense Boldklub,9.5
2020,Vejle Boldklub,7.9
2020,Lyngby Boldklub,7.1
2020,Sønderjyske Fodbold,7.1
2020,AC Horsens,5.5
2020,Hvidovre IF,5.0
2020,FC Fredericia,5.0
2021,F.C. København,66.0
2021,FC Midtjylland,53.6
2021,Brøndby IF,37.1
2021,FC Nordsjælland,33.0
2021,AGF,18.1
2021,Silkeborg IF,13.2
2021,Randers FC,11.5
2021,Viborg FF,11.5
2021,AaB,9.9
2021,Odense Boldklub,9.9
2021,Vejle Boldklub,8.2
2021,Lyngby Boldklub,7.4
2021,Sønderjyske Fodbold,7.4
2021,AC Horsens,5.8
2021,Hvidovre IF,5.0
2021,FC Fredericia,5.0
2022,F.C. København,68.8
2022,FC Midtjylland,55.9
2022,Brøndby IF,38.7
2022,FC Nordsjælland,34.4
2022,AGF,18.9
2022,Silkeborg IF,13.8
2022,Randers FC,12.0
2022,Viborg FF,12.0
2022,AaB,10.3
2022,Odense Boldklub,10.3
2022,Vejle Boldklub,8.6
2022,Lyngby Boldklub,7.7
2022,Sønderjyske Fodbold,7.7
2022,AC Horsens,6.0
2022,Hvidovre IF,5.0
2022,FC Fredericia,5.0
2023,F.C. København,71.6
2023,FC Midtjylland,58.2
2023,Brøndby IF,40.3
2023,FC Nordsjælland,35.8
2023,AGF,19.7
2023,Silkeborg IF,14.3
2023,Randers FC,12.5
2023,Viborg FF,12.5
2023,AaB,10.7
2023,Odense Boldklub,10.7
2023,Vejle Boldklub,8.9
2023,Lyngby Boldklub,8.1
2023,Sønderjyske Fodbold,8.1
2023,AC Horsens,6.3
2023,Hvidovre IF,5.0
2023,FC Fredericia,5.0
2024,F.C. København,74.4
2024,FC Midtjylland,60.4
2024,Brøndby IF,41.8
2024,FC Nordsjælland,37.2
2024,AGF,20.5
2024,Silkeborg IF,14.9
2024,Randers FC,13.0
2024,Viborg FF,13.0
2024,AaB,11.2
2024,Odense Boldklub,11.2
2024,Vejle Boldklub,9.3
2024,Lyngby Boldklub,8.4
2024,Sønderjyske Fodbold,8.4
2024,AC Horsens,6.5
2024,Hvidovre IF,5.0
2024,FC Fredericia,5.0
2025,F.C. København,77.2
2025,FC Midtjylland,62.7
2025,Brøndby IF,43.4
2025,FC Nordsjælland,38.6
2025,AGF,21.2
2025,Silkeborg IF,15.4
2025,Randers FC,13.5
2025,Viborg FF,13.5
2025,AaB,11.6
2025,Odense Boldklub,11.6
2025,Vejle Boldklub,9.7
2025,Lyngby Boldklub,8.7
2025,Sønderjyske Fodbold,8.7
2025,AC Horsens,6.8
2025,Hvidovre IF,5.0
2025,FC Fredericia,5.0
2026,F.C. København,80.0
2026,FC Midtjylland,65.0
2026,Brøndby IF,45.0
2026,FC Nordsjælland,40.0
2026,AGF,22.0
2026,Silkeborg IF,16.0
2026,Randers FC,14.0
2026,Viborg FF,14.0
2026,AaB,12.0
2026,Odense Boldklub,12.0
2026,Vejle Boldklub,10.0
2026,Lyngby Boldklub,9.0
2026,Sønderjyske Fodbold,9.0
2026,AC Horsens,7.0
2026,Hvidovre IF,5.0
2026,FC Fredericia,5.0
