temporada,equipo,squad_size,avg_age,foreigners,pct_foreigners,squad_value,stadium_capacity,avg_attendance,stadium_occupation
2020,Arsenal,42,24.9,28,0.6667,619.25,60704,6000,0.0988
2020,Aston Villa,53,23.9,26,0.4906,430.7,43205,10000,0.2315
2020,Brighton,46,24.9,30,0.6522,290.4,31876,3982,0.1249
2020,Burnley,32,27.1,11,0.3438,132.3,21994,3500,0.1591
2020,Chelsea,39,25.7,23,0.5897,889.2,41631,4598,0.1104
2020,Crystal Palace,36,28.2,19,0.5278,193.85,25486,4250,0.1668
2020,Everton,44,25.2,27,0.6136,511.2,52769,3356,0.0636
2020,Fulham,38,27.0,30,0.7895,239.75,29589,2000,0.0676
2020,Leeds,39,25.1,24,0.6154,238.1,37890,8000,0.2111
2020,Leicester,40,25.8,27,0.675,510.6,32259,8000,0.248
2020,Liverpool,43,24.9,28,0.6512,969.65,61276,4000,0.0653
2020,Man City,36,25.3,23,0.6389,1040.0,61000,10000,0.1639
2020,Man Utd,39,25.4,26,0.6667,770.05,74879,10000,0.1335
2020,Newcastle,33,27.4,19,0.5758,255.35,52258,10000,0.1914
2020,Sheffield United,40,25.4,16,0.4,149.85,32702,5096,0.1558
2020,Southampton,39,25.0,22,0.5641,282.8,32384,3764,0.1162
2020,Tottenham,41,25.2,24,0.5854,703.5,62850,6000,0.0955
2020,West Bromwich Albion,43,26.6,18,0.4186,141.15,26850,5371,0.2
2020,West Ham,40,26.8,24,0.6,336.4,62500,6000,0.096
2020,Wolves,38,24.4,32,0.8421,450.3,31750,4500,0.1417
2021,Arsenal,41,24.0,26,0.6341,613.05,60704,59811,0.9853
2021,Aston Villa,44,24.8,22,0.5,487.75,43205,41681,0.9647
2021,Brentford,38,24.7,28,0.7368,273.3,17250,16912,0.9804
2021,Brighton,43,24.6,31,0.7209,318.0,31876,30943,0.9707
2021,Burnley,35,27.9,16,0.4571,137.85,21994,19400,0.8821
2021,Chelsea,44,25.6,27,0.6136,914.5,41631,36443,0.8754
2021,Crystal Palace,33,26.5,17,0.5152,271.05,25486,24282,0.9528
2021,Everton,42,26.0,24,0.5714,479.05,52769,38882,0.7368
2021,Leeds,35,24.0,20,0.5714,299.45,37890,36308,0.9582
2021,Leicester,40,25.7,26,0.65,526.55,32259,31940,0.9901
2021,Liverpool,49,24.5,29,0.5918,918.9,61276,53008,0.8651
2021,Man City,39,24.7,23,0.5897,1000.0,61000,52738,0.8646
2021,Man Utd,43,26.0,29,0.6744,769.15,74879,73150,0.9769
2021,Newcastle,34,27.9,19,0.5588,313.9,52258,51487,0.9852
2021,Norwich City,45,24.7,29,0.6444,163.2,27244,26838,0.9851
2021,Southampton,33,25.6,19,0.5758,274.3,32384,30052,0.928
2021,Tottenham,45,24.0,26,0.5778,689.35,62850,56523,0.8993
2021,Watford,47,26.4,36,0.766,156.2,21577,20598,0.9546
2021,West Ham,37,26.3,20,0.5405,354.9,62500,58569,0.9371
2021,Wolves,38,24.8,30,0.7895,376.95,31750,30773,0.9692
2022,Arsenal,42,24.0,25,0.5952,1000.0,60704,60191,0.9915
2022,Aston Villa,43,25.4,23,0.5349,509.55,43205,41707,0.9653
2022,Bournemouth,47,25.0,23,0.4894,287.2,11307,10307,0.9116
2022,Brentford,36,25.3,27,0.75,371.2,17250,17080,0.9901
2022,Brighton,42,24.1,28,0.6667,529.8,31876,31477,0.9875
2022,Chelsea,43,25.2,29,0.6744,994.95,41631,40002,0.9609
2022,Crystal Palace,39,25.4,20,0.5128,323.05,25486,25051,0.9829
2022,Everton,40,26.9,21,0.525,413.15,52769,39241,0.7436
2022,Fulham,47,25.9,35,0.7447,295.1,29589,23766,0.8032
2022,Leeds,47,24.0,31,0.6596,345.15,37890,36566,0.9651
2022,Leicester,38,26.4,25,0.6579,490.7,32259,31887,0.9885
2022,Liverpool,39,25.6,24,0.6154,811.85,61276,53184,0.8679
2022,Man City,34,26.0,21,0.6176,1150.0,61000,53249,0.8729
2022,Man Utd,48,25.4,30,0.625,847.75,74879,73815,0.9858
2022,Newcastle,38,28.3,22,0.5789,541.6,52258,52127,0.9975
2022,Nottm Forest,50,26.6,29,0.58,376.25,30404,29188,0.96
2022,Southampton,46,24.8,25,0.5435,419.95,32384,30416,0.9392
2022,Tottenham,34,25.9,21,0.6176,649.1,62850,61585,0.9799
2022,West Ham,44,25.4,25,0.5682,465.6,62500,62462,0.9994
2022,Wolves,43,25.8,34,0.7907,497.65,31750,31423,0.9897
2023,Arsenal,40,24.6,24,0.6,1200.0,60704,60236,0.9923
2023,Aston Villa,45,25.0,23,0.5111,709.65,43205,41921,0.9703
2023,Bournemouth,42,25.7,26,0.619,401.75,11307,11098,0.9815
2023,Brentford,42,25.0,30,0.7143,428.78,17250,17082,0.9903
2023,Brighton,49,24.2,33,0.6735,524.4,31876,31543,0.9896
2023,Burnley,39,25.3,30,0.7692,273.48,21994,21153,0.9618
2023,Chelsea,56,22.2,27,0.4821,1010.0,41631,39576,0.9506
2023,Crystal Palace,40,25.1,18,0.45,446.58,25486,24881,0.9763
