id,name,norm_name,short_name,abbreviation,slug,color,alternate_color,logo,is_active
349,AFC Bournemouth,AFC Bournemouth,Bournemouth,BOU,eng.bournemouth,f42727,0000CC,https://a.espncdn.com/i/teamlogos/soccer/500-dark/349.png,True
359,Arsenal,Arsenal,Arsenal,ARS,eng.arsenal,e20520,003399,https://a.espncdn.com/i/teamlogos/soccer/500-dark/359.png,True
362,Aston Villa,Aston Villa,Aston Villa,AVL,eng.aston_villa,660e36,333333,https://a.espncdn.com/i/teamlogos/soccer/500-dark/362.png,True
337,Brentford,Brentford,Brentford,BRE,eng.brentford,f42727,f8ced9,https://a.espncdn.com/i/teamlogos/soccer/500-dark/337.png,True
331,Brighton & Hove Albion,Brighton & Hove Albion,Brighton,BHA,eng.brighton,0606fa,ffdd00,https://a.espncdn.com/i/teamlogos/soccer/500-dark/331.png,True
363,Chelsea,Chelsea,Chelsea,CHE,eng.chelsea,144992,FFFFFF,https://a.espncdn.com/i/teamlogos/soccer/500-dark/363.png,True
388,Coventry City,Coventry City,Coventry,COV,eng.coventry,87cced,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/388.png,True
384,Crystal Palace,Crystal Palace,C Palace,CRY,eng.crystal_palace,0202fb,ffdd00,https://a.espncdn.com/i/teamlogos/soccer/500-dark/384.png,True
368,Everton,Everton,Everton,EVE,eng.everton,0606fa,132257,https://a.espncdn.com/i/teamlogos/soccer/500-dark/368.png,True
370,Fulham,Fulham,Fulham,FUL,eng.fulham,ffffff,00CC00,https://a.espncdn.com/i/teamlogos/soccer/500-dark/370.png,True
306,Hull City,Hull City,Hull,HUL,eng.hull,f28800,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/306.png,True
373,Ipswich Town,Ipswich Town,Ipswich,IPS,eng.ipswich,0000fa,cd1937,https://a.espncdn.com/i/teamlogos/soccer/500-dark/373.png,True
357,Leeds United,Leeds United,Leeds,LEE,eng.leeds,ffffff,0000FF,https://a.espncdn.com/i/teamlogos/soccer/500-dark/357.png,True
364,Liverpool,Liverpool,Liverpool,LIV,eng.liverpool,d11317,FFFFFF,https://a.espncdn.com/i/teamlogos/soccer/500-dark/364.png,True
382,Manchester City,Manchester City,Man City,MNC,eng.man_city,99c5ea,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/382.png,True
360,Manchester United,Manchester United,Man United,MAN,eng.man_utd,da020e,FFFFFF,https://a.espncdn.com/i/teamlogos/soccer/500-dark/360.png,True
361,Newcastle United,Newcastle United,Newcastle,NEW,eng.newcastle,000000,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/361.png,True
393,Nottingham Forest,Nottingham Forest,Nottm Forest,NFO,eng.nottm_forest,c8102e,132257,https://a.espncdn.com/i/teamlogos/soccer/500-dark/393.png,True
366,Sunderland,Sunderland,Sunderland,SUN,eng.sunderland,EB172B,87cced,https://a.espncdn.com/i/teamlogos/soccer/500-dark/366.png,True
367,Tottenham Hotspur,Tottenham Hotspur,Spurs,TOT,eng.tottenham,ffffff,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/367.png,True
