temporada,equipo,squad_value
2020,Arsenal,619.25
2020,Aston Villa,430.7
2020,Brighton,290.4
2020,Burnley,132.3
2020,Chelsea,889.2
2020,Crystal Palace,193.85
2020,Everton,511.2
2020,Fulham,239.75
2020,Leeds,238.1
2020,Leicester,510.6
2020,Liverpool,969.65
2020,Man City,1040.0
2020,Man Utd,770.05
2020,Newcastle,255.35
2020,Sheffield United,149.85
2020,Southampton,282.8
2020,Tottenham,703.5
2020,West Bromwich Albion,141.15
2020,West Ham,336.4
2020,Wolves,450.3
2021,Arsenal,613.05
2021,Aston Villa,487.75
2021,Brentford,273.3
2021,Brighton,318.0
2021,Burnley,137.85
2021,Chelsea,914.5
2021,Crystal Palace,271.05
2021,Everton,479.05
2021,Leeds,299.45
2021,Leicester,526.55
2021,Liverpool,918.9
2021,Man City,1000.0
2021,Man Utd,769.15
2021,Newcastle,313.9
2021,Norwich City,163.2
2021,Southampton,274.3
2021,Tottenham,689.35
2021,Watford,156.2
2021,West Ham,354.9
2021,Wolves,376.95
2022,Arsenal,1000.0
2022,Aston Villa,509.55
2022,Bournemouth,287.2
2022,Brentford,371.2
2022,Brighton,529.8
2022,Chelsea,994.95
2022,Crystal Palace,323.05
2022,Everton,413.15
2022,Fulham,295.1
2022,Leeds,345.15
2022,Leicester,490.7
2022,Liverpool,811.85
2022,Man City,1150.0
2022,Man Utd,847.75
2022,Newcastle,541.6
2022,Nottm Forest,376.25
2022,Southampton,419.95
2022,Tottenham,649.1
2022,West Ham,465.6
2022,Wolves,497.65
2023,Arsenal,1200.0
2023,Aston Villa,709.65
2023,Bournemouth,401.75
2023,Brentford,428.78
2023,Brighton,524.4
2023,Burnley,273.48
2023,Chelsea,1010.0
2023,Crystal Palace,446.58
2023,Everton,391.75
2023,Fulham,384.35
2023,Liverpool,955.65
2023,Luton Town,140.9
2023,Man City,1460.0
2023,Man Utd,808.35
2023,Newcastle,652.25
2023,Nottm Forest,501.35
2023,Sheffield United,152.35
2023,Tottenham,838.5
2023,West Ham,487.5
2023,Wolves,442.73
2024,Arsenal,1160.0
2024,Aston Villa,680.55
2024,Bournemouth,518.6
2024,Brentford,427.85
2024,Brighton,667.58
2024,Chelsea,1190.0
2024,Crystal Palace,526.85
2024,Everton,363.23
2024,Fulham,362.35
2024,Ipswich,270.1
2024,Leicester,253.35
2024,Liverpool,950.95
2024,Man City,1360.0
2024,Man Utd,825.0
2024,Newcastle,677.53
2024,Nottm Forest,481.3
2024,Southampton,310.05
2024,Tottenham,777.3
2024,West Ham,400.7
2024,Wolves,433.05
2025,Arsenal,1330.0
2025,Aston Villa,613.98
2025,Bournemouth,680.98
2025,Brentford,503.58
2025,Brighton,625.0
2025,Burnley,236.0
2025,Chelsea,1150.0
2025,Crystal Palace,702.5
2025,Everton,459.25
2025,Fulham,376.2
2025,Leeds,374.2
2025,Liverpool,980.5
2025,Man City,1390.0
2025,Man Utd,774.6
2025,Newcastle,697.7
2025,Nottm Forest,638.68
2025,Sunderland,446.68
2025,Tottenham,813.4
2025,West Ham,469.73
2025,Wolves,389.85
2026,Arsenal,1340.0
2026,Aston Villa,524.0
2026,Bournemouth,562.88
2026,Brentford,565.4
2026,Brighton,647.5
2026,Chelsea,1370.0
2026,Coventry,220.85
2026,Crystal Palace,499.7
2026,Everton,454.1
2026,Fulham,301.3
2026,Hull City,77.7
2026,Ipswich,255.65
2026,Leeds,402.1
2026,Liverpool,979.5
2026,Man City,1500.0
2026,Man Utd,885.3
2026,Newcastle,619.8
2026,Nottm Forest,517.8
2026,Sunderland,392.88
2026,Tottenham,920.5
