id,name,norm_name,short_name,abbreviation,slug,color,alternate_color,logo,is_active
96,Alavés,Alavés,Alavés,ALA,esp.alaves,0000ff,c3c3c3,https://a.espncdn.com/i/teamlogos/soccer/500-dark/96.png,True
93,Athletic Club,Athletic Club,Athletic,ATH,esp.athletic_club,C8142F,0000ff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/93.png,True
1068,Atlético Madrid,Atlético de Madrid,Atlético,ATM,esp.atletico_madrid,ca3624,000099,https://a.espncdn.com/i/teamlogos/soccer/500-dark/1068.png,True
83,Barcelona,FC Barcelona,Barcelona,BAR,esp.barcelona,990000,FCE38A,https://a.espncdn.com/i/teamlogos/soccer/500-dark/83.png,True
85,Celta Vigo,Celta de Vigo,Celta Vigo,CEL,esp.celta_vigo,6cace4,004996,https://a.espncdn.com/i/teamlogos/soccer/500-dark/85.png,True
90,Deportivo La Coruña,Deportivo La Coruña,Deportivo,DEP,esp.deportivo_coruna,3366CC,b9e8f0,https://a.espncdn.com/i/teamlogos/soccer/500-dark/90.png,True
3751,Elche,Elche CF,Elche,ELC,esp.elche,ffffff,288A00,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3751.png,True
88,Espanyol,Espanyol,Espanyol,ESP,esp.espanyol,3366CC,C8142F,https://a.espncdn.com/i/teamlogos/soccer/500-dark/88.png,True
2922,Getafe,Getafe,Getafe,GET,esp.getafe,0000ff,C8142F,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2922.png,True
1538,Levante,Levante,Levante,LEV,esp.levante,C8142F,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/1538.png,True
99,Málaga,Málaga,Málaga,MCF,esp.malaga,b9e8f0,ffff00,https://a.espncdn.com/i/teamlogos/soccer/500-dark/99.png,True
97,Osasuna,CA Osasuna,Osasuna,OSA,esp.osasuna,cd0000,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/97.png,True
87,Racing Santander,Racing Santander,Racing,RAC,esp.racing_santander,3B6C1A,0EB214,https://a.espncdn.com/i/teamlogos/soccer/500-dark/87.png,True
101,Rayo Vallecano,Rayo Vallecano,Rayo,RAY,esp.rayo_vallecano,ffffff,cd0000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/101.png,True
244,Real Betis,Real Betis,Betis,BET,esp.betis_sevilla,288A00,ccff00,https://a.espncdn.com/i/teamlogos/soccer/500-dark/244.png,True
86,Real Madrid,Real Madrid,Real Madrid,RMA,esp.real_madrid,ffffff,00529F,https://a.espncdn.com/i/teamlogos/soccer/500-dark/86.png,True
89,Real Sociedad,Real Sociedad,Real Sociedad,RSO,esp.real_sociedad,3366CC,ffdd00,https://a.espncdn.com/i/teamlogos/soccer/500-dark/89.png,True
243,Sevilla,Sevilla FC,Sevilla,SEV,esp.fc_sevilla,ffffff,d81022,https://a.espncdn.com/i/teamlogos/soccer/500-dark/243.png,True
94,Valencia,Valencia CF,Valencia,VAL,esp.valencia,ffffff,004996,https://a.espncdn.com/i/teamlogos/soccer/500-dark/94.png,True
102,Villarreal,Villarreal CF,Villarreal,VIL,esp.villarreal,ffff00,6cace4,https://a.espncdn.com/i/teamlogos/soccer/500-dark/102.png,True
