temporada,equipo,squad_value
2020,Barcelona,813.5
2020,Real Madrid,787.3
2020,Atlético Madrid,773.1
2020,Sevilla,418.25
2020,Real Sociedad,406.6
2020,Villarreal,292.6
2020,Valencia,278.85
2020,Real Betis,207.7
2020,Athletic Club,204.15
2020,Getafe,170.1
2020,Celta Vigo,155.85
2020,Granada,122.65
2020,Levante,113.0
2020,Osasuna,96.75
2020,Eibar,83.4
2020,Alavés,79.8
2020,Huesca,64.1
2020,Real Valladolid,63.35
2020,Cádiz,47.65
2020,Elche,45.65
2021,Real Madrid,770.75
2021,Barcelona,735.6
2021,Atlético Madrid,661.8
2021,Villarreal,408.9
2021,Sevilla,385.0
2021,Real Sociedad,376.95
2021,Valencia,310.6
2021,Real Betis,259.0
2021,Athletic Club,226.05
2021,Getafe,208.68
2021,Espanyol,131.6
2021,Celta Vigo,120.0
2021,Osasuna,108.45
2021,Granada,103.75
2021,Levante,77.9
2021,Mallorca,74.15
2021,Elche,72.98
2021,Cádiz,67.8
2021,Rayo Vallecano,67.2
2021,Alavés,65.35
2022,Real Madrid,923.45
2022,Barcelona,836.8
2022,Atlético Madrid,534.3
2022,Real Sociedad,441.7
2022,Villarreal,363.5
2022,Valencia,249.78
2022,Real Betis,246.4
2022,Sevilla,232.58
2022,Athletic Club,222.45
2022,Osasuna,150.05
2022,Girona,139.9
2022,Celta Vigo,138.8
2022,Getafe,118.9
2022,Espanyol,116.5
2022,Almería,114.2
2022,Mallorca,107.0
2022,Rayo Vallecano,103.4
2022,Real Valladolid,90.75
2022,Elche,67.5
2022,Cádiz,65.6
2023,Real Madrid,1140.0
2023,Barcelona,916.2
2023,Real Sociedad,498.5
2023,Atlético Madrid,458.45
2023,Girona,297.9
2023,Athletic Club,295.65
2023,Villarreal,252.5
2023,Valencia,244.73
2023,Sevilla,228.75
2023,Real Betis,224.88
2023,Celta Vigo,149.3
2023,Granada,141.1
2023,Getafe,133.0
2023,Alavés,123.7
2023,Las Palmas,112.4
2023,Osasuna,105.35
2023,Almería,99.4
2023,Mallorca,87.7
2023,Rayo Vallecano,63.95
2023,Cádiz,60.7
2024,Real Madrid,1350.0
2024,Barcelona,1080.0
2024,Atlético Madrid,542.5
2024,Athletic Club,375.35
2024,Real Sociedad,345.05
2024,Real Betis,291.7
2024,Villarreal,264.25
2024,Valencia,215.55
2024,Sevilla,183.9
2024,Girona,153.1
2024,Celta Vigo,130.9
2024,Las Palmas,117.3
2024,Espanyol,116.98
2024,Osasuna,113.28
2024,Alavés,92.35
2024,Getafe,87.7
2024,Mallorca,84.88
2024,Real Valladolid,81.45
2024,Rayo Vallecano,68.0
2024,Leganés,47.98
2025,Real Madrid,1300.0
2025,Barcelona,1190.0
2025,Atlético Madrid,646.9
2025,Villarreal,375.55
2025,Real Sociedad,299.0
2025,Real Betis,253.05
2025,Athletic Club,237.65
2025,Celta Vigo,207.6
2025,Girona,199.2
2025,Sevilla,176.5
2025,Valencia,147.03
2025,Espanyol,135.15
2025,Elche,128.05
2025,Levante,113.95
2025,Rayo Vallecano,106.2
2025,Osasuna,102.7
2025,Getafe,95.6
2025,Mallorca,83.2
2025,Alavés,82.68
2025,Real Oviedo,60.95
