competicion,fecha,local,visita,goles_local,goles_visita,tiros_local,tiros_visita,tiros_arco_local,tiros_arco_visita,corners_local,corners_visita,faltas_local,faltas_visita,posesion_local,posesion_visita,elo_local,elo_visita
Amistosos 2018-19,2018-01-07,Sweden,Estonia,1.0,1.0,,,,,,,,,,,1849.1,1599.1
Amistosos 2018-19,2018-01-11,Indonesia,Iceland,0.0,6.0,,,,,,,,,,,1371.5,1860.4
Amistosos 2018-19,2018-01-11,Jordan,Finland,1.0,2.0,,,,,,,,,,,1603.0,1635.4
Amistosos 2018-19,2018-01-11,Sweden,Denmark,1.0,0.0,,,,,,,,,,,1842.9,1873.1
Amistosos 2018-19,2018-01-14,Indonesia,Iceland,1.0,4.0,,,,,,,,,,,1367.4,1864.5
Amistosos 2018-19,2018-01-15,Denmark,Jordan,2.0,3.0,,,,,,,,,,,1862.2,1593.9
Amistosos 2018-19,2018-01-27,South Korea,Moldova,1.0,0.0,,,,,,,,,,,1835.2,1366.0
Amistosos 2018-19,2018-01-29,United States,Bosnia and Herzegovina,0.0,0.0,,,,,,,,,,,1852.5,1773.4
Amistosos 2018-19,2018-01-30,Azerbaijan,Moldova,0.0,0.0,,,,,,,,,,,1441.5,1364.8
Amistosos 2018-19,2018-01-30,South Korea,Jamaica,2.0,2.0,,,,,,,,,,,1836.5,1658.0
Amistosos 2018-19,2018-02-01,Mexico,Bosnia and Herzegovina,1.0,0.0,,,,,,,,,,,1927.3,1778.1
Amistosos 2018-19,2018-02-03,South Korea,Latvia,1.0,0.0,,,,,,,,,,,1831.8,1414.0
Amistosos 2018-19,2018-02-26,Saudi Arabia,Moldova,3.0,0.0,,,,,,,,,,,1680.0,1366.9
Amistosos 2018-19,2018-02-28,Iraq,Saudi Arabia,4.0,1.0,,,,,,,,,,,1688.7,1683.0
Amistosos 2018-19,2018-03-14,Iran,Libya,0.0,0.0,,,,,,,,,,,1894.9,1589.5
Amistosos 2018-19,2018-03-17,Iran,Sierra Leone,4.0,0.0,,,,,,,,,,,1894.9,1486.8
Amistosos 2018-19,2018-03-21,Togo,Madagascar,0.0,0.0,,,,,,,,,,,1473.4,1453.0
Amistosos 2018-19,2018-03-21,Antigua and Barbuda,Bermuda,3.0,2.0,,,,,,,,,,,1363.9,1455.5
Amistosos 2018-19,2018-03-21,Liechtenstein,Andorra,0.0,1.0,,,,,,,,,,,1204.1,1054.8
Amistosos 2018-19,2018-03-21,Zambia,Zimbabwe,2.0,2.0,,,,,,,,,,,1610.0,1590.4
Amistosos 2018-19,2018-03-21,Iraq,Qatar,2.0,3.0,,,,,,,,,,,1701.0,1555.1
Amistosos 2018-19,2018-03-21,South Africa,Angola,1.0,1.0,,,,,,,,,,,1628.6,1361.7
Amistosos 2018-19,2018-03-21,Laos,Cambodia,0.0,1.0,,,,,,,,,,,1024.8,1033.0
Amistosos 2018-19,2018-03-21,Tahiti,New Caledonia,0.0,0.0,,,,,,,,,,,1519.9,1571.6
Amistosos 2018-19,2018-03-21,Jordan,Kuwait,1.0,0.0,,,,,,,,,,,1593.9,1485.8
Amistosos 2018-19,2018-03-22,Malaysia,Mongolia,2.0,2.0,,,,,,,,,,,1235.5,1056.9
Amistosos 2018-19,2018-03-22,Slovakia,United Arab Emirates,2.0,1.0,,,,,,,,,,,1783.3,1664.9
Amistosos 2018-19,2018-03-22,Philippines,Fiji,3.0,2.0,,,,,,,,,,,1343.7,1584.2
Amistosos 2018-19,2018-03-22,China,Wales,0.0,6.0,6.0,17.0,3.0,10.0,1.0,5.0,10.0,6.0,45.7,54.3,1659.1,1796.8
Amistosos 2018-19,2018-03-22,Macau,Mauritius,0.0,1.0,,,,,,,,,,,962.9,1218.2
Amistosos 2018-19,2018-03-22,Dominican Republic,Turks and Caicos Islands,4.0,0.0,,,,,,,,,,,1421.1,1188.6
Amistosos 2018-19,2018-03-22,Guinea-Bissau,Burkina Faso,0.0,2.0,,,,,,,,,,,1393.6,1699.0
Amistosos 2018-19,2018-03-22,Bahrain,Palestine,0.0,0.0,,,,,,,,,,,1527.9,1571.0
Amistosos 2018-19,2018-03-22,Algeria,Tanzania,4.0,1.0,,,,,,,,,,,1675.5,1410.7
Amistosos 2018-19,2018-03-22,Faroe Islands,Latvia,1.0,1.0,,,,,,,,,,,1320.2,1412.4
Amistosos 2018-19,2018-03-22,Malta,Luxembourg,0.0,1.0,,,,,,,,,,,1249.4,1348.7
Amistosos 2018-19,2018-03-22,Denmark,Panama,1.0,0.0,,,,,,,,,,,1862.2,1797.1
Amistosos 2018-19,2018-03-22,Thailand,Gabon,0.0,0.0,,,,,,,,,,,1531.0,1514.1
Amistosos 2018-19,2018-03-23,Norway,Australia,4.0,1.0,,,,,,,,,,,1614.4,1824.7
Amistosos 2018-19,2018-03-23,Nicaragua,Cuba,3.0,1.0,,,,,,,,,,,1353.0,1449.4
Amistosos 2018-19,2018-03-23,Uruguay,Czech Republic,2.0,0.0,14.0,5.0,5.0,1.0,7.0,2.0,11.0,12.0,53.9,46.1,1921.7,1737.3
Amistosos 2018-19,2018-03-23,Singapore,Maldives,3.0,2.0,,,,,,,,,,,1217.7,1134.9
Amistosos 2018-19,2018-03-23,Cyprus,Montenegro,0.0,0.0,,,,,,,,,,,1456.1,1637.7
Amistosos 2018-19,2018-03-23,Senegal,Uzbekistan,1.0,1.0,,,,,,,,,,,1861.7,1709.2
Amistosos 2018-19,2018-03-23,Russia,Brazil,0.0,3.0,,,,,,,,,,,1756.1,2161.2
Amistosos 2018-19,2018-03-23,Bulgaria,Bosnia and Herzegovina,0.0,1.0,,,,,,,,,,,1654.2,1772.2
Amistosos 2018-19,2018-03-23,Gambia,Central African Republic,1.0,1.0,,,,,,,,,,,1385.7,1407.3
Amistosos 2018-19,2018-03-23,Finland,North Macedonia,0.0,0.0,,,,,,,,,,,1644.5,1556.2
Amistosos 2018-19,2018-03-23,Mauritania,Guinea,2.0,0.0,,,,,,,,,,,1426.6,1584.3
Amistosos 2018-19,2018-03-23,Japan,Mali,1.0,1.0,,,,,,,,,,,1809.2,1615.6
Amistosos 2018-19,2018-03-23,Azerbaijan,Belarus,0.0,1.0,,,,,,,,,,,1439.3,1533.8
Amistosos 2018-19,2018-03-23,Austria,Slovenia,3.0,0.0,,,,,,,,,,,1743.5,1675.0
Amistosos 2018-19,2018-03-23,Germany,Spain,1.0,1.0,,,,,,,,,,,2157.6,2074.0
Amistosos 2018-19,2018-03-23,Turkey,Republic of Ireland,1.0,0.0,,,,,,,,,,,1748.4,1774.7
Amistosos 2018-19,2018-03-23,Serbia,Morocco,1.0,2.0,,,,,,,,,,,1800.5,1780.3
Amistosos 2018-19,2018-03-23,Saudi Arabia,Ukraine,1.0,1.0,,,,,,,,,,,1670.6,1775.1
Amistosos 2018-19,2018-03-23,Hungary,Kazakhstan,2.0,3.0,,,,,,,,,,,1658.9,1378.4
Amistosos 2018-19,2018-03-23,Tunisia,Iran,1.0,0.0,,,,,,,,,,,1734.7,1896.8
Amistosos 2018-19,2018-03-23,Argentina,Italy,2.0,0.0,,,,,,,,,,,2048.0,1944.6
Amistosos 2018-19,2018-03-23,Poland,Nigeria,0.0,1.0,,,,,,,,,,,1884.1,1748.1
Amistosos 2018-19,2018-03-23,Portugal,Egypt,2.0,1.0,,,,,,,,,,,2047.1,1764.6
Amistosos 2018-19,2018-03-23,Scotland,Costa Rica,0.0,1.0,,,,,,,,,,,1764.2,1863.7
Amistosos 2018-19,2018-03-23,France,Colombia,2.0,3.0,,,,,,,,,,,2028.5,1987.3
Amistosos 2018-19,2018-03-23,Greece,Switzerland,0.0,1.0,,,,,,,,,,,1710.1,1904.0
Amistosos 2018-19,2018-03-23,Netherlands,England,0.0,1.0,,,,,,,,,,,1933.2,1970.6
Amistosos 2018-19,2018-03-24,Botswana,Lesotho,1.0,0.0,,,,,,,,,,,1379.1,1356.1
Amistosos 2018-19,2018-03-24,Armenia,Estonia,0.0,0.0,,,,,,,,,,,1521.2,1605.3
Amistosos 2018-19,2018-03-24,Curaçao,Bolivia,1.0,1.0,,,,,,,,,,,1426.6,1714.6
Amistosos 2018-19,2018-03-24,Peru,Croatia,2.0,0.0,,,,,,,,,,,1976.6,1902.2
Amistosos 2018-19,2018-03-24,Belize,Grenada,4.0,2.0,,,,,,,,,,,1353.8,1271.7
Amistosos 2018-19,2018-03-24,Mexico,Iceland,3.0,0.0,,,,,,,,,,,1933.3,1867.8
Amistosos 2018-19,2018-03-24,Angola,Zimbabwe,2.0,2.0,,,,,,,,,,,1368.2,1593.7
Amistosos 2018-19,2018-03-24,Uganda,Sao Tome and Principe,3.0,1.0,,,,,,,,,,,1593.2,1247.2
Amistosos 2018-19,2018-03-24,Tahiti,New Caledonia,4.0,3.0,,,,,,,,,,,1518.5,1572.9
Amistosos 2018-19,2018-03-24,Sweden,Chile,1.0,2.0,,,,,,,,,,,1853.8,1929.4
Amistosos 2018-19,2018-03-24,Georgia,Lithuania,4.0,0.0,,,,,,,,,,,1540.6,1438.9
Amistosos 2018-19,2018-03-24,South Africa,Zambia,2.0,0.0,,,,,,,,,,,1622.2,1606.7
Amistosos 2018-19,2018-03-24,Kenya,Comoros,2.0,2.0,,,,,,,,,,,1523.7,1229.2
Amistosos 2018-19,2018-03-24,Qatar,Syria,2.0,2.0,,,,,,,,,,,1571.2,1708.3
Amistosos 2018-19,2018-03-24,Israel,Romania,1.0,2.0,,,,,,,,,,,1570.7,1723.3
Amistosos 2018-19,2018-03-24,Canada,New Zealand,1.0,0.0,,,,,,,,,,,1648.2,1707.0
Amistosos 2018-19,2018-03-24,Kosovo,Madagascar,1.0,0.0,,,,,,,,,,,1470.2,1453.5
Amistosos 2018-19,2018-03-24,Togo,Ivory Coast,2.0,2.0,,,,,,,,,,,1472.8,1688.4
Amistosos 2018-19,2018-03-24,Northern Ireland,South Korea,2.0,1.0,,,,,,,,,,,1708.1,1833.4
Amistosos 2018-19,2018-03-25,Gibraltar,Latvia,1.0,0.0,,,,,,,,,,,1316.1,1409.8
Amistosos 2018-19,2018-03-25,Thailand,Slovakia,2.0,3.0,,,,,,,,,,,1527.8,1790.0
Amistosos 2018-19,2018-03-25,Gabon,United Arab Emirates,1.0,0.0,,,,,,,,,,,1517.4,1658.2
Amistosos 2018-19,2018-03-25,Dominican Republic,St. Kitts and Nevis,2.0,1.0,,,,,,,,,,,1425.9,1432.2
Amistosos 2018-19,2018-03-25,Kuwait,Cameroon,1.0,3.0,,,,,,,,,,,1481.2,1743.3
Amistosos 2018-19,2018-03-25,Jamaica,Antigua and Barbuda,1.0,1.0,,,,,,,,,,,1662.7,1373.7
Amistosos 2018-19,2018-03-25,Barbados,Bermuda,0.0,0.0,,,,,,,,,,,1314.0,1445.7
Amistosos 2018-19,2018-03-25,Faroe Islands,Liechtenstein,3.0,0.0,,,,,,,,,,,1322.8,1190.1
Amistosos 2018-19,2018-03-25,Nicaragua,Cuba,3.0,3.0,,,,,,,,,,,1367.9,1434.5
Amistosos 2018-19,2018-03-26,Finland,Malta,5.0,0.0,,,,,,,,,,,1642.0,1239.4
Amistosos 2018-19,2018-03-26,Portugal,Netherlands,0.0,3.0,,,,,,,,,,,2050.4,1921.5
Amistosos 2018-19,2018-03-26,Albania,Norway,0.0,1.0,,,,,,,,,,,1654.1,1637.2
Amistosos 2018-19,2018-03-26,Andorra,Equatorial Guinea,0.0,0.0,,,,,,,,,,,1068.9,1441.5
Amistosos 2018-19,2018-03-26,Wales,Uruguay,0.0,1.0,15.0,11.0,7.0,2.0,9.0,1.0,9.0,12.0,50.2,49.8,1815.7,1929.4
Amistosos 2018-19,2018-03-26,China,Czech Republic,1.0,4.0,5.0,29.0,3.0,12.0,3.0,11.0,20.0,10.0,31.7,68.3,1640.2,1729.5
Amistosos 2018-19,2018-03-26,Bulgaria,Kazakhstan,2.0,1.0,,,,,,,,,,,1644.7,1396.4
Amistosos 2018-19,2018-03-27,Japan,Ukraine,1.0,2.0,,,,,,,,,,,1804.1,1772.2
Amistosos 2018-19,2018-03-27,Curaçao,Bolivia,1.0,0.0,,,,,,,,,,,1431.5,1709.7
Amistosos 2018-19,2018-03-27,Mongolia,Mauritius,0.0,2.0,,,,,,,,,,,1063.6,1224.0
Amistosos 2018-19,2018-03-27,Seychelles,Eswatini,0.0,0.0,,,,,,,,,,,1126.6,1393.7
Amistosos 2018-19,2018-03-27,Laos,Bangladesh,2.0,2.0,,,,,,,,,,,1012.2,1028.6
Amistosos 2018-19,2018-03-27,Tanzania,DR Congo,2.0,0.0,,,,,,,,,,,1406.9,1716.6
Amistosos 2018-19,2018-03-27,Uganda,Malawi,0.0,0.0,,,,,,,,,,,1595.3,1427.4
Amistosos 2018-19,2018-03-27,Georgia,Estonia,2.0,0.0,,,,,,,,,,,1549.5,1605.7
