temporada,equipo,squad_size,avg_age,foreigners,pct_foreigners,squad_value,stadium_capacity,avg_attendance,stadium_occupation
2020,Paris Saint-Germain,28,25.4,19,0.68,750.5,48583,47000,0.9674
2020,Monaco,28,24.8,18,0.64,268.6,18523,10000,0.5399
2020,Marseille,28,26.1,18,0.64,252.8,67394,63000,0.9348
2020,Lyon,28,25.5,15,0.54,205.4,59186,48000,0.811
2020,Lille,28,25.2,17,0.61,197.5,50186,40000,0.797
2020,Rennes,28,25.0,15,0.54,165.9,29778,27500,0.9235
2020,Nice,28,25.6,16,0.57,158.0,36178,25000,0.691
2020,Lens,28,26.0,14,0.5,142.2,38223,37500,0.9811
2020,Strasbourg,28,23.8,15,0.54,102.7,26109,25000,0.9575
2020,Brest,28,26.2,13,0.46,94.8,15220,14500,0.9527
2020,Reims,28,24.5,17,0.61,86.9,21029,16000,0.7609
2020,Nantes,28,26.5,13,0.46,79.0,35322,28000,0.7927
2020,Toulouse,28,25.1,17,0.61,75.0,33150,24000,0.724
2020,Montpellier,28,26.8,12,0.43,67.2,22000,14000,0.6364
2020,Saint-Etienne,28,25.8,11,0.39,55.3,41965,33000,0.7864
2020,Le Havre,28,25.5,13,0.46,51.4,25178,21000,0.8341
2020,Lorient,28,25.3,14,0.5,51.4,18890,15000,0.7941
2020,Auxerre,28,25.9,13,0.46,47.4,18541,16000,0.863
2020,Metz,28,25.2,15,0.54,43.5,28786,20000,0.6948
2020,Angers,28,26.0,11,0.39,43.5,18752,13000,0.6933
2020,Clermont,28,26.2,13,0.46,35.6,13000,10500,0.8077
2020,Paris FC,28,25.0,12,0.43,35.6,20000,12000,0.6
2020,Troyes,28,24.8,13,0.46,31.6,20400,10000,0.4902
2020,Bordeaux,28,24.5,13,0.46,27.7,42115,25000,0.5936
2020,AC Ajaccio,28,27.2,10,0.36,15.8,10660,7000,0.6567
2020,Le Mans,28,25.5,8,0.29,15.8,25064,10000,0.399
2020,Nimes,28,26.5,10,0.36,11.9,18482,7000,0.3787
2021,Paris Saint-Germain,28,25.4,19,0.68,783.8,48583,47000,0.9674
2021,Monaco,28,24.8,18,0.64,280.5,18523,10000,0.5399
2021,Marseille,28,26.1,18,0.64,264.0,67394,63000,0.9348
2021,Lyon,28,25.5,15,0.54,214.5,59186,48000,0.811
2021,Lille,28,25.2,17,0.61,206.2,50186,40000,0.797
2021,Rennes,28,25.0,15,0.54,173.2,29778,27500,0.9235
2021,Nice,28,25.6,16,0.57,165.0,36178,25000,0.691
2021,Lens,28,26.0,14,0.5,148.5,38223,37500,0.9811
2021,Strasbourg,28,23.8,15,0.54,107.2,26109,25000,0.9575
2021,Brest,28,26.2,13,0.46,99.0,15220,14500,0.9527
2021,Reims,28,24.5,17,0.61,90.8,21029,16000,0.7609
2021,Nantes,28,26.5,13,0.46,82.5,35322,28000,0.7927
2021,Toulouse,28,25.1,17,0.61,78.4,33150,24000,0.724
2021,Montpellier,28,26.8,12,0.43,70.1,22000,14000,0.6364
2021,Saint-Etienne,28,25.8,11,0.39,57.8,41965,33000,0.7864
2021,Le Havre,28,25.5,13,0.46,53.6,25178,21000,0.8341
2021,Lorient,28,25.3,14,0.5,53.6,18890,15000,0.7941
2021,Auxerre,28,25.9,13,0.46,49.5,18541,16000,0.863
2021,Metz,28,25.2,15,0.54,45.4,28786,20000,0.6948
2021,Angers,28,26.0,11,0.39,45.4,18752,13000,0.6933
2021,Clermont,28,26.2,13,0.46,37.1,13000,10500,0.8077
2021,Paris FC,28,25.0,12,0.43,37.1,20000,12000,0.6
2021,Troyes,28,24.8,13,0.46,33.0,20400,10000,0.4902
2021,Bordeaux,28,24.5,13,0.46,28.9,42115,25000,0.5936
2021,AC Ajaccio,28,27.2,10,0.36,16.5,10660,7000,0.6567
2021,Le Mans,28,25.5,8,0.29,16.5,25064,10000,0.399
2021,Nimes,28,26.5,10,0.36,12.4,18482,7000,0.3787
2022,Paris Saint-Germain,28,25.4,19,0.68,817.0,48583,47000,0.9674
2022,Monaco,28,24.8,18,0.64,292.4,18523,10000,0.5399
2022,Marseille,28,26.1,18,0.64,275.2,67394,63000,0.9348
2022,Lyon,28,25.5,15,0.54,223.6,59186,48000,0.811
2022,Lille,28,25.2,17,0.61,215.0,50186,40000,0.797
2022,Rennes,28,25.0,15,0.54,180.6,29778,27500,0.9235
2022,Nice,28,25.6,16,0.57,172.0,36178,25000,0.691
2022,Lens,28,26.0,14,0.5,154.8,38223,37500,0.9811
2022,Strasbourg,28,23.8,15,0.54,111.8,26109,25000,0.9575
2022,Brest,28,26.2,13,0.46,103.2,15220,14500,0.9527
2022,Reims,28,24.5,17,0.61,94.6,21029,16000,0.7609
2022,Nantes,28,26.5,13,0.46,86.0,35322,28000,0.7927
2022,Toulouse,28,25.1,17,0.61,81.7,33150,24000,0.724
2022,Montpellier,28,26.8,12,0.43,73.1,22000,14000,0.6364
2022,Saint-Etienne,28,25.8,11,0.39,60.2,41965,33000,0.7864
2022,Le Havre,28,25.5,13,0.46,55.9,25178,21000,0.8341
2022,Lorient,28,25.3,14,0.5,55.9,18890,15000,0.7941
2022,Auxerre,28,25.9,13,0.46,51.6,18541,16000,0.863
2022,Metz,28,25.2,15,0.54,47.3,28786,20000,0.6948
2022,Angers,28,26.0,11,0.39,47.3,18752,13000,0.6933
2022,Clermont,28,26.2,13,0.46,38.7,13000,10500,0.8077
2022,Paris FC,28,25.0,12,0.43,38.7,20000,12000,0.6
2022,Troyes,28,24.8,13,0.46,34.4,20400,10000,0.4902
2022,Bordeaux,28,24.5,13,0.46,30.1,42115,25000,0.5936
2022,AC Ajaccio,28,27.2,10,0.36,17.2,10660,7000,0.6567
2022,Le Mans,28,25.5,8,0.29,17.2,25064,10000,0.399
2022,Nimes,28,26.5,10,0.36,12.9,18482,7000,0.3787
2023,Paris Saint-Germain,28,25.4,19,0.68,850.2,48583,47000,0.9674
2023,Monaco,28,24.8,18,0.64,304.3,18523,10000,0.5399
2023,Marseille,28,26.1,18,0.64,286.4,67394,63000,0.9348
2023,Lyon,28,25.5,15,0.54,232.7,59186,48000,0.811
2023,Lille,28,25.2,17,0.61,223.8,50186,40000,0.797
2023,Rennes,28,25.0,15,0.54,188.0,29778,27500,0.9235
2023,Nice,28,25.6,16,0.57,179.0,36178,25000,0.691
2023,Lens,28,26.0,14,0.5,161.1,38223,37500,0.9811
2023,Strasbourg,28,23.8,15,0.54,116.4,26109,25000,0.9575
2023,Brest,28,26.2,13,0.46,107.4,15220,14500,0.9527
2023,Reims,28,24.5,17,0.61,98.5,21029,16000,0.7609
2023,Nantes,28,26.5,13,0.46,89.5,35322,28000,0.7927
2023,Toulouse,28,25.1,17,0.61,85.0,33150,24000,0.724
2023,Montpellier,28,26.8,12,0.43,76.1,22000,14000,0.6364
2023,Saint-Etienne,28,25.8,11,0.39,62.6,41965,33000,0.7864
2023,Le Havre,28,25.5,13,0.46,58.2,25178,21000,0.8341
2023,Lorient,28,25.3,14,0.5,58.2,18890,15000,0.7941
2023,Auxerre,28,25.9,13,0.46,53.7,18541,16000,0.863
2023,Metz,28,25.2,15,0.54,49.2,28786,20000,0.6948
2023,Angers,28,26.0,11,0.39,49.2,18752,13000,0.6933
2023,Clermont,28,26.2,13,0.46,40.3,13000,10500,0.8077
2023,Paris FC,28,25.0,12,0.43,40.3,20000,12000,0.6
2023,Troyes,28,24.8,13,0.46,35.8,20400,10000,0.4902
2023,Bordeaux,28,24.5,13,0.46,31.3,42115,25000,0.5936
2023,AC Ajaccio,28,27.2,10,0.36,17.9,10660,7000,0.6567
2023,Le Mans,28,25.5,8,0.29,17.9,25064,10000,0.399
2023,Nimes,28,26.5,10,0.36,13.4,18482,7000,0.3787
2024,Paris Saint-Germain,28,25.4,19,0.68,883.5,48583,47000,0.9674
2024,Monaco,28,24.8,18,0.64,316.2,18523,10000,0.5399
2024,Marseille,28,26.1,18,0.64,297.6,67394,63000,0.9348
2024,Lyon,28,25.5,15,0.54,241.8,59186,48000,0.811
2024,Lille,28,25.2,17,0.61,232.5,50186,40000,0.797
2024,Rennes,28,25.0,15,0.54,195.3,29778,27500,0.9235
2024,Nice,28,25.6,16,0.57,186.0,36178,25000,0.691
2024,Lens,28,26.0,14,0.5,167.4,38223,37500,0.9811
2024,Strasbourg,28,23.8,15,0.54,120.9,26109,25000,0.9575
2024,Brest,28,26.2,13,0.46,111.6,15220,14500,0.9527
2024,Reims,28,24.5,17,0.61,102.3,21029,16000,0.7609
2024,Nantes,28,26.5,13,0.46,93.0,35322,28000,0.7927
2024,Toulouse,28,25.1,17,0.61,88.3,33150,24000,0.724
2024,Montpellier,28,26.8,12,0.43,79.0,22000,14000,0.6364
2024,Saint-Etienne,28,25.8,11,0.39,65.1,41965,33000,0.7864
2024,Le Havre,28,25.5,13,0.46,60.4,25178,21000,0.8341
2024,Lorient,28,25.3,14,0.5,60.4,18890,15000,0.7941
2024,Auxerre,28,25.9,13,0.46,55.8,18541,16000,0.863
2024,Metz,28,25.2,15,0.54,51.1,28786,20000,0.6948
