local_equipo,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_wonCorners,local_saves,local_possessionPct,local_totalShots,local_shotsOnTarget,local_shotPct,local_penaltyKickGoals,local_penaltyKickShots,local_accuratePasses,local_totalPasses,local_passPct,local_accurateCrosses,local_totalCrosses,local_crossPct,local_totalLongBalls,local_accurateLongBalls,local_longballPct,local_blockedShots,local_effectiveTackles,local_totalTackles,local_tacklePct,local_interceptions,local_effectiveClearance,local_totalClearance,visita_equipo,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_wonCorners,visita_saves,visita_possessionPct,visita_totalShots,visita_shotsOnTarget,visita_shotPct,visita_penaltyKickGoals,visita_penaltyKickShots,visita_accuratePasses,visita_totalPasses,visita_passPct,visita_accurateCrosses,visita_totalCrosses,visita_crossPct,visita_totalLongBalls,visita_accurateLongBalls,visita_longballPct,visita_blockedShots,visita_effectiveTackles,visita_totalTackles,visita_tacklePct,visita_interceptions,visita_effectiveClearance,visita_totalClearance,event_id,fecha,temporada
Metz,10.0,1.0,0.0,3.0,3.0,3.0,42.8,9.0,3.0,0.3,0.0,0.0,347.0,430.0,0.8,5.0,18.0,0.3,52.0,20.0,0.4,4.0,10.0,15.0,0.7,12.0,11.0,11.0,Bordeaux,20.0,2.0,0.0,1.0,2.0,3.0,57.2,12.0,3.0,0.3,0.0,0.0,511.0,588.0,0.9,3.0,13.0,0.2,37.0,20.0,0.5,5.0,9.0,18.0,0.5,6.0,10.0,10.0,573095,2021-01-06 18:00:00,2021
Strasbourg,12.0,1.0,0.0,0.0,10.0,2.0,59.4,21.0,12.0,0.6,2.0,3.0,479.0,553.0,0.9,15.0,30.0,0.5,48.0,29.0,0.6,4.0,13.0,19.0,0.7,18.0,11.0,11.0,Nimes,6.0,2.0,0.0,0.0,5.0,7.0,40.6,6.0,2.0,0.3,0.0,0.0,314.0,381.0,0.8,2.0,12.0,0.2,34.0,20.0,0.6,3.0,6.0,11.0,0.5,15.0,25.0,25.0,573100,2021-01-06 18:00:00,2021
Lorient,9.0,1.0,1.0,2.0,5.0,4.0,40.6,11.0,5.0,0.5,0.0,0.0,312.0,386.0,0.8,2.0,15.0,0.1,43.0,26.0,0.6,2.0,7.0,11.0,0.6,15.0,14.0,14.0,AS Monaco,9.0,3.0,0.0,1.0,8.0,3.0,59.4,15.0,9.0,0.6,0.0,0.0,504.0,579.0,0.9,5.0,20.0,0.3,36.0,21.0,0.6,5.0,13.0,20.0,0.7,15.0,17.0,17.0,573093,2021-01-06 18:00:00,2021
Brest,12.0,2.0,0.0,2.0,6.0,6.0,39.2,10.0,6.0,0.6,0.0,0.0,311.0,410.0,0.8,4.0,11.0,0.4,67.0,31.0,0.5,1.0,11.0,16.0,0.7,13.0,26.0,26.0,Nice,8.0,3.0,0.0,0.0,6.0,4.0,60.8,12.0,6.0,0.5,0.0,0.0,541.0,633.0,0.9,7.0,27.0,0.3,49.0,26.0,0.5,1.0,3.0,10.0,0.3,11.0,6.0,6.0,573099,2021-01-06 18:00:00,2021
Nantes,13.0,2.0,0.0,0.0,6.0,0.0,28.0,7.0,2.0,0.3,0.0,0.0,218.0,302.0,0.7,1.0,15.0,0.1,55.0,22.0,0.4,2.0,6.0,14.0,0.4,14.0,22.0,22.0,Stade Rennais,13.0,3.0,0.0,0.0,3.0,2.0,72.0,8.0,0.0,0.0,0.0,0.0,713.0,795.0,0.9,4.0,23.0,0.2,53.0,34.0,0.6,5.0,4.0,8.0,0.5,9.0,18.0,18.0,573102,2021-01-06 18:00:00,2021
Marseille,4.0,0.0,0.0,0.0,5.0,4.0,56.7,18.0,7.0,0.4,0.0,0.0,515.0,591.0,0.9,4.0,18.0,0.2,48.0,29.0,0.6,4.0,10.0,15.0,0.7,15.0,15.0,15.0,Montpellier,6.0,0.0,0.0,6.0,1.0,4.0,43.3,13.0,5.0,0.4,0.0,0.0,357.0,447.0,0.8,3.0,18.0,0.2,47.0,28.0,0.6,1.0,14.0,17.0,0.8,12.0,17.0,17.0,573098,2021-01-06 20:00:00,2021
Lille,12.0,3.0,0.0,2.0,8.0,1.0,66.1,7.0,2.0,0.3,0.0,0.0,542.0,651.0,0.8,2.0,25.0,0.1,55.0,28.0,0.5,2.0,12.0,21.0,0.6,10.0,13.0,13.0,Angers,10.0,1.0,0.0,1.0,6.0,1.0,33.9,7.0,3.0,0.4,0.0,0.0,224.0,329.0,0.7,3.0,18.0,0.2,50.0,15.0,0.3,1.0,15.0,23.0,0.7,16.0,26.0,26.0,573094,2021-01-06 20:00:00,2021
Saint-Étienne,13.0,1.0,0.0,1.0,9.0,3.0,31.6,11.0,5.0,0.5,0.0,0.0,233.0,318.0,0.7,6.0,25.0,0.2,57.0,25.0,0.4,1.0,10.0,14.0,0.7,10.0,28.0,28.0,Paris Saint-Germain,12.0,1.0,0.0,1.0,10.0,4.0,68.4,11.0,4.0,0.4,0.0,0.0,642.0,719.0,0.9,6.0,29.0,0.2,43.0,18.0,0.4,1.0,17.0,20.0,0.9,11.0,24.0,24.0,573101,2021-01-06 20:00:00,2021
Stade de Reims,13.0,2.0,0.0,1.0,7.0,0.0,57.0,9.0,3.0,0.3,0.0,0.0,451.0,532.0,0.8,3.0,21.0,0.1,49.0,28.0,0.6,3.0,8.0,15.0,0.5,22.0,15.0,15.0,Dijon FCO,8.0,3.0,0.0,0.0,5.0,3.0,43.0,8.0,0.0,0.0,0.0,0.0,313.0,403.0,0.8,4.0,16.0,0.3,56.0,29.0,0.5,4.0,16.0,22.0,0.7,14.0,15.0,15.0,573096,2021-01-06 20:00:00,2021
Lyon,9.0,1.0,0.0,2.0,7.0,1.0,49.9,11.0,6.0,0.5,1.0,1.0,365.0,442.0,0.8,1.0,14.0,0.1,52.0,29.0,0.6,1.0,6.0,9.0,0.7,12.0,17.0,17.0,Lens,10.0,2.0,0.0,2.0,4.0,4.0,50.1,11.0,3.0,0.3,0.0,0.0,360.0,434.0,0.8,4.0,20.0,0.2,49.0,20.0,0.4,3.0,11.0,17.0,0.6,18.0,21.0,21.0,573097,2021-01-06 20:00:00,2021
