event_id,fecha,temporada,local_id,visita_id,local,visita,goles_local,goles_visita,estado
746714,2026-05-17 21:00:00,2026,165,179,Nantes,Toulouse,,,pre
401876459,2026-09-11 20:45:00,2026,169,176,Rennes,Marseille,,,pre
401876458,2026-09-12 17:15:00,2026,180,174,Strasbourg,Monaco,,,pre
401876460,2026-09-12 20:45:00,2026,6851,167,Paris FC,Lyon,,,pre
401876461,2026-09-12 20:45:00,2026,273,179,Lorient,Toulouse,,,pre
401876466,2026-09-12 20:45:00,2026,172,2502,Auxerre,Nice,,,pre
401876464,2026-09-12 20:45:00,2026,3236,7868,Le Havre,Angers,,,pre
401876462,2026-09-13 15:00:00,2026,166,170,Lille,Troyes,,,pre
401876463,2026-09-13 17:15:00,2026,2697,175,Le Mans,Lens,,,pre
401876465,2026-09-13 20:45:00,2026,6997,160,Brest,Paris Saint-Germain,,,pre
401876453,2026-09-18 20:45:00,2026,174,175,Monaco,Lens,,,pre
401876451,2026-09-19 17:15:00,2026,6851,180,Paris FC,Strasbourg,,,pre
401876457,2026-09-19 20:45:00,2026,7868,170,Angers,Troyes,,,pre
401876455,2026-09-19 20:45:00,2026,2697,273,Le Mans,Lorient,,,pre
401876454,2026-09-19 20:45:00,2026,167,169,Lyon,Rennes,,,pre
401876450,2026-09-19 20:45:00,2026,179,3236,Toulouse,Le Havre,,,pre
401876456,2026-09-20 15:00:00,2026,172,6997,Auxerre,Brest,,,pre
401876452,2026-09-20 17:15:00,2026,2502,166,Nice,Lille,,,pre
401876449,2026-09-20 20:45:00,2026,176,160,Marseille,Paris Saint-Germain,,,pre
401876447,2026-10-09 20:45:00,2026,175,167,Lens,Lyon,,,pre
401876446,2026-10-10 17:15:00,2026,166,3236,Lille,Le Havre,,,pre
401876444,2026-10-10 20:45:00,2026,174,179,Monaco,Toulouse,,,pre
401876448,2026-10-10 20:45:00,2026,6997,7868,Brest,Angers,,,pre
401876445,2026-10-10 20:45:00,2026,273,6851,Lorient,Paris FC,,,pre
401876442,2026-10-10 20:45:00,2026,160,2697,Paris Saint-Germain,Le Mans,,,pre
401876443,2026-10-11 15:00:00,2026,2502,180,Nice,Strasbourg,,,pre
401876441,2026-10-11 17:15:00,2026,169,172,Rennes,Auxerre,,,pre
401876440,2026-10-11 20:45:00,2026,170,176,Troyes,Marseille,,,pre
401876437,2026-10-16 20:45:00,2026,2697,179,Le Mans,Toulouse,,,pre
401876432,2026-10-17 17:15:00,2026,180,160,Strasbourg,Paris Saint-Germain,,,pre
401876436,2026-10-17 20:45:00,2026,166,6997,Lille,Brest,,,pre
401876431,2026-10-17 20:45:00,2026,170,175,Troyes,Lens,,,pre
401876439,2026-10-18 15:00:00,2026,7868,176,Angers,Marseille,,,pre
401876433,2026-10-18 17:15:00,2026,6851,169,Paris FC,Rennes,,,pre
401876435,2026-10-18 17:15:00,2026,273,174,Lorient,Monaco,,,pre
401876438,2026-10-18 17:15:00,2026,3236,172,Le Havre,Auxerre,,,pre
401876434,2026-10-18 20:45:00,2026,167,2502,Lyon,Nice,,,pre
401876428,2026-10-23 20:45:00,2026,6997,2502,Brest,Nice,,,pre
401876423,2026-10-24 17:15:00,2026,179,170,Toulouse,Troyes,,,pre
401876427,2026-10-24 20:45:00,2026,175,6851,Lens,Paris FC,,,pre
401876425,2026-10-25 15:00:00,2026,174,166,Monaco,Lille,,,pre
401876429,2026-10-25 17:15:00,2026,172,2697,Auxerre,Le Mans,,,pre
401876430,2026-10-25 17:15:00,2026,7868,273,Angers,Lorient,,,pre
401876426,2026-10-25 17:15:00,2026,176,3236,Marseille,Le Havre,,,pre
401876424,2026-10-25 17:15:00,2026,169,180,Rennes,Strasbourg,,,pre
401876422,2026-10-25 20:45:00,2026,160,167,Paris Saint-Germain,Lyon,,,pre
401876421,2026-10-30 19:00:00,2026,3236,160,Le Havre,Paris Saint-Germain,,,pre
401876420,2026-10-30 21:05:00,2026,166,175,Lille,Lens,,,pre
401876416,2026-10-31 17:15:00,2026,2502,169,Nice,Rennes,,,pre
401876418,2026-10-31 20:45:00,2026,167,7868,Lyon,Angers,,,pre
401876413,2026-10-31 20:45:00,2026,170,2697,Troyes,Le Mans,,,pre
401876419,2026-10-31 20:45:00,2026,273,6997,Lorient,Brest,,,pre
401876414,2026-11-01 15:00:00,2026,180,172,Strasbourg,Auxerre,,,pre
401876415,2026-11-01 17:15:00,2026,6851,174,Paris FC,Monaco,,,pre
401876417,2026-11-01 20:45:00,2026,176,179,Marseille,Toulouse,,,pre
401876405,2026-11-06 20:45:00,2026,179,180,Toulouse,Strasbourg,,,pre
401876411,2026-11-07 17:15:00,2026,172,6851,Auxerre,Paris FC,,,pre
401876407,2026-11-07 20:45:00,2026,160,170,Paris Saint-Germain,Troyes,,,pre
401876406,2026-11-08 15:00:00,2026,169,166,Rennes,Lille,,,pre
401876412,2026-11-08 17:15:00,2026,7868,2502,Angers,Nice,,,pre
401876410,2026-11-08 17:15:00,2026,6997,167,Brest,Lyon,,,pre
401876409,2026-11-08 17:15:00,2026,3236,273,Le Havre,Lorient,,,pre
401876408,2026-11-08 17:15:00,2026,2697,174,Le Mans,Monaco,,,pre
401876404,2026-11-08 20:45:00,2026,175,176,Lens,Marseille,,,pre
401876395,2026-11-20 20:45:00,2026,170,3236,Troyes,Le Havre,,,pre
401876398,2026-11-21 17:15:00,2026,2502,160,Nice,Paris Saint-Germain,,,pre
401876396,2026-11-21 20:45:00,2026,180,6997,Strasbourg,Brest,,,pre
401876402,2026-11-21 20:45:00,2026,166,167,Lille,Lyon,,,pre
401876403,2026-11-21 20:45:00,2026,175,179,Lens,Toulouse,,,pre
401876399,2026-11-21 20:45:00,2026,174,172,Monaco,Auxerre,,,pre
401876397,2026-11-22 15:00:00,2026,6851,7868,Paris FC,Angers,,,pre
401876401,2026-11-22 17:15:00,2026,273,169,Lorient,Rennes,,,pre
401876400,2026-11-22 20:45:00,2026,176,2697,Marseille,Le Mans,,,pre
401876392,2026-11-27 20:45:00,2026,6997,6851,Brest,Paris FC,,,pre
401876394,2026-11-28 17:15:00,2026,7868,175,Angers,Lens,,,pre
401876391,2026-11-28 20:45:00,2026,3236,180,Le Havre,Strasbourg,,,pre
401876390,2026-11-28 20:45:00,2026,2697,166,Le Mans,Lille,,,pre
401876388,2026-11-28 20:45:00,2026,2502,170,Nice,Troyes,,,pre
401876387,2026-11-28 20:45:00,2026,160,273,Paris Saint-Germain,Lorient,,,pre
401876393,2026-11-29 15:00:00,2026,172,176,Auxerre,Marseille,,,pre
401876386,2026-11-29 17:15:00,2026,179,169,Toulouse,Rennes,,,pre
401876389,2026-11-29 20:45:00,2026,167,174,Lyon,Monaco,,,pre
401876382,2026-12-05 21:00:00,2026,174,7868,Monaco,Angers,,,pre
401876385,2026-12-05 21:00:00,2026,175,3236,Lens,Le Havre,,,pre
401876384,2026-12-05 21:00:00,2026,166,172,Lille,Auxerre,,,pre
401876383,2026-12-05 21:00:00,2026,176,2502,Marseille,Nice,,,pre
401876381,2026-12-05 21:00:00,2026,6851,2697,Paris FC,Le Mans,,,pre
401876380,2026-12-05 21:00:00,2026,169,6997,Rennes,Brest,,,pre
401876379,2026-12-05 21:00:00,2026,180,273,Strasbourg,Lorient,,,pre
401876378,2026-12-05 21:00:00,2026,179,160,Toulouse,Paris Saint-Germain,,,pre
401876377,2026-12-05 21:00:00,2026,170,167,Troyes,Lyon,,,pre
401876371,2026-12-12 21:00:00,2026,2502,175,Nice,Lens,,,pre
401876370,2026-12-12 21:00:00,2026,160,6851,Paris Saint-Germain,Paris FC,,,pre
401876372,2026-12-12 21:00:00,2026,273,166,Lorient,Lille,,,pre
401876369,2026-12-12 21:00:00,2026,169,174,Rennes,Monaco,,,pre
401876374,2026-12-12 21:00:00,2026,6997,170,Brest,Troyes,,,pre
401876376,2026-12-12 21:00:00,2026,7868,180,Angers,Strasbourg,,,pre
401876375,2026-12-12 21:00:00,2026,172,179,Auxerre,Toulouse,,,pre
401876373,2026-12-12 21:00:00,2026,3236,2697,Le Havre,Le Mans,,,pre
401876368,2026-12-13 20:45:00,2026,167,176,Lyon,Marseille,,,pre
