event_id,fecha,temporada,local_id,visita_id,local,visita,goles_local,goles_visita,estado
573099,2021-01-06 19:00:00,2021,6997,2502,Brest,Nice,2.0,0.0,post
573093,2021-01-06 19:00:00,2021,273,174,Lorient,Monaco,2.0,5.0,post
573095,2021-01-06 19:00:00,2021,177,159,Metz,Bordeaux,0.0,0.0,post
573102,2021-01-06 19:00:00,2021,165,169,Nantes,Rennes,0.0,0.0,post
573100,2021-01-06 19:00:00,2021,180,7730,Strasbourg,Nimes,5.0,0.0,post
573094,2021-01-06 21:00:00,2021,166,7868,Lille,Angers,1.0,2.0,post
573097,2021-01-06 21:00:00,2021,167,175,Lyon,Lens,3.0,2.0,post
573098,2021-01-06 21:00:00,2021,176,274,Marseille,Montpellier,3.0,1.0,post
573101,2021-01-06 21:00:00,2021,178,160,Saint-Etienne,Paris Saint-Germain,1.0,1.0,post
573096,2021-01-06 21:00:00,2021,3243,3170,Reims,Dijon FCO,0.0,0.0,post
573087,2021-01-09 21:00:00,2021,169,167,Rennes,Lyon,2.0,2.0,post
573091,2021-01-09 21:00:00,2021,3243,178,Reims,Saint-Etienne,3.0,1.0,post
573084,2021-01-09 21:00:00,2021,160,6997,Paris Saint-Germain,Brest,3.0,0.0,post
573085,2021-01-09 21:00:00,2021,7730,166,Nimes,Lille,0.0,1.0,post
573089,2021-01-09 21:00:00,2021,274,165,Montpellier,Nantes,1.0,1.0,post
573090,2021-01-09 21:00:00,2021,177,2502,Metz,Nice,1.0,1.0,post
573092,2021-01-09 21:00:00,2021,175,180,Lens,Strasbourg,0.0,1.0,post
573088,2021-01-09 21:00:00,2021,3170,176,Dijon FCO,Marseille,0.0,0.0,post
573086,2021-01-09 21:00:00,2021,159,273,Bordeaux,Lorient,2.0,1.0,post
573083,2021-01-09 21:00:00,2021,174,7868,Monaco,Angers,3.0,0.0,post
573073,2021-01-15 21:00:00,2021,274,174,Montpellier,Monaco,2.0,3.0,post
573078,2021-01-16 17:00:00,2021,176,7730,Marseille,Nimes,1.0,2.0,post
573079,2021-01-16 21:00:00,2021,7868,160,Angers,Paris Saint-Germain,0.0,1.0,post
573081,2021-01-17 13:00:00,2021,6997,169,Brest,Rennes,1.0,2.0,post
573076,2021-01-17 15:00:00,2021,165,175,Nantes,Lens,1.0,1.0,post
573074,2021-01-17 15:00:00,2021,2502,159,Nice,Bordeaux,0.0,3.0,post
573080,2021-01-17 15:00:00,2021,180,178,Strasbourg,Saint-Etienne,1.0,0.0,post
573082,2021-01-17 17:00:00,2021,166,3243,Lille,Reims,2.0,1.0,post
