temporada,equipo,squad_value
2020,Paris Saint-Germain,750.5
2020,Monaco,268.6
2020,Marseille,252.8
2020,Lyon,205.4
2020,Lille,197.5
2020,Rennes,165.9
2020,Nice,158.0
2020,Lens,142.2
2020,Strasbourg,102.7
2020,Brest,94.8
2020,Reims,86.9
2020,Nantes,79.0
2020,Toulouse,75.0
2020,Montpellier,67.2
2020,Saint-Etienne,55.3
2020,Le Havre,51.4
2020,Lorient,51.4
2020,Auxerre,47.4
2020,Metz,43.5
2020,Angers,43.5
2020,Clermont,35.6
2020,Paris FC,35.6
2020,Troyes,31.6
2020,Bordeaux,27.7
2020,AC Ajaccio,15.8
2020,Le Mans,15.8
2020,Nimes,11.9
2021,Paris Saint-Germain,783.8
2021,Monaco,280.5
2021,Marseille,264.0
2021,Lyon,214.5
2021,Lille,206.2
2021,Rennes,173.2
2021,Nice,165.0
2021,Lens,148.5
2021,Strasbourg,107.2
2021,Brest,99.0
2021,Reims,90.8
2021,Nantes,82.5
2021,Toulouse,78.4
2021,Montpellier,70.1
2021,Saint-Etienne,57.8
2021,Le Havre,53.6
2021,Lorient,53.6
2021,Auxerre,49.5
2021,Metz,45.4
2021,Angers,45.4
2021,Clermont,37.1
2021,Paris FC,37.1
2021,Troyes,33.0
2021,Bordeaux,28.9
2021,AC Ajaccio,16.5
2021,Le Mans,16.5
2021,Nimes,12.4
2022,Paris Saint-Germain,817.0
2022,Monaco,292.4
2022,Marseille,275.2
2022,Lyon,223.6
2022,Lille,215.0
2022,Rennes,180.6
2022,Nice,172.0
2022,Lens,154.8
2022,Strasbourg,111.8
2022,Brest,103.2
2022,Reims,94.6
2022,Nantes,86.0
2022,Toulouse,81.7
2022,Montpellier,73.1
2022,Saint-Etienne,60.2
2022,Le Havre,55.9
2022,Lorient,55.9
2022,Auxerre,51.6
2022,Metz,47.3
2022,Angers,47.3
2022,Clermont,38.7
2022,Paris FC,38.7
2022,Troyes,34.4
2022,Bordeaux,30.1
2022,AC Ajaccio,17.2
2022,Le Mans,17.2
2022,Nimes,12.9
2023,Paris Saint-Germain,850.2
2023,Monaco,304.3
2023,Marseille,286.4
2023,Lyon,232.7
2023,Lille,223.8
2023,Rennes,188.0
2023,Nice,179.0
2023,Lens,161.1
2023,Strasbourg,116.4
2023,Brest,107.4
2023,Reims,98.5
2023,Nantes,89.5
2023,Toulouse,85.0
2023,Montpellier,76.1
2023,Saint-Etienne,62.6
2023,Le Havre,58.2
2023,Lorient,58.2
2023,Auxerre,53.7
2023,Metz,49.2
2023,Angers,49.2
2023,Clermont,40.3
2023,Paris FC,40.3
2023,Troyes,35.8
2023,Bordeaux,31.3
2023,AC Ajaccio,17.9
2023,Le Mans,17.9
2023,Nimes,13.4
2024,Paris Saint-Germain,883.5
2024,Monaco,316.2
2024,Marseille,297.6
2024,Lyon,241.8
2024,Lille,232.5
2024,Rennes,195.3
2024,Nice,186.0
2024,Lens,167.4
2024,Strasbourg,120.9
2024,Brest,111.6
2024,Reims,102.3
2024,Nantes,93.0
2024,Toulouse,88.3
2024,Montpellier,79.0
2024,Saint-Etienne,65.1
2024,Le Havre,60.4
2024,Lorient,60.4
2024,Auxerre,55.8
2024,Metz,51.1
2024,Angers,51.1
2024,Clermont,41.8
2024,Paris FC,41.8
2024,Troyes,37.2
2024,Bordeaux,32.5
2024,AC Ajaccio,18.6
2024,Le Mans,18.6
2024,Nimes,13.9
2025,Paris Saint-Germain,916.8
2025,Monaco,328.1
2025,Marseille,308.8
2025,Lyon,250.9
2025,Lille,241.2
2025,Rennes,202.7
2025,Nice,193.0
2025,Lens,173.7
2025,Strasbourg,125.5
2025,Brest,115.8
2025,Reims,106.1
2025,Nantes,96.5
2025,Toulouse,91.7
2025,Montpellier,82.0
2025,Saint-Etienne,67.5
2025,Le Havre,62.7
2025,Lorient,62.7
2025,Auxerre,57.9
2025,Metz,53.1
2025,Angers,53.1
2025,Clermont,43.4
2025,Paris FC,43.4
2025,Troyes,38.6
2025,Bordeaux,33.8
2025,AC Ajaccio,19.3
2025,Le Mans,19.3
2025,Nimes,14.5
2026,Paris Saint-Germain,950.0
2026,Monaco,340.0
2026,Marseille,320.0
2026,Lyon,260.0
2026,Lille,250.0
2026,Rennes,210.0
2026,Nice,200.0
2026,Lens,180.0
2026,Strasbourg,130.0
2026,Brest,120.0
2026,Reims,110.0
2026,Nantes,100.0
2026,Toulouse,95.0
2026,Montpellier,85.0
2026,Saint-Etienne,70.0
2026,Le Havre,65.0
2026,Lorient,65.0
2026,Auxerre,60.0
2026,Metz,55.0
2026,Angers,55.0
2026,Clermont,45.0
2026,Paris FC,45.0
2026,Troyes,40.0
2026,Bordeaux,35.0
2026,AC Ajaccio,20.0
2026,Le Mans,20.0
2026,Nimes,15.0
