temporada,equipo,squad_size,avg_age,foreigners,pct_foreigners,squad_value,stadium_capacity,avg_attendance,stadium_occupation
2020,Olympiacos,28,26.8,19,0.68,86.9,32115,25000,0.7785
2020,Panathinaikos,28,27.2,18,0.64,75.0,69618,22000,0.316
2020,PAOK,28,26.5,18,0.64,71.1,28703,20000,0.6968
2020,AEK Athens,28,27.5,18,0.64,63.2,32500,26000,0.8
2020,Aris,28,27.0,20,0.71,27.7,22800,12000,0.5263
2020,OFI Crete,28,26.2,15,0.54,14.2,9088,5500,0.6052
2020,Asteras Tripoli,28,26.8,16,0.57,12.6,7442,3500,0.4703
2020,Atromitos,28,26.5,15,0.54,11.1,8969,3000,0.3345
2020,Panetolikos,28,26.4,14,0.5,9.5,7323,3200,0.437
2020,Volos NFC,28,26.0,17,0.61,9.5,22700,2500,0.1101
2020,Panserraikos FC,28,26.2,15,0.54,8.7,9500,3500,0.3684
2020,Levadiakos,28,26.6,14,0.5,8.7,5915,2500,0.4227
2020,Lamia,28,27.0,13,0.46,7.9,5500,2800,0.5091
2020,Athens Kallithea,28,25.8,15,0.54,7.1,6300,2000,0.3175
2020,Pas Giannina,28,25.5,13,0.46,6.3,7652,3500,0.4574
2020,Kifisia,28,26.0,14,0.5,6.3,3200,1500,0.4688
2020,Ionikos FC,28,26.5,13,0.46,5.5,4999,2200,0.4401
2020,Apollon Smyrni,28,26.8,13,0.46,5.0,14200,2000,0.1408
2020,Larissa FC,28,25.5,10,0.36,5.0,16118,4000,0.2482
2020,Iraklis,28,25.2,10,0.36,5.0,27770,3000,0.108
2020,Kalamata,28,25.0,8,0.29,5.0,5613,2000,0.3563
2021,Olympiacos,28,26.8,19,0.68,90.8,32115,25000,0.7785
2021,Panathinaikos,28,27.2,18,0.64,78.4,69618,22000,0.316
2021,PAOK,28,26.5,18,0.64,74.2,28703,20000,0.6968
2021,AEK Athens,28,27.5,18,0.64,66.0,32500,26000,0.8
2021,Aris,28,27.0,20,0.71,28.9,22800,12000,0.5263
2021,OFI Crete,28,26.2,15,0.54,14.8,9088,5500,0.6052
2021,Asteras Tripoli,28,26.8,16,0.57,13.2,7442,3500,0.4703
