local_equipo,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_wonCorners,local_saves,local_possessionPct,local_totalShots,local_shotsOnTarget,local_shotPct,local_penaltyKickGoals,local_penaltyKickShots,local_accuratePasses,local_totalPasses,local_passPct,local_accurateCrosses,local_totalCrosses,local_crossPct,local_totalLongBalls,local_accurateLongBalls,local_longballPct,local_blockedShots,local_effectiveTackles,local_totalTackles,local_tacklePct,local_interceptions,local_effectiveClearance,local_totalClearance,visita_equipo,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_wonCorners,visita_saves,visita_possessionPct,visita_totalShots,visita_shotsOnTarget,visita_shotPct,visita_penaltyKickGoals,visita_penaltyKickShots,visita_accuratePasses,visita_totalPasses,visita_passPct,visita_accurateCrosses,visita_totalCrosses,visita_crossPct,visita_totalLongBalls,visita_accurateLongBalls,visita_longballPct,visita_blockedShots,visita_effectiveTackles,visita_totalTackles,visita_tacklePct,visita_interceptions,visita_effectiveClearance,visita_totalClearance,event_id,fecha,temporada
Panetolikos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFI Crete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586790,2021-01-03 13:00:00,2021
Panathinaikos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asteras Tripoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586789,2021-01-03 13:00:00,2021
Larissa FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586792,2021-01-03 15:15:00,2021
Pas Giannina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apollon Smyrni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586791,2021-01-03 15:15:00,2021
Olympiacos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AEK Athens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586793,2021-01-03 17:30:00,2021
Volos NFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atromitos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586794,2021-01-04 15:15:00,2021
Lamia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586795,2021-01-04 17:30:00,2021
Apollon Smyrni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Panathinaikos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586796,2021-01-06 13:00:00,2021
AEK Athens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Panetolikos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586798,2021-01-06 15:15:00,2021
Larissa FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pas Giannina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586797,2021-01-06 15:15:00,2021
Asteras Tripoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olympiacos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586799,2021-01-06 17:30:00,2021
Aris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Volos NFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586801,2021-01-07 15:15:00,2021
OFI Crete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lamia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586800,2021-01-07 15:15:00,2021
Atromitos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586802,2021-01-07 17:30:00,2021
Panetolikos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olympiacos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590796,2021-01-09 17:30:00,2021
