id,name,norm_name,short_name,abbreviation,slug,color,alternate_color,logo,is_active
887,AEK Athens,AEK Athens,AEK Athens,AEK,gre.aek_athens,ffff00,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/887.png,True
15722,Apollon Smyrni,Apollon Smyrni,Apollon Smyr,SMY,,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/15722.png,True
11553,Aris,Aris,Aris,ARI,ger.aris,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/11553.png,True
8354,Asteras Tripoli,Asteras Tripoli,Asteras Trip,AST,gre.asteras-tripoli,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/8354.png,True
22325,Athens Kallithea,Athens Kallithea,Athens Kallithea,AKA,,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/22325.png,True
6790,Atromitos,Atromitos,Atromitos,ATRO,gre.atromitos,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/6790.png,True
21093,Ionikos FC,Ionikos FC,Ionikos,ION,,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/21093.png,True
2575,Iraklis,Iraklis,Iraklis,IRAK,gre.iraklis_saloniki,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/2575.png,True
132429,Kalamata,Kalamata,Kalamata,KAL,kalamata,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/132429.png,True
21969,Kifisia,Kifisia,Kifisia,KIF,kifisia,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/21969.png,True
18814,Lamia,Lamia,Lamia,LAM,,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/18814.png,True
10418,Larissa FC,Larissa FC,Larissa FC,LAR,,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/10418.png,True
5276,Levadiakos,Levadiakos,Levadiakos,LEV,gre.levadiakos,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/5276.png,True
1010,OFI Crete,OFI Crete,OFI Crete,OFI,gre.ofi_crete,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/1010.png,True
435,Olympiacos,Olympiacos,Olympiacos,OLY,gre.olympiacos,d01729,0202fb,https://a.espncdn.com/i/teamlogos/soccer/500-dark/435.png,True
605,PAOK,PAOK,PAOK,PAOK,gre.paok_salonika,000000,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/605.png,True
443,Panathinaikos,Panathinaikos,Panathinaikos,PAO,gre.panathinaikos,2b6a36,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/443.png,True
11431,Panetolikos,Panetolikos,Panetolikos,PAN,gre.panetolikos,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/11431.png,True
21970,Panserraikos FC,Panserraikos FC,Panserraikos,PAN,,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/21970.png,True
6848,Pas Giannina,Pas Giannina,Pas Giannina,PAS,,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/6848.png,True
20043,Volos NFC,Volos NFC,Volos,VOL,volos_nfc,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/20043.png,True
