event_id,fecha,temporada,local_id,visita_id,local,visita,goles_local,goles_visita,estado,status_name
586789,2021-01-03 15:00:00,2021,443,8354,Panathinaikos,Asteras Tripoli,0,0,post,STATUS_FULL_TIME
586790,2021-01-03 15:00:00,2021,11431,1010,Panetolikos,OFI Crete,2,1,post,STATUS_FULL_TIME
586792,2021-01-03 17:15:00,2021,10418,605,Larissa FC,PAOK,1,1,post,STATUS_FULL_TIME
586791,2021-01-03 17:15:00,2021,6848,15722,Pas Giannina,Apollon Smyrni,1,3,post,STATUS_FULL_TIME
586793,2021-01-03 19:30:00,2021,435,887,Olympiacos,AEK Athens,3,0,post,STATUS_FULL_TIME
586794,2021-01-04 17:15:00,2021,20043,6790,Volos NFC,Atromitos,1,0,post,STATUS_FULL_TIME
586795,2021-01-04 19:30:00,2021,18814,11553,Lamia,Aris,2,0,post,STATUS_FULL_TIME
586796,2021-01-06 15:00:00,2021,15722,443,Apollon Smyrni,Panathinaikos,0,1,post,STATUS_FULL_TIME
586798,2021-01-06 17:15:00,2021,887,11431,AEK Athens,Panetolikos,1,0,post,STATUS_FULL_TIME
586797,2021-01-06 17:15:00,2021,10418,6848,Larissa FC,Pas Giannina,0,0,post,STATUS_FULL_TIME
586799,2021-01-06 19:30:00,2021,8354,435,Asteras Tripoli,Olympiacos,0,4,post,STATUS_FULL_TIME
586801,2021-01-07 17:15:00,2021,11553,20043,Aris,Volos NFC,2,0,post,STATUS_FULL_TIME
586800,2021-01-07 17:15:00,2021,1010,18814,OFI Crete,Lamia,2,0,post,STATUS_FULL_TIME
586802,2021-01-07 19:30:00,2021,6790,605,Atromitos,PAOK,3,2,post,STATUS_FULL_TIME
590796,2021-01-09 19:30:00,2021,11431,435,Panetolikos,Olympiacos,1,2,post,STATUS_FULL_TIME
590800,2021-01-10 15:00:00,2021,605,20043,PAOK,Volos NFC,3,1,post,STATUS_FULL_TIME
590801,2021-01-10 17:15:00,2021,15722,8354,Apollon Smyrni,Asteras Tripoli,0,1,post,STATUS_FULL_TIME
590802,2021-01-10 17:15:00,2021,6790,1010,Atromitos,OFI Crete,0,0,post,STATUS_FULL_TIME
590803,2021-01-10 19:30:00,2021,443,10418,Panathinaikos,Larissa FC,2,0,post,STATUS_FULL_TIME
590799,2021-01-11 17:15:00,2021,6848,11553,Pas Giannina,Aris,0,0,post,STATUS_FULL_TIME
590804,2021-01-11 19:30:00,2021,18814,887,Lamia,AEK Athens,0,1,post,STATUS_FULL_TIME
590788,2021-01-13 19:30:00,2021,605,435,PAOK,Olympiacos,1,1,post,STATUS_FULL_TIME
586785,2021-01-14 17:15:00,2021,6790,18814,Atromitos,Lamia,2,1,post,STATUS_FULL_TIME
586753,2021-01-14 19:30:00,2021,11553,887,Aris,AEK Athens,0,1,post,STATUS_FULL_TIME
590805,2021-01-16 17:15:00,2021,8354,11431,Asteras Tripoli,Panetolikos,2,0,post,STATUS_FULL_TIME
590806,2021-01-16 19:30:00,2021,10418,15722,Larissa FC,Apollon Smyrni,0,1,post,STATUS_FULL_TIME
590807,2021-01-17 15:00:00,2021,435,6848,Olympiacos,Pas Giannina,1,0,post,STATUS_FULL_TIME
590808,2021-01-17 17:15:00,2021,1010,605,OFI Crete,PAOK,0,3,post,STATUS_FULL_TIME
590809,2021-01-17 17:15:00,2021,20043,18814,Volos NFC,Lamia,1,1,post,STATUS_FULL_TIME
590810,2021-01-17 19:30:00,2021,11553,443,Aris,Panathinaikos,0,1,post,STATUS_FULL_TIME
590811,2021-01-17 21:30:00,2021,887,6790,AEK Athens,Atromitos,2,1,post,STATUS_FULL_TIME
590812,2021-01-23 15:00:00,2021,8354,10418,Asteras Tripoli,Larissa FC,1,0,post,STATUS_FULL_TIME
590813,2021-01-23 17:15:00,2021,15722,11553,Apollon Smyrni,Aris,0,1,post,STATUS_FULL_TIME
590814,2021-01-23 19:30:00,2021,443,1010,Panathinaikos,OFI Crete,2,0,post,STATUS_FULL_TIME
590815,2021-01-24 15:00:00,2021,6790,435,Atromitos,Olympiacos,0,1,post,STATUS_FULL_TIME
590817,2021-01-24 17:15:00,2021,11431,18814,Panetolikos,Lamia,0,0,post,STATUS_FULL_TIME
590816,2021-01-24 17:15:00,2021,6848,20043,Pas Giannina,Volos NFC,0,1,post,STATUS_FULL_TIME
590818,2021-01-24 19:30:00,2021,605,887,PAOK,AEK Athens,2,2,post,STATUS_FULL_TIME
590819,2021-01-26 17:15:00,2021,1010,8354,OFI Crete,Asteras Tripoli,0,1,post,STATUS_FULL_TIME
590820,2021-01-26 19:30:00,2021,11553,10418,Aris,Larissa FC,1,0,post,STATUS_FULL_TIME
590821,2021-01-27 15:00:00,2021,20043,443,Volos NFC,Panathinaikos,0,2,post,STATUS_FULL_TIME
590822,2021-01-27 17:15:00,2021,887,6848,AEK Athens,Pas Giannina,0,2,post,STATUS_FULL_TIME
590823,2021-01-27 17:15:00,2021,18814,15722,Lamia,Apollon Smyrni,1,0,post,STATUS_FULL_TIME
590824,2021-01-27 19:30:00,2021,435,605,Olympiacos,PAOK,3,0,post,STATUS_FULL_TIME
590825,2021-01-28 17:15:00,2021,11431,6790,Panetolikos,Atromitos,1,1,post,STATUS_FULL_TIME
590826,2021-01-30 15:00:00,2021,10418,20043,Larissa FC,Volos NFC,0,0,post,STATUS_FULL_TIME
590827,2021-01-30 17:15:00,2021,8354,11553,Asteras Tripoli,Aris,2,1,post,STATUS_FULL_TIME
590828,2021-01-30 19:30:00,2021,443,18814,Panathinaikos,Lamia,0,0,post,STATUS_FULL_TIME
590829,2021-01-31 15:00:00,2021,1010,887,OFI Crete,AEK Athens,0,2,post,STATUS_FULL_TIME
590830,2021-01-31 17:15:00,2021,605,11431,PAOK,Panetolikos,5,0,post,STATUS_FULL_TIME
590832,2021-01-31 17:15:00,2021,6848,6790,Pas Giannina,Atromitos,0,1,post,STATUS_FULL_TIME
590831,2021-01-31 19:30:00,2021,15722,435,Apollon Smyrni,Olympiacos,1,3,post,STATUS_FULL_TIME
590834,2021-02-06 19:30:00,2021,6790,443,Atromitos,Panathinaikos,2,3,post,STATUS_FULL_TIME
590836,2021-02-07 15:00:00,2021,605,15722,PAOK,Apollon Smyrni,2,2,post,STATUS_FULL_TIME
590835,2021-02-07 17:15:00,2021,435,1010,Olympiacos,OFI Crete,3,0,post,STATUS_FULL_TIME
590837,2021-02-07 17:15:00,2021,20043,8354,Volos NFC,Asteras Tripoli,0,1,post,STATUS_FULL_TIME
590838,2021-02-07 19:30:00,2021,887,11553,AEK Athens,Aris,0,2,post,STATUS_FULL_TIME
590839,2021-02-08 19:30:00,2021,11431,6848,Panetolikos,Pas Giannina,1,2,post,STATUS_FULL_TIME
590840,2021-02-13 17:15:00,2021,8354,18814,Asteras Tripoli,Lamia,0,0,post,STATUS_FULL_TIME
590841,2021-02-13 19:30:00,2021,15722,6790,Apollon Smyrni,Atromitos,2,1,post,STATUS_FULL_TIME
590842,2021-02-14 15:00:00,2021,11553,11431,Aris,Panetolikos,0,0,post,STATUS_FULL_TIME
590844,2021-02-14 17:15:00,2021,1010,20043,OFI Crete,Volos NFC,1,2,post,STATUS_FULL_TIME
590845,2021-02-14 19:30:00,2021,443,435,Panathinaikos,Olympiacos,2,1,post,STATUS_FULL_TIME
590843,2021-02-15 17:15:00,2021,10418,887,Larissa FC,AEK Athens,2,4,post,STATUS_FULL_TIME
590846,2021-02-15 17:15:00,2021,6848,605,Pas Giannina,PAOK,0,2,post,STATUS_FULL_TIME
586737,2021-02-18 17:15:00,2021,15722,18814,Apollon Smyrni,Lamia,0,1,post,STATUS_FULL_TIME
590847,2021-02-20 17:15:00,2021,6790,10418,Atromitos,Larissa FC,1,1,post,STATUS_FULL_TIME
590848,2021-02-20 19:30:00,2021,887,8354,AEK Athens,Asteras Tripoli,2,2,post,STATUS_FULL_TIME
590851,2021-02-21 15:00:00,2021,20043,15722,Volos NFC,Apollon Smyrni,2,0,post,STATUS_FULL_TIME
590849,2021-02-21 15:00:00,2021,605,18814,PAOK,Lamia,4,0,post,STATUS_FULL_TIME
590850,2021-02-21 17:15:00,2021,6848,1010,Pas Giannina,OFI Crete,1,0,post,STATUS_FULL_TIME
590852,2021-02-21 19:30:00,2021,435,11553,Olympiacos,Aris,1,1,post,STATUS_FULL_TIME
590853,2021-02-22 19:30:00,2021,11431,443,Panetolikos,Panathinaikos,1,0,post,STATUS_FULL_TIME
586752,2021-02-24 17:15:00,2021,10418,18814,Larissa FC,Lamia,0,1,post,STATUS_FULL_TIME
590854,2021-02-27 17:15:00,2021,15722,1010,Apollon Smyrni,OFI Crete,2,1,post,STATUS_FULL_TIME
590855,2021-02-27 19:30:00,2021,8354,605,Asteras Tripoli,PAOK,2,1,post,STATUS_FULL_TIME
590856,2021-02-28 15:00:00,2021,11553,6790,Aris,Atromitos,3,0,post,STATUS_FULL_TIME
590857,2021-02-28 17:15:00,2021,18814,6848,Lamia,Pas Giannina,0,0,post,STATUS_FULL_TIME
590858,2021-02-28 17:15:00,2021,10418,11431,Larissa FC,Panetolikos,1,0,post,STATUS_FULL_TIME
590859,2021-02-28 19:30:00,2021,443,887,Panathinaikos,AEK Athens,1,1,post,STATUS_FULL_TIME
590860,2021-03-01 19:30:00,2021,20043,435,Volos NFC,Olympiacos,1,2,post,STATUS_FULL_TIME
590861,2021-03-06 15:00:00,2021,1010,10418,OFI Crete,Larissa FC,2,3,post,STATUS_FULL_TIME
590862,2021-03-06 17:15:00,2021,6790,8354,Atromitos,Asteras Tripoli,1,1,post,STATUS_FULL_TIME
590863,2021-03-06 19:30:00,2021,6848,443,Pas Giannina,Panathinaikos,1,0,post,STATUS_FULL_TIME
590864,2021-03-07 15:00:00,2021,435,18814,Olympiacos,Lamia,3,0,post,STATUS_FULL_TIME
590865,2021-03-07 17:15:00,2021,11431,20043,Panetolikos,Volos NFC,1,0,post,STATUS_FULL_TIME
590866,2021-03-07 19:30:00,2021,605,11553,PAOK,Aris,2,2,post,STATUS_FULL_TIME
590867,2021-03-08 19:30:00,2021,887,15722,AEK Athens,Apollon Smyrni,2,0,post,STATUS_FULL_TIME
590833,2021-03-10 17:15:00,2021,18814,10418,Lamia,Larissa FC,2,1,post,STATUS_FULL_TIME
590874,2021-03-14 19:00:00,2021,20043,887,Volos NFC,AEK Athens,1,0,post,STATUS_FULL_TIME
