temporada,equipo,squad_value
2020,Olympiacos,86.9
2020,Panathinaikos,75.0
2020,PAOK,71.1
2020,AEK Athens,63.2
2020,Aris,27.7
2020,OFI Crete,14.2
2020,Asteras Tripoli,12.6
2020,Atromitos,11.1
2020,Panetolikos,9.5
2020,Volos NFC,9.5
2020,Panserraikos FC,8.7
2020,Levadiakos,8.7
2020,Lamia,7.9
2020,Athens Kallithea,7.1
2020,Pas Giannina,6.3
2020,Kifisia,6.3
2020,Ionikos FC,5.5
2020,Apollon Smyrni,5.0
2020,Larissa FC,5.0
2020,Iraklis,5.0
2020,Kalamata,5.0
2021,Olympiacos,90.8
2021,Panathinaikos,78.4
2021,PAOK,74.2
2021,AEK Athens,66.0
2021,Aris,28.9
2021,OFI Crete,14.8
2021,Asteras Tripoli,13.2
2021,Atromitos,11.5
2021,Panetolikos,9.9
2021,Volos NFC,9.9
2021,Panserraikos FC,9.1
2021,Levadiakos,9.1
2021,Lamia,8.2
2021,Athens Kallithea,7.4
2021,Pas Giannina,6.6
2021,Kifisia,6.6
2021,Ionikos FC,5.8
2021,Apollon Smyrni,5.0
2021,Larissa FC,5.0
2021,Iraklis,5.0
2021,Kalamata,5.0
2022,Olympiacos,94.6
2022,Panathinaikos,81.7
2022,PAOK,77.4
2022,AEK Athens,68.8
2022,Aris,30.1
2022,OFI Crete,15.5
2022,Asteras Tripoli,13.8
2022,Atromitos,12.0
2022,Panetolikos,10.3
2022,Volos NFC,10.3
2022,Panserraikos FC,9.5
2022,Levadiakos,9.5
2022,Lamia,8.6
2022,Athens Kallithea,7.7
2022,Pas Giannina,6.9
2022,Kifisia,6.9
2022,Ionikos FC,6.0
2022,Apollon Smyrni,5.2
2022,Larissa FC,5.2
2022,Iraklis,5.0
2022,Kalamata,5.0
2023,Olympiacos,98.5
2023,Panathinaikos,85.0
2023,PAOK,80.5
2023,AEK Athens,71.6
2023,Aris,31.3
2023,OFI Crete,16.1
2023,Asteras Tripoli,14.3
2023,Atromitos,12.5
2023,Panetolikos,10.7
2023,Volos NFC,10.7
2023,Panserraikos FC,9.8
2023,Levadiakos,9.8
2023,Lamia,8.9
2023,Athens Kallithea,8.1
2023,Pas Giannina,7.2
2023,Kifisia,7.2
2023,Ionikos FC,6.3
2023,Apollon Smyrni,5.4
2023,Larissa FC,5.4
2023,Iraklis,5.0
2023,Kalamata,5.0
2024,Olympiacos,102.3
2024,Panathinaikos,88.3
2024,PAOK,83.7
2024,AEK Athens,74.4
2024,Aris,32.5
2024,OFI Crete,16.7
2024,Asteras Tripoli,14.9
2024,Atromitos,13.0
2024,Panetolikos,11.2
2024,Volos NFC,11.2
2024,Panserraikos FC,10.2
2024,Levadiakos,10.2
2024,Lamia,9.3
2024,Athens Kallithea,8.4
2024,Pas Giannina,7.4
2024,Kifisia,7.4
2024,Ionikos FC,6.5
2024,Apollon Smyrni,5.6
2024,Larissa FC,5.6
2024,Iraklis,5.0
2024,Kalamata,5.0
2025,Olympiacos,106.1
2025,Panathinaikos,91.7
2025,PAOK,86.8
2025,AEK Athens,77.2
2025,Aris,33.8
2025,OFI Crete,17.4
2025,Asteras Tripoli,15.4
2025,Atromitos,13.5
2025,Panetolikos,11.6
2025,Volos NFC,11.6
2025,Panserraikos FC,10.6
2025,Levadiakos,10.6
2025,Lamia,9.7
2025,Athens Kallithea,8.7
2025,Pas Giannina,7.7
2025,Kifisia,7.7
2025,Ionikos FC,6.8
2025,Apollon Smyrni,5.8
2025,Larissa FC,5.8
2025,Iraklis,5.0
2025,Kalamata,5.0
2026,Olympiacos,110.0
2026,Panathinaikos,95.0
2026,PAOK,90.0
2026,AEK Athens,80.0
2026,Aris,35.0
2026,OFI Crete,18.0
2026,Asteras Tripoli,16.0
2026,Atromitos,14.0
2026,Panetolikos,12.0
2026,Volos NFC,12.0
2026,Panserraikos FC,11.0
2026,Levadiakos,11.0
2026,Lamia,10.0
2026,Athens Kallithea,9.0
2026,Pas Giannina,8.0
2026,Kifisia,8.0
2026,Ionikos FC,7.0
2026,Apollon Smyrni,6.0
2026,Larissa FC,6.0
2026,Iraklis,5.0
2026,Kalamata,5.0
