temporada,equipo,squad_size,avg_age,foreigners,pct_foreigners,squad_value,stadium_capacity,avg_attendance,stadium_occupation
2020,Inter,28,28.5,17,0.61,650.0,75923,72000,0.9483
2021,Inter,28,28.5,17,0.61,600.0,75923,72000,0.9483
2022,Inter,28,28.5,17,0.61,560.0,75923,72000,0.9483
2023,Inter,28,28.5,17,0.61,580.0,75923,72000,0.9483
2024,Inter,28,28.5,17,0.61,670.0,75923,72000,0.9483
2025,Inter,28,28.5,17,0.61,690.0,75923,72000,0.9483
2026,Inter,28,28.5,17,0.61,700.0,75923,72000,0.9483
2020,AC Milan,29,26.0,19,0.65,450.0,75923,71500,0.9417
2021,AC Milan,29,26.0,19,0.65,480.0,75923,71500,0.9417
2022,AC Milan,29,26.0,19,0.65,570.0,75923,71500,0.9417
2023,AC Milan,29,26.0,19,0.65,540.0,75923,71500,0.9417
2024,AC Milan,29,26.0,19,0.65,590.0,75923,71500,0.9417
2025,AC Milan,29,26.0,19,0.65,600.0,75923,71500,0.9417
2026,AC Milan,29,26.0,19,0.65,620.0,75923,71500,0.9417
2020,Juventus,28,26.5,16,0.57,690.0,41507,39500,0.9516
2021,Juventus,28,26.5,16,0.57,600.0,41507,39500,0.9516
2022,Juventus,28,26.5,16,0.57,500.0,41507,39500,0.9516
2023,Juventus,28,26.5,16,0.57,450.0,41507,39500,0.9516
2024,Juventus,28,26.5,16,0.57,580.0,41507,39500,0.9516
2025,Juventus,28,26.5,16,0.57,600.0,41507,39500,0.9516
2026,Juventus,28,26.5,16,0.57,610.0,41507,39500,0.9516
2020,Napoli,27,27.0,16,0.59,540.0,54726,47000,0.8588
2021,Napoli,27,27.0,16,0.59,510.0,54726,47000,0.8588
2022,Napoli,27,27.0,16,0.59,540.0,54726,47000,0.8588
2023,Napoli,27,27.0,16,0.59,590.0,54726,47000,0.8588
2024,Napoli,27,27.0,16,0.59,430.0,54726,47000,0.8588
2025,Napoli,27,27.0,16,0.59,460.0,54726,47000,0.8588
2026,Napoli,27,27.0,16,0.59,480.0,54726,47000,0.8588
2020,Atalanta,27,26.8,18,0.67,380.0,24950,23500,0.9419
2021,Atalanta,27,26.8,18,0.67,410.0,24950,23500,0.9419
2022,Atalanta,27,26.8,18,0.67,340.0,24950,23500,0.9419
2023,Atalanta,27,26.8,18,0.67,330.0,24950,23500,0.9419
2024,Atalanta,27,26.8,18,0.67,440.0,24950,23500,0.9419
2025,Atalanta,27,26.8,18,0.67,450.0,24950,23500,0.9419
2026,Atalanta,27,26.8,18,0.67,470.0,24950,23500,0.9419
2020,AS Roma,29,27.0,17,0.59,380.0,70634,62000,0.8778
2021,AS Roma,29,27.0,17,0.59,400.0,70634,62000,0.8778
2022,AS Roma,29,27.0,17,0.59,380.0,70634,62000,0.8778
2023,AS Roma,29,27.0,17,0.59,360.0,70634,62000,0.8778
2024,AS Roma,29,27.0,17,0.59,340.0,70634,62000,0.8778
2025,AS Roma,29,27.0,17,0.59,350.0,70634,62000,0.8778
2026,AS Roma,29,27.0,17,0.59,360.0,70634,62000,0.8778
2020,Lazio,28,28.0,16,0.57,350.0,70634,44000,0.6229
2021,Lazio,28,28.0,16,0.57,320.0,70634,44000,0.6229
2022,Lazio,28,28.0,16,0.57,290.0,70634,44000,0.6229
2023,Lazio,28,28.0,16,0.57,280.0,70634,44000,0.6229
2024,Lazio,28,28.0,16,0.57,240.0,70634,44000,0.6229
2025,Lazio,28,28.0,16,0.57,250.0,70634,44000,0.6229
2026,Lazio,28,28.0,16,0.57,260.0,70634,44000,0.6229
2020,Fiorentina,28,26.2,15,0.54,250.0,43147,31000,0.7185
2021,Fiorentina,28,26.2,15,0.54,260.0,43147,31000,0.7185
2022,Fiorentina,28,26.2,15,0.54,260.0,43147,31000,0.7185
2023,Fiorentina,28,26.2,15,0.54,250.0,43147,31000,0.7185
2024,Fiorentina,28,26.2,15,0.54,260.0,43147,31000,0.7185
2025,Fiorentina,28,26.2,15,0.54,270.0,43147,31000,0.7185
2026,Fiorentina,28,26.2,15,0.54,280.0,43147,31000,0.7185
2020,Bologna,28,25.5,17,0.61,160.0,36462,26000,0.7131
2021,Bologna,28,25.5,17,0.61,170.0,36462,26000,0.7131
2022,Bologna,28,25.5,17,0.61,170.0,36462,26000,0.7131
2023,Bologna,28,25.5,17,0.61,200.0,36462,26000,0.7131
2024,Bologna,28,25.5,17,0.61,290.0,36462,26000,0.7131
2025,Bologna,28,25.5,17,0.61,300.0,36462,26000,0.7131
2026,Bologna,28,25.5,17,0.61,310.0,36462,26000,0.7131
2020,Torino,27,26.0,15,0.55,170.0,28177,20000,0.7098
2021,Torino,27,26.0,15,0.55,180.0,28177,20000,0.7098
2022,Torino,27,26.0,15,0.55,170.0,28177,20000,0.7098
2023,Torino,27,26.0,15,0.55,180.0,28177,20000,0.7098
2024,Torino,27,26.0,15,0.55,175.0,28177,20000,0.7098
2025,Torino,27,26.0,15,0.55,180.0,28177,20000,0.7098
2026,Torino,27,26.0,15,0.55,185.0,28177,20000,0.7098
2020,Monza,28,27.0,10,0.36,80.0,17102,12000,0.7017
2021,Monza,28,27.0,10,0.36,90.0,17102,12000,0.7017
2022,Monza,28,27.0,10,0.36,120.0,17102,12000,0.7017
2023,Monza,28,27.0,10,0.36,130.0,17102,12000,0.7017
2024,Monza,28,27.0,10,0.36,110.0,17102,12000,0.7017
2025,Monza,28,27.0,10,0.36,115.0,17102,12000,0.7017
2026,Monza,28,27.0,10,0.36,120.0,17102,12000,0.7017
2020,Genoa,29,26.5,16,0.55,110.0,36599,31500,0.8607
2021,Genoa,29,26.5,16,0.55,110.0,36599,31500,0.8607
2022,Genoa,29,26.5,16,0.55,90.0,36599,31500,0.8607
2023,Genoa,29,26.5,16,0.55,130.0,36599,31500,0.8607
