local_equipo,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_wonCorners,local_saves,local_possessionPct,local_totalShots,local_shotsOnTarget,local_shotPct,local_penaltyKickGoals,local_penaltyKickShots,local_accuratePasses,local_totalPasses,local_passPct,local_accurateCrosses,local_totalCrosses,local_crossPct,local_totalLongBalls,local_accurateLongBalls,local_longballPct,local_blockedShots,local_effectiveTackles,local_totalTackles,local_tacklePct,local_interceptions,local_effectiveClearance,local_totalClearance,visita_equipo,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_wonCorners,visita_saves,visita_possessionPct,visita_totalShots,visita_shotsOnTarget,visita_shotPct,visita_penaltyKickGoals,visita_penaltyKickShots,visita_accuratePasses,visita_totalPasses,visita_passPct,visita_accurateCrosses,visita_totalCrosses,visita_crossPct,visita_totalLongBalls,visita_accurateLongBalls,visita_longballPct,visita_blockedShots,visita_effectiveTackles,visita_totalTackles,visita_tacklePct,visita_interceptions,visita_effectiveClearance,visita_totalClearance,event_id,fecha,temporada
Internazionale,9.0,0.0,0.0,3.0,3.0,1.0,47.7,16.0,8.0,0.5,0.0,0.0,406.0,470.0,0.9,4.0,14.0,0.3,34.0,25.0,0.7,2.0,11.0,19.0,0.6,9.0,3.0,3.0,Crotone,7.0,3.0,0.0,0.0,3.0,3.0,52.3,9.0,3.0,0.3,1.0,1.0,452.0,518.0,0.9,4.0,9.0,0.4,37.0,17.0,0.5,3.0,4.0,6.0,0.7,13.0,14.0,14.0,583011,2021-01-03 11:30:00,2021
AS Roma,18.0,3.0,0.0,2.0,9.0,2.0,65.5,21.0,6.0,0.3,0.0,0.0,508.0,595.0,0.9,14.0,30.0,0.5,61.0,39.0,0.6,7.0,8.0,12.0,0.7,16.0,16.0,16.0,Sampdoria,14.0,5.0,0.0,7.0,2.0,5.0,34.5,5.0,2.0,0.4,0.0,0.0,222.0,323.0,0.7,2.0,10.0,0.2,61.0,18.0,0.3,2.0,10.0,16.0,0.6,14.0,19.0,19.0,583016,2021-01-03 14:00:00,2021
Cagliari,11.0,2.0,1.0,0.0,3.0,7.0,37.8,8.0,1.0,0.1,0.0,0.0,302.0,361.0,0.8,4.0,12.0,0.3,33.0,18.0,0.5,2.0,6.0,12.0,0.5,4.0,22.0,22.0,Napoli,6.0,1.0,0.0,0.0,8.0,0.0,62.2,34.0,11.0,0.3,1.0,1.0,560.0,602.0,0.9,12.0,27.0,0.4,37.0,23.0,0.6,10.0,8.0,15.0,0.5,18.0,10.0,10.0,583015,2021-01-03 14:00:00,2021
Parma,20.0,2.0,0.0,1.0,9.0,2.0,57.2,16.0,4.0,0.3,0.0,0.0,416.0,511.0,0.8,11.0,28.0,0.4,62.0,41.0,0.7,1.0,6.0,11.0,0.5,14.0,8.0,8.0,Torino,16.0,2.0,0.0,0.0,3.0,4.0,42.8,12.0,5.0,0.4,0.0,0.0,303.0,393.0,0.8,1.0,9.0,0.1,67.0,28.0,0.4,1.0,5.0,9.0,0.6,16.0,21.0,21.0,583018,2021-01-03 14:00:00,2021
Spezia,22.0,4.0,1.0,1.0,3.0,2.0,53.6,7.0,1.0,0.1,0.0,0.0,313.0,437.0,0.7,8.0,19.0,0.4,116.0,54.0,0.5,1.0,6.0,10.0,0.6,11.0,13.0,13.0,Hellas Verona,10.0,0.0,0.0,9.0,5.0,1.0,46.4,12.0,3.0,0.3,0.0,0.0,266.0,377.0,0.7,5.0,18.0,0.3,73.0,23.0,0.3,3.0,10.0,15.0,0.7,18.0,26.0,26.0,583012,2021-01-03 14:00:00,2021
Atalanta,13.0,3.0,0.0,1.0,8.0,3.0,45.7,23.0,7.0,0.3,0.0,0.0,329.0,423.0,0.8,4.0,21.0,0.2,63.0,33.0,0.5,2.0,10.0,17.0,0.6,16.0,8.0,8.0,Sassuolo,9.0,1.0,0.0,1.0,3.0,3.0,54.3,10.0,4.0,0.4,0.0,0.0,421.0,516.0,0.8,2.0,11.0,0.2,41.0,17.0,0.4,3.0,12.0,17.0,0.7,21.0,18.0,18.0,583017,2021-01-03 14:00:00,2021
Fiorentina,8.0,4.0,0.0,2.0,8.0,3.0,46.9,9.0,0.0,0.0,0.0,0.0,364.0,423.0,0.9,5.0,28.0,0.2,42.0,20.0,0.5,0.0,8.0,11.0,0.7,6.0,13.0,13.0,Bologna,11.0,3.0,0.0,1.0,5.0,0.0,53.1,7.0,3.0,0.4,0.0,0.0,433.0,499.0,0.9,2.0,12.0,0.2,36.0,15.0,0.4,0.0,9.0,22.0,0.4,4.0,30.0,30.0,583010,2021-01-03 14:00:00,2021
Genoa,11.0,2.0,0.0,2.0,4.0,2.0,39.4,10.0,3.0,0.3,0.0,0.0,262.0,356.0,0.7,1.0,13.0,0.1,54.0,17.0,0.3,5.0,6.0,16.0,0.4,9.0,30.0,30.0,Lazio,18.0,4.0,0.0,2.0,9.0,2.0,60.6,12.0,3.0,0.3,1.0,1.0,451.0,536.0,0.8,4.0,30.0,0.1,62.0,37.0,0.6,3.0,9.0,16.0,0.6,13.0,16.0,16.0,583013,2021-01-03 14:00:00,2021
Benevento,9.0,1.0,0.0,1.0,12.0,0.0,60.8,25.0,5.0,0.2,0.0,1.0,437.0,498.0,0.9,7.0,39.0,0.2,48.0,32.0,0.7,11.0,8.0,15.0,0.5,8.0,8.0,8.0,AC Milan,14.0,3.0,1.0,2.0,4.0,5.0,39.2,10.0,2.0,0.2,1.0,1.0,275.0,333.0,0.8,2.0,10.0,0.2,56.0,23.0,0.4,2.0,7.0,12.0,0.6,15.0,29.0,29.0,583014,2021-01-03 17:00:00,2021
Juventus,14.0,3.0,0.0,1.0,7.0,2.0,63.3,20.0,10.0,0.5,0.0,0.0,613.0,672.0,0.9,4.0,17.0,0.2,44.0,31.0,0.7,7.0,12.0,18.0,0.7,12.0,14.0,14.0,Udinese,8.0,0.0,0.0,0.0,1.0,6.0,36.7,10.0,3.0,0.3,0.0,0.0,321.0,388.0,0.8,2.0,12.0,0.2,46.0,27.0,0.6,3.0,6.0,10.0,0.6,4.0,14.0,14.0,583019,2021-01-03 19:45:00,2021
