id,name,norm_name,short_name,abbreviation,slug,color,alternate_color,logo,is_active
103,AC Milan,AC Milan,Milan,MIL,ita.ac_milan,e4002b,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/103.png,True
104,AS Roma,AS Roma,AS Roma,ROMA,ita.as_roma,990a2c,F5F3E5,https://a.espncdn.com/i/teamlogos/soccer/500-dark/104.png,True
105,Atalanta,Atalanta,Atalanta,ATA,ita.atalanta,1157bf,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/105.png,True
107,Bologna,Bologna,Bologna,BOL,ita.bologna,04043d,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/107.png,True
2925,Cagliari,Cagliari,Cagliari,CAG,ita.cagliari,282846,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2925.png,True
2572,Como,Como,Como,COMO,ita.como,4169E1,FFFFFF,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2572.png,True
109,Fiorentina,Fiorentina,Fiorentina,FIO,ita.fiorentina,4c1d84,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/109.png,True
4057,Frosinone,Frosinone,Frosinone,FRO,ita.frosinone,FACF08,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/4057.png,True
3263,Genoa,Genoa,Genoa,GEN,ita.genoa,08305d,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3263.png,True
110,Internazionale,Inter,Inter Milan,INT,ita.inter_milan,00239c,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/110.png,True
111,Juventus,Juventus,Juventus,JUV,ita.juventus,000000,E8A2B0,https://a.espncdn.com/i/teamlogos/soccer/500-dark/111.png,True
112,Lazio,Lazio,Lazio,LAZ,ita.lazio_rome,74bde7,FFFFFF,https://a.espncdn.com/i/teamlogos/soccer/500-dark/112.png,True
113,Lecce,Lecce,Lecce,LEC,ita.lecce,FCED0B,08305d,https://a.espncdn.com/i/teamlogos/soccer/500-dark/113.png,True
4007,Monza,Monza,Monza,MON,ita.monza,C8142F,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/4007.png,True
114,Napoli,Napoli,Napoli,NAP,ita.napoli,0677d2,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/114.png,True
115,Parma,Parma,Parma,PAR,ita.parma,19161D,ffdd30,https://a.espncdn.com/i/teamlogos/soccer/500-dark/115.png,True
3997,Sassuolo,Sassuolo,Sassuolo,SAS,ita.sassuolo,0fa653,ADAEB0,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3997.png,True
239,Torino,Torino,Torino,TOR,ita.torino,9f0000,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/239.png,True
118,Udinese,Udinese,Udinese,UDI,ita.udinese,19161D,0F1C3F,https://a.espncdn.com/i/teamlogos/soccer/500-dark/118.png,True
17530,Venezia,Venezia,Venezia,VEN,f.b.c_unione_venezia,000000,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/17530.png,True
119,Hellas Verona,Verona,Verona,VER,ita.verona,00239c,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/119.png,True
2574,Empoli,Empoli,Empoli,EMP,ita.empoli,005bdd,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2574.png,True
4050,Cremonese,Cremonese,Cremonese,CRE,ita.cremonese,FF0000,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/4050.png,True
3956,Pisa,Pisa,Pisa,PIS,ita.pisa,1a1a1a,1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3956.png,True
2734,Sampdoria,Sampdoria,Sampdoria,SAM,ita.sampdoria,2234a4,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2734.png,True
4059,Benevento,Benevento,Benevento,BEN,ita.benevento,C60000,FFFF00,https://a.espncdn.com/i/teamlogos/soccer/500/4059.png,True
3240,Salernitana,Salernitana,Salernitana,SAL,ita.salernitana,990000,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/3240.png,True
4056,Spezia,Spezia,Spezia,SPE,ita.spezia,ffffff,1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500-dark/4056.png,True
3173,Crotone,Crotone,Crotone,CRO,ita.crotone,275ba2,333755,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3173.png,True
