event_id,fecha,temporada,local_id,visita_id,local,visita,goles_local,goles_visita,estado
401874936,2026-09-13 15:00:00,2026,113,4007,Lecce,Monza,,,pre
401874792,2026-09-13 18:00:00,2026,114,107,Napoli,Bologna,,,pre
401874750,2026-09-13 20:45:00,2026,3997,111,Sassuolo,Juventus,,,pre
401874933,2026-09-14 18:30:00,2026,2572,115,Como,Parma,,,pre
401874950,2026-09-14 18:30:00,2026,239,104,Torino,AS Roma,,,pre
401874966,2026-09-14 20:45:00,2026,110,118,Inter,Udinese,,,pre
401874756,2026-09-18 20:45:00,2026,4007,3997,Monza,Sassuolo,,,pre
401874767,2026-09-19 15:00:00,2026,107,239,Bologna,Torino,,,pre
401874964,2026-09-19 15:00:00,2026,118,2925,Udinese,Cagliari,,,pre
401874753,2026-09-19 18:00:00,2026,104,110,AS Roma,Inter,,,pre
401874956,2026-09-19 20:45:00,2026,17530,112,Venezia,Lazio,,,pre
401874934,2026-09-20 12:30:00,2026,109,114,Fiorentina,Napoli,,,pre
401874752,2026-09-20 15:00:00,2026,4057,2572,Frosinone,Como,,,pre
401874801,2026-09-20 15:00:00,2026,115,3263,Parma,Genoa,,,pre
401874757,2026-09-20 18:00:00,2026,111,105,Juventus,Atalanta,,,pre
401874944,2026-09-20 20:45:00,2026,103,113,AC Milan,Lecce,,,pre
401874947,2026-10-10 15:00:00,2026,3263,109,Genoa,Fiorentina,,,pre
401875021,2026-10-10 18:00:00,2026,110,115,Inter,Parma,,,pre
401874754,2026-10-10 20:45:00,2026,114,4057,Napoli,Frosinone,,,pre
401874940,2026-10-11 12:30:00,2026,2572,104,Como,AS Roma,,,pre
401874951,2026-10-11 15:00:00,2026,112,4007,Lazio,Monza,,,pre
401874776,2026-10-11 15:00:00,2026,113,107,Lecce,Bologna,,,pre
401874789,2026-10-11 18:00:00,2026,3997,103,Sassuolo,AC Milan,,,pre
401874764,2026-10-11 20:45:00,2026,2925,111,Cagliari,Juventus,,,pre
401875005,2026-10-12 18:30:00,2026,105,17530,Atalanta,Venezia,,,pre
401874763,2026-10-12 20:45:00,2026,239,118,Torino,Udinese,,,pre
401874959,2026-10-16 20:45:00,2026,4057,3997,Frosinone,Sassuolo,,,pre
401874760,2026-10-17 15:00:00,2026,17530,114,Venezia,Napoli,,,pre
401874953,2026-10-17 18:00:00,2026,107,110,Bologna,Inter,,,pre
401874935,2026-10-17 20:45:00,2026,104,3263,AS Roma,Genoa,,,pre
401874771,2026-10-18 12:30:00,2026,118,113,Udinese,Lecce,,,pre
401874774,2026-10-18 15:00:00,2026,109,2572,Fiorentina,Como,,,pre
401874978,2026-10-18 18:00:00,2026,103,105,AC Milan,Atalanta,,,pre
401874765,2026-10-18 20:45:00,2026,111,112,Juventus,Lazio,,,pre
401874762,2026-10-19 18:30:00,2026,4007,2925,Monza,Cagliari,,,pre
401874784,2026-10-19 20:45:00,2026,115,239,Parma,Torino,,,pre
401874957,2026-10-23 20:45:00,2026,239,4007,Torino,Monza,,,pre
401874958,2026-10-24 15:00:00,2026,2925,107,Cagliari,Bologna,,,pre
401874961,2026-10-24 15:00:00,2026,2572,3997,Como,Sassuolo,,,pre
401874948,2026-10-24 18:00:00,2026,114,104,Napoli,AS Roma,,,pre
401874955,2026-10-24 20:45:00,2026,112,115,Lazio,Parma,,,pre
401875036,2026-10-25 12:30:00,2026,110,109,Inter,Fiorentina,,,pre
401874972,2026-10-25 15:00:00,2026,105,4057,Atalanta,Frosinone,,,pre
401874952,2026-10-25 15:00:00,2026,3263,17530,Genoa,Venezia,,,pre
401874772,2026-10-25 18:00:00,2026,113,111,Lecce,Juventus,,,pre
401874779,2026-10-25 20:45:00,2026,118,103,Udinese,AC Milan,,,pre
401874980,2026-10-27 18:30:00,2026,3997,112,Sassuolo,Lazio,,,pre
401874780,2026-10-27 20:45:00,2026,104,2925,AS Roma,Cagliari,,,pre
401874786,2026-10-27 20:45:00,2026,239,2572,Torino,Como,,,pre
401874993,2026-10-28 18:30:00,2026,103,107,AC Milan,Bologna,,,pre
401874965,2026-10-28 18:30:00,2026,115,118,Parma,Udinese,,,pre
401874773,2026-10-28 18:30:00,2026,17530,110,Venezia,Inter,,,pre
401874988,2026-10-28 20:45:00,2026,3263,111,Genoa,Juventus,,,pre
401874799,2026-10-28 20:45:00,2026,4007,114,Monza,Napoli,,,pre
401874976,2026-10-29 18:30:00,2026,4057,113,Frosinone,Lecce,,,pre
401874969,2026-10-29 20:45:00,2026,109,105,Fiorentina,Atalanta,,,pre
401874798,2026-10-31 15:00:00,2026,107,4007,Bologna,Monza,,,pre
401874990,2026-10-31 18:00:00,2026,118,104,Udinese,AS Roma,,,pre
401874795,2026-10-31 20:45:00,2026,103,110,AC Milan,Inter,,,pre
401875002,2026-11-01 12:30:00,2026,2572,17530,Como,Venezia,,,pre
401874782,2026-11-01 15:00:00,2026,4057,239,Frosinone,Torino,,,pre
401874983,2026-11-01 15:00:00,2026,112,2925,Lazio,Cagliari,,,pre
401874968,2026-11-01 18:00:00,2026,113,3263,Lecce,Genoa,,,pre
401874949,2026-11-01 20:45:00,2026,111,114,Juventus,Napoli,,,pre
401874963,2026-11-02 18:30:00,2026,3997,109,Sassuolo,Fiorentina,,,pre
401874971,2026-11-02 20:45:00,2026,105,115,Atalanta,Parma,,,pre
401874815,2026-11-06 20:45:00,2026,17530,118,Venezia,Udinese,,,pre
401874791,2026-11-07 15:00:00,2026,2925,4057,Cagliari,Frosinone,,,pre
401874811,2026-11-07 15:00:00,2026,239,113,Torino,Lecce,,,pre
401874974,2026-11-07 18:00:00,2026,115,107,Parma,Bologna,,,pre
401874803,2026-11-07 20:45:00,2026,104,3997,AS Roma,Sassuolo,,,pre
401874810,2026-11-08 12:30:00,2026,114,112,Napoli,Lazio,,,pre
401874800,2026-11-08 15:00:00,2026,4007,105,Monza,Atalanta,,,pre
401875018,2026-11-08 15:00:00,2026,3263,103,Genoa,AC Milan,,,pre
401874808,2026-11-08 18:00:00,2026,110,2572,Inter,Como,,,pre
401875003,2026-11-08 20:45:00,2026,109,111,Fiorentina,Juventus,,,pre
401875056,2026-11-21 15:00:00,2026,2572,2925,Como,Cagliari,,,pre
401874981,2026-11-21 15:00:00,2026,112,113,Lazio,Lecce,,,pre
401874967,2026-11-21 18:00:00,2026,115,104,Parma,AS Roma,,,pre
401875067,2026-11-21 20:45:00,2026,114,239,Napoli,Torino,,,pre
401874960,2026-11-22 12:30:00,2026,3997,3263,Sassuolo,Genoa,,,pre
401874989,2026-11-22 15:00:00,2026,103,4057,AC Milan,Frosinone,,,pre
401875047,2026-11-22 18:00:00,2026,107,118,Bologna,Udinese,,,pre
401875001,2026-11-22 20:45:00,2026,105,110,Atalanta,Inter,,,pre
401875009,2026-11-23 18:30:00,2026,4007,109,Monza,Fiorentina,,,pre
401875008,2026-11-23 20:45:00,2026,111,17530,Juventus,Venezia,,,pre
401875004,2026-11-29 21:00:00,2026,17530,107,Venezia,Bologna,,,pre
401875031,2026-11-29 21:00:00,2026,118,109,Udinese,Fiorentina,,,pre
401874826,2026-11-29 21:00:00,2026,239,112,Torino,Lazio,,,pre
