event_id,fecha,temporada,local_id,visita_id,local,visita,goles_local,goles_visita,estado
583011,2021-01-03 12:30:00,2021,110,3173,Inter,Crotone,6.0,2.0,post
583016,2021-01-03 15:00:00,2021,104,2734,AS Roma,Sampdoria,1.0,0.0,post
583017,2021-01-03 15:00:00,2021,105,3997,Atalanta,Sassuolo,5.0,1.0,post
583015,2021-01-03 15:00:00,2021,2925,114,Cagliari,Napoli,1.0,4.0,post
583010,2021-01-03 15:00:00,2021,109,107,Fiorentina,Bologna,0.0,0.0,post
583013,2021-01-03 15:00:00,2021,3263,112,Genoa,Lazio,1.0,1.0,post
583018,2021-01-03 15:00:00,2021,115,239,Parma,Torino,0.0,3.0,post
583012,2021-01-03 15:00:00,2021,4056,119,Spezia,Verona,0.0,1.0,post
583014,2021-01-03 18:00:00,2021,4059,103,Benevento,AC Milan,0.0,2.0,post
583019,2021-01-03 20:45:00,2021,111,118,Juventus,Udinese,4.0,1.0,post
583000,2021-01-06 12:30:00,2021,2925,4059,Cagliari,Benevento,1.0,2.0,post
583002,2021-01-06 15:00:00,2021,3997,3263,Sassuolo,Genoa,2.0,1.0,post
583004,2021-01-06 15:00:00,2021,2734,110,Sampdoria,Inter,2.0,1.0,post
583001,2021-01-06 15:00:00,2021,112,109,Lazio,Fiorentina,2.0,1.0,post
583003,2021-01-06 15:00:00,2021,239,119,Torino,Verona,1.0,1.0,post
583009,2021-01-06 15:00:00,2021,107,118,Bologna,Udinese,2.0,2.0,post
583006,2021-01-06 15:00:00,2021,105,115,Atalanta,Parma,3.0,0.0,post
583007,2021-01-06 15:00:00,2021,3173,104,Crotone,AS Roma,1.0,3.0,post
583008,2021-01-06 18:00:00,2021,114,4056,Napoli,Spezia,1.0,2.0,post
583005,2021-01-06 20:45:00,2021,103,111,AC Milan,Juventus,1.0,3.0,post
582990,2021-01-09 15:00:00,2021,4059,105,Benevento,Atalanta,1.0,4.0,post
582991,2021-01-09 18:00:00,2021,3263,107,Genoa,Bologna,2.0,0.0,post
582999,2021-01-09 20:45:00,2021,103,239,AC Milan,Torino,2.0,0.0,post
582994,2021-01-10 12:30:00,2021,104,110,AS Roma,Inter,2.0,2.0,post
582996,2021-01-10 15:00:00,2021,118,114,Udinese,Napoli,1.0,2.0,post
582995,2021-01-10 15:00:00,2021,115,112,Parma,Lazio,0.0,2.0,post
582993,2021-01-10 15:00:00,2021,119,3173,Verona,Crotone,2.0,1.0,post
582992,2021-01-10 18:00:00,2021,109,2925,Fiorentina,Cagliari,1.0,0.0,post
582998,2021-01-10 20:45:00,2021,111,3997,Juventus,Sassuolo,3.0,1.0,post
582997,2021-01-11 20:45:00,2021,4056,2734,Spezia,Sampdoria,2.0,1.0,post
582987,2021-01-15 20:45:00,2021,112,104,Lazio,AS Roma,3.0,0.0,post
582983,2021-01-16 15:00:00,2021,107,119,Bologna,Verona,1.0,0.0,post
582988,2021-01-16 18:00:00,2021,239,4056,Torino,Spezia,0.0,0.0,post
582989,2021-01-16 20:45:00,2021,2734,118,Sampdoria,Udinese,2.0,1.0,post
582981,2021-01-17 12:30:00,2021,114,109,Napoli,Fiorentina,6.0,0.0,post
582986,2021-01-17 15:00:00,2021,3997,115,Sassuolo,Parma,1.0,1.0,post
582980,2021-01-17 15:00:00,2021,3173,4059,Crotone,Benevento,4.0,1.0,post
582982,2021-01-17 18:00:00,2021,105,3263,Atalanta,Genoa,0.0,0.0,post
582984,2021-01-17 20:45:00,2021,110,111,Inter,Juventus,2.0,0.0,post
582985,2021-01-18 20:45:00,2021,2925,103,Cagliari,AC Milan,0.0,2.0,post
583060,2021-01-20 15:00:00,2021,118,105,Udinese,Atalanta,1.0,1.0,post
582979,2021-01-22 20:45:00,2021,4059,239,Benevento,Torino,2.0,2.0,post
582978,2021-01-23 15:00:00,2021,104,4056,AS Roma,Spezia,4.0,3.0,post
582970,2021-01-23 18:00:00,2021,103,105,AC Milan,Atalanta,0.0,3.0,post
582974,2021-01-23 18:00:00,2021,118,110,Udinese,Inter,0.0,0.0,post
582973,2021-01-23 20:45:00,2021,109,3173,Fiorentina,Crotone,2.0,1.0,post
582971,2021-01-24 12:30:00,2021,111,107,Juventus,Bologna,2.0,0.0,post
582972,2021-01-24 15:00:00,2021,3263,2925,Genoa,Cagliari,1.0,0.0,post
582975,2021-01-24 15:00:00,2021,119,114,Verona,Napoli,3.0,1.0,post
582977,2021-01-24 18:00:00,2021,112,3997,Lazio,Sassuolo,2.0,1.0,post
582976,2021-01-24 20:45:00,2021,115,2734,Parma,Sampdoria,0.0,2.0,post
582961,2021-01-29 20:45:00,2021,239,109,Torino,Fiorentina,1.0,1.0,post
582966,2021-01-30 15:00:00,2021,107,103,Bologna,AC Milan,1.0,2.0,post
582964,2021-01-30 18:00:00,2021,2734,111,Sampdoria,Juventus,0.0,2.0,post
582960,2021-01-30 20:45:00,2021,110,4059,Inter,Benevento,4.0,0.0,post
582969,2021-01-31 12:30:00,2021,4056,118,Spezia,Udinese,0.0,1.0,post
582965,2021-01-31 15:00:00,2021,105,112,Atalanta,Lazio,1.0,3.0,post
582968,2021-01-31 15:00:00,2021,2925,3997,Cagliari,Sassuolo,1.0,1.0,post
582962,2021-01-31 15:00:00,2021,3173,3263,Crotone,Genoa,0.0,3.0,post
582967,2021-01-31 18:00:00,2021,114,115,Napoli,Parma,2.0,0.0,post
582963,2021-01-31 20:45:00,2021,104,119,AS Roma,Verona,3.0,1.0,post
582954,2021-02-05 20:45:00,2021,109,110,Fiorentina,Inter,0.0,2.0,post
582958,2021-02-06 15:00:00,2021,3997,4056,Sassuolo,Spezia,1.0,2.0,post
582959,2021-02-06 15:00:00,2021,105,239,Atalanta,Torino,3.0,3.0,post
582956,2021-02-06 18:00:00,2021,111,104,Juventus,AS Roma,2.0,0.0,post
582955,2021-02-06 20:45:00,2021,3263,114,Genoa,Napoli,2.0,1.0,post
582957,2021-02-07 12:30:00,2021,4059,2734,Benevento,Sampdoria,1.0,1.0,post
582952,2021-02-07 15:00:00,2021,103,3173,AC Milan,Crotone,4.0,0.0,post
582953,2021-02-07 15:00:00,2021,118,119,Udinese,Verona,2.0,0.0,post
582950,2021-02-07 18:00:00,2021,115,107,Parma,Bologna,0.0,3.0,post
582951,2021-02-07 20:45:00,2021,112,2925,Lazio,Cagliari,1.0,0.0,post
582941,2021-02-12 20:45:00,2021,107,4059,Bologna,Benevento,1.0,1.0,post
582943,2021-02-13 15:00:00,2021,239,3263,Torino,Genoa,0.0,0.0,post
582944,2021-02-13 18:00:00,2021,114,111,Napoli,Juventus,1.0,0.0,post
582946,2021-02-13 20:45:00,2021,4056,103,Spezia,AC Milan,2.0,0.0,post
582949,2021-02-14 12:30:00,2021,104,118,AS Roma,Udinese,3.0,0.0,post
582940,2021-02-14 15:00:00,2021,2925,105,Cagliari,Atalanta,0.0,1.0,post
582942,2021-02-14 15:00:00,2021,2734,109,Sampdoria,Fiorentina,2.0,1.0,post
582948,2021-02-14 18:00:00,2021,3173,3997,Crotone,Sassuolo,1.0,2.0,post
582945,2021-02-14 20:45:00,2021,110,112,Inter,Lazio,3.0,1.0,post
582947,2021-02-15 20:45:00,2021,119,115,Verona,Parma,2.0,1.0,post
582937,2021-02-19 18:30:00,2021,109,4056,Fiorentina,Spezia,3.0,0.0,post
582938,2021-02-19 20:45:00,2021,2925,239,Cagliari,Torino,0.0,1.0,post
582936,2021-02-20 15:00:00,2021,112,2734,Lazio,Sampdoria,1.0,0.0,post
582932,2021-02-20 18:00:00,2021,3263,119,Genoa,Verona,2.0,2.0,post
582930,2021-02-20 20:45:00,2021,3997,107,Sassuolo,Bologna,1.0,1.0,post
582939,2021-02-21 12:30:00,2021,115,118,Parma,Udinese,2.0,2.0,post
582933,2021-02-21 15:00:00,2021,103,110,AC Milan,Inter,0.0,3.0,post
582934,2021-02-21 18:00:00,2021,105,114,Atalanta,Napoli,4.0,2.0,post
582935,2021-02-21 20:45:00,2021,4059,104,Benevento,AS Roma,0.0,0.0,post
582931,2021-02-22 20:45:00,2021,111,3173,Juventus,Crotone,3.0,0.0,post
582928,2021-02-27 15:00:00,2021,4056,115,Spezia,Parma,2.0,2.0,post
582926,2021-02-27 18:00:00,2021,107,112,Bologna,Lazio,2.0,0.0,post
582925,2021-02-27 20:45:00,2021,119,111,Verona,Juventus,1.0,1.0,post
582920,2021-02-28 12:30:00,2021,2734,105,Sampdoria,Atalanta,0.0,2.0,post
582922,2021-02-28 15:00:00,2021,3173,2925,Crotone,Cagliari,0.0,2.0,post
582924,2021-02-28 15:00:00,2021,110,3263,Inter,Genoa,3.0,0.0,post
582923,2021-02-28 15:00:00,2021,118,109,Udinese,Fiorentina,1.0,0.0,post
582921,2021-02-28 18:00:00,2021,114,4059,Napoli,Benevento,2.0,0.0,post
582927,2021-02-28 20:45:00,2021,104,103,AS Roma,AC Milan,1.0,2.0,post
582917,2021-03-02 20:45:00,2021,111,4056,Juventus,Spezia,3.0,0.0,post
582914,2021-03-03 18:30:00,2021,3997,114,Sassuolo,Napoli,3.0,3.0,post
582915,2021-03-03 20:45:00,2021,109,104,Fiorentina,AS Roma,1.0,2.0,post
582910,2021-03-03 20:45:00,2021,2925,107,Cagliari,Bologna,1.0,0.0,post
582916,2021-03-03 20:45:00,2021,3263,2734,Genoa,Sampdoria,1.0,1.0,post
582911,2021-03-03 20:45:00,2021,105,3173,Atalanta,Crotone,5.0,1.0,post
582919,2021-03-03 20:45:00,2021,103,118,AC Milan,Udinese,1.0,1.0,post
582912,2021-03-03 20:45:00,2021,4059,119,Benevento,Verona,0.0,3.0,post
582913,2021-03-04 20:45:00,2021,115,110,Parma,Inter,1.0,2.0,post
582901,2021-03-06 15:00:00,2021,4056,4059,Spezia,Benevento,1.0,1.0,post
582908,2021-03-06 18:00:00,2021,118,3997,Udinese,Sassuolo,2.0,0.0,post
582905,2021-03-06 20:45:00,2021,111,112,Juventus,Lazio,3.0,1.0,post
582904,2021-03-07 12:30:00,2021,104,3263,AS Roma,Genoa,1.0,0.0,post
582906,2021-03-07 15:00:00,2021,119,103,Verona,AC Milan,0.0,2.0,post
582909,2021-03-07 15:00:00,2021,3173,239,Crotone,Torino,4.0,2.0,post
582907,2021-03-07 15:00:00,2021,109,115,Fiorentina,Parma,3.0,3.0,post
582903,2021-03-07 18:00:00,2021,2734,2925,Sampdoria,Cagliari,2.0,2.0,post
582902,2021-03-07 20:45:00,2021,114,107,Napoli,Bologna,3.0,1.0,post
582900,2021-03-08 20:45:00,2021,110,105,Inter,Atalanta,1.0,0.0,post
582890,2021-03-12 15:00:00,2021,112,3173,Lazio,Crotone,3.0,2.0,post
582898,2021-03-12 20:45:00,2021,105,4056,Atalanta,Spezia,3.0,1.0,post
582892,2021-03-13 15:00:00,2021,3997,119,Sassuolo,Verona,3.0,2.0,post
582891,2021-03-13 18:00:00,2021,4059,109,Benevento,Fiorentina,1.0,4.0,post
582899,2021-03-13 20:45:00,2021,3263,118,Genoa,Udinese,1.0,1.0,post
582897,2021-03-14 12:30:00,2021,107,2734,Bologna,Sampdoria,3.0,1.0,post
582896,2021-03-14 15:00:00,2021,115,104,Parma,AS Roma,2.0,0.0,post
582893,2021-03-14 15:00:00,2021,239,110,Torino,Inter,1.0,2.0,post
582894,2021-03-14 18:00:00,2021,2925,111,Cagliari,Juventus,1.0,3.0,post
582895,2021-03-14 20:45:00,2021,103,114,AC Milan,Napoli,0.0,1.0,post
582929,2021-03-17 15:00:00,2021,239,3997,Torino,Sassuolo,3.0,2.0,post
582884,2021-03-19 20:45:00,2021,115,3263,Parma,Genoa,1.0,2.0,post
582882,2021-03-20 15:00:00,2021,3173,107,Crotone,Bologna,2.0,3.0,post
582883,2021-03-20 18:00:00,2021,4056,2925,Spezia,Cagliari,2.0,1.0,post
582880,2021-03-21 12:30:00,2021,119,105,Verona,Atalanta,0.0,2.0,post
582881,2021-03-21 15:00:00,2021,111,4059,Juventus,Benevento,0.0,1.0,post
582889,2021-03-21 15:00:00,2021,2734,239,Sampdoria,Torino,1.0,0.0,post
582885,2021-03-21 15:00:00,2021,118,112,Udinese,Lazio,0.0,1.0,post
582886,2021-03-21 18:00:00,2021,109,103,Fiorentina,AC Milan,2.0,3.0,post
582887,2021-03-21 20:45:00,2021,104,114,AS Roma,Napoli,0.0,2.0,post
582877,2021-04-03 12:30:00,2021,103,2734,AC Milan,Sampdoria,1.0,1.0,post
582876,2021-04-03 15:00:00,2021,3997,104,Sassuolo,AS Roma,2.0,2.0,post
582870,2021-04-03 15:00:00,2021,114,3173,Napoli,Crotone,4.0,3.0,post
582878,2021-04-03 15:00:00,2021,112,4056,Lazio,Spezia,2.0,1.0,post
582871,2021-04-03 15:00:00,2021,3263,109,Genoa,Fiorentina,1.0,1.0,post
582872,2021-04-03 15:00:00,2021,2925,119,Cagliari,Verona,0.0,2.0,post
582875,2021-04-03 15:00:00,2021,4059,115,Benevento,Parma,2.0,2.0,post
582879,2021-04-03 15:00:00,2021,105,118,Atalanta,Udinese,3.0,2.0,post
582874,2021-04-03 18:00:00,2021,239,111,Torino,Juventus,2.0,2.0,post
582873,2021-04-03 20:45:00,2021,107,110,Bologna,Inter,0.0,1.0,post
582888,2021-04-07 18:45:00,2021,110,3997,Inter,Sassuolo,2.0,1.0,post
583135,2021-04-07 18:45:00,2021,111,114,Juventus,Napoli,2.0,1.0,post
582863,2021-04-10 15:00:00,2021,4056,3173,Spezia,Crotone,3.0,2.0,post
582866,2021-04-10 18:00:00,2021,115,103,Parma,AC Milan,1.0,3.0,post
582869,2021-04-10 20:45:00,2021,118,239,Udinese,Torino,0.0,1.0,post
582862,2021-04-11 12:30:00,2021,110,2925,Inter,Cagliari,1.0,0.0,post
582865,2021-04-11 15:00:00,2021,119,112,Verona,Lazio,0.0,1.0,post
582864,2021-04-11 15:00:00,2021,111,3263,Juventus,Genoa,3.0,1.0,post
582867,2021-04-11 15:00:00,2021,2734,114,Sampdoria,Napoli,0.0,2.0,post
582861,2021-04-11 18:00:00,2021,104,107,AS Roma,Bologna,1.0,0.0,post
582860,2021-04-11 20:45:00,2021,109,105,Fiorentina,Atalanta,2.0,3.0,post
582868,2021-04-12 20:45:00,2021,4059,3997,Benevento,Sassuolo,0.0,1.0,post
582853,2021-04-17 15:00:00,2021,2734,119,Sampdoria,Verona,3.0,1.0,post
582859,2021-04-17 15:00:00,2021,3173,118,Crotone,Udinese,1.0,2.0,post
582851,2021-04-17 18:00:00,2021,3997,109,Sassuolo,Fiorentina,3.0,1.0,post
582856,2021-04-17 20:45:00,2021,2925,115,Cagliari,Parma,4.0,3.0,post
582852,2021-04-18 12:30:00,2021,103,3263,AC Milan,Genoa,2.0,1.0,post
582855,2021-04-18 15:00:00,2021,105,111,Atalanta,Juventus,1.0,0.0,post
582858,2021-04-18 15:00:00,2021,107,4056,Bologna,Spezia,4.0,1.0,post
582850,2021-04-18 15:00:00,2021,112,4059,Lazio,Benevento,5.0,3.0,post
582857,2021-04-18 18:00:00,2021,239,104,Torino,AS Roma,3.0,1.0,post
582854,2021-04-18 20:45:00,2021,114,110,Napoli,Inter,1.0,1.0,post
582843,2021-04-20 20:45:00,2021,119,109,Verona,Fiorentina,1.0,2.0,post
582848,2021-04-21 18:30:00,2021,103,3997,AC Milan,Sassuolo,1.0,2.0,post
