temporada,equipo,squad_value
2020,Inter,650.0
2021,Inter,600.0
2022,Inter,560.0
2023,Inter,580.0
2024,Inter,670.0
2025,Inter,690.0
2026,Inter,700.0
2020,AC Milan,450.0
2021,AC Milan,480.0
2022,AC Milan,570.0
2023,AC Milan,540.0
2024,AC Milan,590.0
2025,AC Milan,600.0
2026,AC Milan,620.0
2020,Juventus,690.0
2021,Juventus,600.0
2022,Juventus,500.0
2023,Juventus,450.0
2024,Juventus,580.0
2025,Juventus,600.0
2026,Juventus,610.0
2020,Napoli,540.0
2021,Napoli,510.0
2022,Napoli,540.0
2023,Napoli,590.0
2024,Napoli,430.0
2025,Napoli,460.0
2026,Napoli,480.0
2020,Atalanta,380.0
2021,Atalanta,410.0
2022,Atalanta,340.0
2023,Atalanta,330.0
2024,Atalanta,440.0
2025,Atalanta,450.0
2026,Atalanta,470.0
2020,AS Roma,380.0
2021,AS Roma,400.0
2022,AS Roma,380.0
2023,AS Roma,360.0
2024,AS Roma,340.0
2025,AS Roma,350.0
2026,AS Roma,360.0
2020,Lazio,350.0
2021,Lazio,320.0
2022,Lazio,290.0
2023,Lazio,280.0
2024,Lazio,240.0
2025,Lazio,250.0
2026,Lazio,260.0
2020,Fiorentina,250.0
2021,Fiorentina,260.0
2022,Fiorentina,260.0
2023,Fiorentina,250.0
2024,Fiorentina,260.0
2025,Fiorentina,270.0
2026,Fiorentina,280.0
2020,Bologna,160.0
2021,Bologna,170.0
2022,Bologna,170.0
2023,Bologna,200.0
2024,Bologna,290.0
2025,Bologna,300.0
2026,Bologna,310.0
2020,Torino,170.0
2021,Torino,180.0
2022,Torino,170.0
2023,Torino,180.0
2024,Torino,175.0
2025,Torino,180.0
2026,Torino,185.0
2020,Monza,80.0
2021,Monza,90.0
2022,Monza,120.0
2023,Monza,130.0
2024,Monza,110.0
2025,Monza,115.0
2026,Monza,120.0
2020,Genoa,110.0
2021,Genoa,110.0
2022,Genoa,90.0
2023,Genoa,130.0
2024,Genoa,140.0
2025,Genoa,145.0
2026,Genoa,150.0
2020,Como,40.0
2021,Como,50.0
2022,Como,60.0
2023,Como,75.0
2024,Como,130.0
2025,Como,140.0
2026,Como,150.0
2020,Udinese,150.0
2021,Udinese,140.0
2022,Udinese,140.0
2023,Udinese,140.0
2024,Udinese,130.0
2025,Udinese,135.0
2026,Udinese,140.0
2020,Parma,140.0
2021,Parma,100.0
2022,Parma,70.0
2023,Parma,80.0
2024,Parma,115.0
2025,Parma,120.0
2026,Parma,125.0
2020,Cagliari,150.0
2021,Cagliari,140.0
2022,Cagliari,80.0
2023,Cagliari,75.0
2024,Cagliari,75.0
2025,Cagliari,80.0
2026,Cagliari,85.0
2020,Verona,130.0
2021,Verona,140.0
2022,Verona,120.0
2023,Verona,90.0
2024,Verona,80.0
2025,Verona,85.0
2026,Verona,90.0
2020,Lecce,60.0
2021,Lecce,50.0
2022,Lecce,70.0
2023,Lecce,85.0
2024,Lecce,90.0
2025,Lecce,95.0
2026,Lecce,100.0
2020,Empoli,60.0
2021,Empoli,85.0
2022,Empoli,95.0
2023,Empoli,85.0
2024,Empoli,70.0
2025,Empoli,75.0
2026,Empoli,80.0
2020,Venezia,30.0
2021,Venezia,70.0
2022,Venezia,40.0
2023,Venezia,45.0
2024,Venezia,65.0
2025,Venezia,70.0
2026,Venezia,75.0
2020,Sassuolo,220.0
2021,Sassuolo,220.0
2022,Sassuolo,210.0
2023,Sassuolo,160.0
2024,Sassuolo,90.0
2025,Sassuolo,95.0
2026,Sassuolo,100.0
2020,Frosinone,35.0
2021,Frosinone,30.0
2022,Frosinone,35.0
2023,Frosinone,70.0
2024,Frosinone,45.0
2025,Frosinone,50.0
2026,Frosinone,55.0
2020,Salernitana,40.0
2021,Salernitana,65.0
2022,Salernitana,100.0
2023,Salernitana,90.0
2024,Salernitana,35.0
2025,Salernitana,40.0
2026,Salernitana,45.0
2020,Sampdoria,150.0
2021,Sampdoria,140.0
2022,Sampdoria,80.0
2023,Sampdoria,45.0
2024,Sampdoria,45.0
2025,Sampdoria,50.0
2026,Sampdoria,55.0
2020,Spezia,65.0
2021,Spezia,75.0
2022,Spezia,80.0
2023,Spezia,40.0
2024,Spezia,35.0
2025,Spezia,40.0
2026,Spezia,45.0
2020,Cremonese,30.0
2021,Cremonese,35.0
2022,Cremonese,70.0
2023,Cremonese,45.0
2024,Cremonese,40.0
2025,Cremonese,45.0
2026,Cremonese,50.0
2020,Benevento,60.0
2021,Benevento,45.0
2022,Benevento,35.0
2023,Benevento,20.0
2024,Benevento,15.0
2025,Benevento,15.0
2026,Benevento,15.0
2020,Crotone,50.0
2021,Crotone,30.0
2022,Crotone,15.0
2023,Crotone,10.0
2024,Crotone,8.0
2025,Crotone,8.0
2026,Crotone,8.0
2020,Pisa,25.0
2021,Pisa,30.0
2022,Pisa,35.0
2023,Pisa,35.0
2024,Pisa,35.0
2025,Pisa,40.0
2026,Pisa,45.0
