temporada,equipo,squad_size,avg_age,foreigners,pct_foreigners,squad_value,stadium_capacity,avg_attendance,stadium_occupation
2020,Monterrey,39,25.7,12,0.3077,91.1,53500,9738,0.182
2020,América,42,26.1,14,0.3333,85.3,87523,0,0.0
2020,Tigres UANL,38,26.4,12,0.3158,79.7,41886,8915,0.2128
2020,Cruz Azul,43,26.2,15,0.3488,75.5,62700,0,0.0
2020,Santos,42,25.0,13,0.3095,75.05,29237,6984,0.2389
2020,Guadalajara,39,26.0,0,0.0,64.1,49580,7682,0.1549
2020,León,47,25.9,15,0.3191,63.3,33943,4989,0.147
2020,Tijuana,46,25.5,21,0.4565,54.9,29333,0,0.0
2020,Pumas UNAM,49,24.8,14,0.2857,52.1,62700,0,0.0
2020,Atlas,41,25.7,12,0.2927,48.1,56713,7661,0.1351
2020,Pachuca,45,25.5,15,0.3333,45.8,30000,5929,0.1976
2020,Atlético de San Luis,45,26.2,18,0.4,40.3,27029,5448,0.2016
2020,Toluca,38,27.1,13,0.3421,36.1,31000,0,0.0
2020,Mazatlán FC,42,27.1,13,0.3095,34.0,25000,7684,0.3074
2020,Puebla,43,26.8,17,0.3953,32.88,48000,12778,0.2662
2020,Necaxa,38,25.7,15,0.3947,30.65,23851,5525,0.2316
2020,FC Juarez,42,27.1,14,0.3333,29.3,22300,4551,0.2041
2020,Querétaro,43,27.2,18,0.4186,20.8,34107,4373,0.1282
2021,América,51,25.2,17,0.3333,94.5,87523,28279,0.3231
2021,Cruz Azul,45,26.1,14,0.3111,94.2,62700,21459,0.3422
2021,Monterrey,36,25.7,11,0.3056,88.5,53500,27352,0.5113
2021,Tigres UANL,37,26.6,12,0.3243,83.8,41886,29723,0.7096
2021,Guadalajara,53,24.6,1,0.0189,78.85,49580,22885,0.4616
2021,Santos,35,25.7,13,0.3714,72.28,29237,12045,0.412
2021,Atlas,36,25.4,10,0.2778,60.4,56713,17181,0.3029
2021,Pachuca,36,26.4,13,0.3611,59.1,30000,8605,0.2868
2021,León,37,27.2,14,0.3784,47.25,33943,13050,0.3845
