local_equipo,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_wonCorners,local_saves,local_possessionPct,local_totalShots,local_shotsOnTarget,local_shotPct,local_penaltyKickGoals,local_penaltyKickShots,local_accuratePasses,local_totalPasses,local_passPct,local_accurateCrosses,local_totalCrosses,local_crossPct,local_totalLongBalls,local_accurateLongBalls,local_longballPct,local_blockedShots,local_effectiveTackles,local_totalTackles,local_tacklePct,local_interceptions,local_effectiveClearance,local_totalClearance,visita_equipo,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_wonCorners,visita_saves,visita_possessionPct,visita_totalShots,visita_shotsOnTarget,visita_shotPct,visita_penaltyKickGoals,visita_penaltyKickShots,visita_accuratePasses,visita_totalPasses,visita_passPct,visita_accurateCrosses,visita_totalCrosses,visita_crossPct,visita_totalLongBalls,visita_accurateLongBalls,visita_longballPct,visita_blockedShots,visita_effectiveTackles,visita_totalTackles,visita_tacklePct,visita_interceptions,visita_effectiveClearance,visita_totalClearance,event_id,fecha,temporada
Santos,18.0,2.0,0.0,2.0,1.0,2.0,50.2,8.0,4.0,0.5,0.0,0.0,260.0,341.0,0.8,5.0,15.0,0.3,58.0,31.0,0.5,1.0,7.0,12.0,0.6,19.0,14.0,14.0,Cruz Azul,21.0,2.0,0.0,1.0,2.0,3.0,49.8,12.0,2.0,0.2,0.0,0.0,248.0,344.0,0.7,4.0,13.0,0.3,65.0,27.0,0.4,2.0,13.0,22.0,0.6,14.0,13.0,13.0,591019,2021-01-11 01:06:00,2021
Pachuca,17.0,0.0,1.0,1.0,6.0,1.0,72.1,20.0,4.0,0.2,0.0,0.0,549.0,620.0,0.9,7.0,40.0,0.2,58.0,36.0,0.6,6.0,7.0,9.0,0.8,5.0,7.0,7.0,FC Juarez,4.0,1.0,1.0,2.0,1.0,3.0,27.9,5.0,2.0,0.4,0.0,0.0,171.0,246.0,0.7,2.0,7.0,0.3,52.0,20.0,0.4,0.0,9.0,15.0,0.6,5.0,30.0,30.0,591020,2021-01-12 03:00:00,2021
Atlas,8.0,2.0,1.0,2.0,19.0,0.0,52.0,11.0,7.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Monterrey,17.0,2.0,0.0,1.0,8.0,0.0,47.0,16.0,3.0,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591024,2021-01-09 23:00:00,2021
Guadalajara,15.0,1.0,0.0,2.0,5.0,1.0,60.0,16.0,6.0,0.4,0.0,0.0,381.0,456.0,0.8,5.0,23.0,0.2,52.0,30.0,0.6,4.0,8.0,12.0,0.7,12.0,12.0,12.0,Toluca,19.0,3.0,0.0,0.0,2.0,5.0,40.0,8.0,2.0,0.3,0.0,0.0,237.0,307.0,0.8,3.0,13.0,0.2,57.0,23.0,0.4,1.0,11.0,12.0,0.9,8.0,20.0,20.0,591016,2021-01-16 23:00:00,2021
Cruz Azul,12.0,2.0,0.0,0.0,6.0,2.0,64.1,10.0,2.0,0.2,0.0,0.0,478.0,558.0,0.9,3.0,23.0,0.1,67.0,40.0,0.6,1.0,10.0,15.0,0.7,10.0,4.0,4.0,Puebla,20.0,3.0,0.0,0.0,1.0,2.0,35.9,8.0,3.0,0.4,0.0,0.0,239.0,318.0,0.8,3.0,8.0,0.4,75.0,39.0,0.5,0.0,10.0,17.0,0.6,16.0,20.0,20.0,591015,2021-01-17 01:00:00,2021
Pumas UNAM,15.0,0.0,0.0,1.0,8.0,0.0,43.0,15.0,5.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mazatlán FC,9.0,0.0,0.0,0.0,23.0,0.0,56.0,7.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591013,2021-01-17 18:00:00,2021
Necaxa,10.0,1.0,1.0,1.0,1.0,2.0,46.4,7.0,3.0,0.4,1.0,1.0,186.0,266.0,0.7,2.0,8.0,0.3,72.0,36.0,0.5,1.0,7.0,15.0,0.5,13.0,20.0,20.0,Atlético de San Luis,17.0,3.0,0.0,1.0,4.0,2.0,53.6,9.0,2.0,0.2,0.0,1.0,212.0,295.0,0.7,5.0,24.0,0.2,59.0,30.0,0.5,0.0,7.0,9.0,0.8,6.0,7.0,7.0,591018,2021-01-16 01:30:00,2021
Toluca,19.0,1.0,0.0,0.0,2.0,2.0,44.5,9.0,4.0,0.4,0.0,0.0,179.0,235.0,0.8,3.0,13.0,0.2,49.0,27.0,0.6,1.0,7.0,10.0,0.7,12.0,22.0,22.0,Querétaro,17.0,5.0,0.0,0.0,8.0,1.0,55.5,12.0,3.0,0.3,1.0,1.0,222.0,280.0,0.8,4.0,26.0,0.2,49.0,25.0,0.5,4.0,9.0,11.0,0.8,15.0,4.0,4.0,591021,2021-01-10 18:00:00,2021
León,13.0,1.0,0.0,1.0,3.0,3.0,55.9,6.0,1.0,0.2,0.0,0.0,348.0,413.0,0.8,0.0,10.0,0.0,63.0,37.0,0.6,1.0,9.0,10.0,0.9,6.0,12.0,12.0,Pachuca,18.0,3.0,0.0,2.0,10.0,1.0,44.1,9.0,3.0,0.3,0.0,0.0,254.0,312.0,0.8,4.0,20.0,0.2,57.0,32.0,0.6,3.0,9.0,15.0,0.6,11.0,10.0,10.0,591010,2021-01-19 03:00:00,2021
Puebla,11.0,2.0,0.0,1.0,8.0,5.0,52.5,18.0,4.0,0.2,0.0,0.0,322.0,395.0,0.8,9.0,25.0,0.4,62.0,37.0,0.6,4.0,10.0,12.0,0.8,15.0,5.0,5.0,Tijuana,15.0,3.0,0.0,2.0,4.0,4.0,47.5,10.0,6.0,0.6,1.0,1.0,284.0,376.0,0.8,1.0,6.0,0.2,75.0,35.0,0.5,1.0,15.0,26.0,0.6,19.0,13.0,13.0,591008,2021-01-23 01:30:00,2021
