id,name,norm_name,short_name,abbreviation,slug,color,alternate_color,logo,is_active
227,América,América,América,AME,mex.america,ffff91,001C58,https://a.espncdn.com/i/teamlogos/soccer/500-dark/227.png,True
226,Atlante,Atlante,Atlante,ATL,mex.atlante,022789,022789,https://a.espncdn.com/i/teamlogos/soccer/500-dark/226.png,True
216,Atlas,Atlas,Atlas,ATS,mex.atlas,EF0107,e1e1e1,https://a.espncdn.com/i/teamlogos/soccer/500-dark/216.png,True
15720,Atlético de San Luis,Atlético San Luis,Atl. San Luis,ASL,mex.at._san_luis,EF0107,dfa829,https://a.espncdn.com/i/teamlogos/soccer/500-dark/15720.png,True
218,Cruz Azul,Cruz Azul,Cruz Azul,CAZ,mex.cruz_azul,0000ff,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/218.png,True
17851,FC Juarez,FC Juárez,Juarez,JUA,mex.fc_juarez,89f442,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/17851.png,True
219,Guadalajara,Guadalajara,Guadalajara,GDL,mex.guadalajara,EF0107,104e8a,https://a.espncdn.com/i/teamlogos/soccer/500-dark/219.png,True
228,León,León,León,LEO,mex.leon,008000,FFF61B,https://a.espncdn.com/i/teamlogos/soccer/500-dark/228.png,True
220,Monterrey,Monterrey,Monterrey,MTY,mex.monterrey,001C58,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/220.png,True
229,Necaxa,Necaxa,Necaxa,NCX,mex.necaxa,EF0107,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/229.png,True
234,Pachuca,Pachuca,Pachuca,PAC,mex.pachuca,001C58,02b0d0,https://a.espncdn.com/i/teamlogos/soccer/500-dark/234.png,True
231,Puebla,Puebla,Puebla,PUE,mex.puebla,ffffff,0032a8,https://a.espncdn.com/i/teamlogos/soccer/500-dark/231.png,True
233,Pumas UNAM,Pumas UNAM,UNAM,UNAM,mex.unam,ffffff,060040,https://a.espncdn.com/i/teamlogos/soccer/500-dark/233.png,True
222,Querétaro,Querétaro,Queretaro,QRO,mex.queretaro,212121,02b0d0,https://a.espncdn.com/i/teamlogos/soccer/500-dark/222.png,True
225,Santos,Santos Laguna,Santos,SAN,mex.santos,15926d,00331b,https://a.espncdn.com/i/teamlogos/soccer/500-dark/225.png,True
232,Tigres UANL,Tigres UANL,Tigres,UANL,mex.un_leon,ffd011,0000ff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/232.png,True
10125,Tijuana,Tijuana,Tijuana,TIJ,mex.tijuana,EF0107,e1e1e1,https://a.espncdn.com/i/teamlogos/soccer/500-dark/10125.png,True
223,Toluca,Toluca,Toluca,TOL,mex.toluca,EF0107,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/223.png,True
