event_id,fecha,temporada,local_id,visita_id,local,visita,goles_local,goles_visita,estado
591027,2021-01-08 19:30:00,2021,231,219,Puebla,Guadalajara,1.0,1.0,post
591026,2021-01-08 21:06:00,2021,10125,233,Tijuana,Pumas UNAM,0.0,0.0,post
591025,2021-01-08 21:30:00,2021,20702,229,Mazatlán FC,Necaxa,3.0,2.0,post
591024,2021-01-09 17:00:00,2021,216,220,Atlas,Monterrey,0.0,2.0,post
591023,2021-01-09 19:00:00,2021,232,228,Tigres UANL,León,2.0,0.0,post
591022,2021-01-09 21:00:00,2021,227,15720,América,Atlético San Luis,2.0,1.0,post
591021,2021-01-10 12:00:00,2021,223,222,Toluca,Querétaro,3.0,1.0,post
591019,2021-01-10 19:06:00,2021,225,218,Santos Laguna,Cruz Azul,1.0,0.0,post
591020,2021-01-11 21:00:00,2021,234,17851,Pachuca,FC Juárez,1.0,1.0,post
591018,2021-01-15 19:30:00,2021,229,15720,Necaxa,Atlético San Luis,1.0,0.0,post
591017,2021-01-15 21:30:00,2021,17851,10125,FC Juárez,Tijuana,0.0,0.0,post
591016,2021-01-16 17:00:00,2021,219,223,Guadalajara,Toluca,1.0,1.0,post
591015,2021-01-16 19:00:00,2021,218,231,Cruz Azul,Puebla,0.0,1.0,post
591014,2021-01-16 21:06:00,2021,220,227,Monterrey,América,1.0,0.0,post
591013,2021-01-17 12:00:00,2021,233,20702,Pumas UNAM,Mazatlán FC,3.0,0.0,post
591012,2021-01-17 19:06:00,2021,225,232,Santos Laguna,Tigres UANL,2.0,0.0,post
591011,2021-01-17 21:06:00,2021,222,216,Querétaro,Atlas,1.0,0.0,post
591010,2021-01-18 21:00:00,2021,228,234,León,Pachuca,0.0,0.0,post
591009,2021-01-21 21:00:00,2021,15720,219,Atlético San Luis,Guadalajara,3.0,1.0,post
591008,2021-01-22 19:30:00,2021,231,10125,Puebla,Tijuana,0.0,1.0,post
591007,2021-01-22 21:30:00,2021,20702,225,Mazatlán FC,Santos Laguna,0.0,0.0,post
591005,2021-01-23 19:00:00,2021,216,232,Atlas,Tigres UANL,0.0,2.0,post
591003,2021-01-24 12:00:00,2021,223,229,Toluca,Necaxa,2.0,0.0,post
591002,2021-01-24 19:00:00,2021,222,233,Querétaro,Pumas UNAM,2.0,0.0,post
591001,2021-01-25 21:00:00,2021,234,218,Pachuca,Cruz Azul,0.0,1.0,post
591004,2021-01-26 20:30:00,2021,227,17851,América,FC Juárez,2.0,0.0,post
590996,2021-01-28 21:00:00,2021,232,229,Tigres UANL,Necaxa,1.0,1.0,post
590999,2021-01-29 21:30:00,2021,20702,234,Mazatlán FC,Pachuca,1.0,0.0,post
590998,2021-01-30 19:00:00,2021,219,17851,Guadalajara,FC Juárez,1.0,2.0,post
590997,2021-01-30 21:00:00,2021,218,222,Cruz Azul,Querétaro,4.0,1.0,post
590995,2021-01-30 21:06:00,2021,10125,223,Tijuana,Toluca,3.0,2.0,post
590994,2021-01-31 12:00:00,2021,233,216,Pumas UNAM,Atlas,0.0,0.0,post
590993,2021-01-31 19:06:00,2021,225,227,Santos Laguna,América,1.0,1.0,post
590992,2021-02-01 21:00:00,2021,228,15720,León,Atlético San Luis,3.0,1.0,post
591000,2021-02-02 21:00:00,2021,231,220,Puebla,Monterrey,0.0,0.0,post
590991,2021-02-04 19:00:00,2021,15720,10125,Atlético San Luis,Tijuana,2.0,2.0,post
590990,2021-02-04 21:00:00,2021,222,234,Querétaro,Pachuca,3.0,1.0,post
590989,2021-02-05 21:30:00,2021,229,218,Necaxa,Cruz Azul,0.0,2.0,post
590987,2021-02-06 17:00:00,2021,216,225,Atlas,Santos Laguna,1.0,1.0,post
590986,2021-02-06 19:00:00,2021,227,231,América,Puebla,1.0,0.0,post
590985,2021-02-06 21:06:00,2021,220,233,Monterrey,Pumas UNAM,1.0,0.0,post
590984,2021-02-07 12:00:00,2021,223,20702,Toluca,Mazatlán FC,4.0,1.0,post
