temporada,equipo,squad_value
2020,Monterrey,91.1
2020,América,85.3
2020,Tigres UANL,79.7
2020,Cruz Azul,75.5
2020,Santos,75.05
2020,Guadalajara,64.1
2020,León,63.3
2020,Tijuana,54.9
2020,Pumas UNAM,52.1
2020,Atlas,48.1
2020,Pachuca,45.8
2020,Atlético de San Luis,40.3
2020,Toluca,36.1
2020,Mazatlán FC,34.0
2020,Puebla,32.88
2020,Necaxa,30.65
2020,FC Juarez,29.3
2020,Querétaro,20.8
2021,América,94.5
2021,Cruz Azul,94.2
2021,Monterrey,88.5
2021,Tigres UANL,83.8
2021,Guadalajara,78.85
2021,Santos,72.28
2021,Atlas,60.4
2021,Pachuca,59.1
2021,León,47.25
2021,Toluca,45.7
2021,Necaxa,41.9
2021,Tijuana,40.3
2021,Atlético de San Luis,37.75
2021,FC Juarez,37.28
2021,Pumas UNAM,37.15
2021,Puebla,33.25
2021,Mazatlán FC,29.0
2021,Querétaro,27.53
2022,Monterrey,102.25
2022,América,100.68
2022,Cruz Azul,91.6
2022,Pachuca,86.5
2022,Toluca,85.8
2022,Tigres UANL,85.3
2022,Santos,84.6
2022,Guadalajara,80.25
2022,León,57.9
2022,Atlas,54.05
2022,FC Juarez,51.7
2022,Tijuana,50.85
2022,Puebla,49.1
2022,Pumas UNAM,45.0
2022,Atlético de San Luis,44.75
2022,Necaxa,44.58
2022,Mazatlán FC,42.7
2022,Querétaro,41.5
2023,América,124.1
2023,Monterrey,103.25
2023,Cruz Azul,95.95
2023,Toluca,85.3
2023,Guadalajara,81.3
2023,Pachuca,78.4
2023,Santos,72.2
2023,Tigres UANL,69.55
2023,León,61.9
2023,Pumas UNAM,57.4
2023,Necaxa,54.2
2023,Atlético de San Luis,47.55
2023,Tijuana,45.9
2023,Mazatlán FC,45.5
2023,FC Juarez,41.05
2023,Atlas,40.23
2023,Querétaro,40.1
2023,Puebla,34.1
2024,Toluca,112.1
2024,América,109.6
2024,Cruz Azul,107.7
2024,Pachuca,95.0
2024,Monterrey,93.2
2024,Guadalajara,91.98
2024,Tigres UANL,77.85
2024,Pumas UNAM,65.1
2024,León,60.8
2024,Necaxa,59.95
2024,Tijuana,58.9
2024,FC Juarez,51.7
2024,Atlético de San Luis,48.93
2024,Santos,47.15
2024,Mazatlán FC,41.28
2024,Atlas,37.35
2024,Puebla,34.38
2024,Querétaro,31.13
2025,América,117.3
2025,Guadalajara,105.03
2025,Toluca,95.68
2025,Cruz Azul,95.05
2025,Tigres UANL,92.38
2025,Monterrey,75.68
2025,Pumas UNAM,74.2
2025,Pachuca,67.0
2025,Necaxa,65.88
2025,Tijuana,62.18
2025,León,52.85
2025,Atlético de San Luis,48.48
2025,Santos,45.95
2025,FC Juarez,45.55
2025,Atlas,34.15
2025,Puebla,33.88
2025,Querétaro,33.3
2025,Mazatlán FC,32.88
2026,Guadalajara,105.33
2026,América,103.45
2026,Toluca,90.35
2026,Cruz Azul,86.73
2026,Tigres UANL,82.8
2026,Monterrey,66.43
2026,Pumas UNAM,58.7
2026,León,55.38
2026,Pachuca,48.85
2026,Tijuana,44.65
2026,FC Juarez,42.15
2026,Santos,39.6
2026,Atlético de San Luis,35.18
2026,Atlas,33.45
2026,Necaxa,32.18
2026,Puebla,22.58
2026,Querétaro,21.03
2026,Atlante,10.08
