temporada,equipo,squad_size,avg_age,foreigners,pct_foreigners,squad_value,stadium_capacity,avg_attendance,stadium_occupation
2020,PSV,28,24.8,16,0.57,260.7,35000,34500,0.9857
2020,Feyenoord,28,24.5,17,0.61,229.1,47500,47000,0.9895
2020,Ajax,28,24.2,15,0.54,181.7,55865,53500,0.9577
2020,AZ Alkmaar,28,24.0,13,0.46,126.4,19478,18500,0.9498
2020,Twente,28,25.2,12,0.43,86.9,30205,29500,0.9767
2020,Utrecht,28,25.5,11,0.39,59.2,23750,21000,0.8842
2020,NEC,28,25.0,14,0.5,39.5,12500,12500,1.0
2020,Heerenveen,28,24.6,13,0.46,35.6,27224,23000,0.8448
2020,Sparta Rotterdam,28,25.8,11,0.39,31.6,10606,10200,0.9617
2020,Go Ahead Eagles,28,25.1,13,0.46,30.0,10000,9800,0.98
2020,Groningen,28,24.2,12,0.43,27.7,22550,21500,0.9534
2020,Fortuna Sittard,28,26.0,18,0.64,23.7,12800,10500,0.8203
2020,PEC Zwolle,28,25.3,11,0.39,22.1,14000,13500,0.9643
2020,Heracles Almelo,28,25.6,12,0.43,19.8,12080,11500,0.952
2020,NAC Breda,28,25.4,13,0.46,19.8,19000,18000,0.9474
2020,Willem II,28,25.7,11,0.39,17.4,14700,13800,0.9388
2020,Almere City,28,25.5,11,0.39,17.4,4501,4300,0.9553
2020,Vitesse,28,24.8,13,0.46,15.8,21248,15000,0.7059
2020,Excelsior,28,24.5,12,0.43,14.2,4500,4400,0.9778
2020,FC Volendam,28,24.2,10,0.36,14.2,7384,6800,0.9209
2020,RKC Waalwijk,28,26.5,11,0.39,12.6,7500,6500,0.8667
2020,ADO Den Haag,28,25.8,10,0.36,12.6,15000,12000,0.8
2020,SC Cambuur,28,25.5,10,0.36,11.9,10250,9800,0.9561
2020,FC Emmen,28,26.0,11,0.39,11.1,8600,8200,0.9535
2020,De Graafschap,28,25.2,8,0.29,9.5,12600,11000,0.873
2020,Telstar,28,24.8,8,0.29,7.9,3625,3000,0.8276
2021,PSV,28,24.8,16,0.57,272.2,35000,34500,0.9857
2021,Feyenoord,28,24.5,17,0.61,239.2,47500,47000,0.9895
2021,Ajax,28,24.2,15,0.54,189.8,55865,53500,0.9577
2021,AZ Alkmaar,28,24.0,13,0.46,132.0,19478,18500,0.9498
2021,Twente,28,25.2,12,0.43,90.8,30205,29500,0.9767
2021,Utrecht,28,25.5,11,0.39,61.9,23750,21000,0.8842
2021,NEC,28,25.0,14,0.5,41.2,12500,12500,1.0
2021,Heerenveen,28,24.6,13,0.46,37.1,27224,23000,0.8448
2021,Sparta Rotterdam,28,25.8,11,0.39,33.0,10606,10200,0.9617
2021,Go Ahead Eagles,28,25.1,13,0.46,31.3,10000,9800,0.98
2021,Groningen,28,24.2,12,0.43,28.9,22550,21500,0.9534
2021,Fortuna Sittard,28,26.0,18,0.64,24.8,12800,10500,0.8203
2021,PEC Zwolle,28,25.3,11,0.39,23.1,14000,13500,0.9643
2021,Heracles Almelo,28,25.6,12,0.43,20.6,12080,11500,0.952
2021,NAC Breda,28,25.4,13,0.46,20.6,19000,18000,0.9474
2021,Willem II,28,25.7,11,0.39,18.1,14700,13800,0.9388
2021,Almere City,28,25.5,11,0.39,18.1,4501,4300,0.9553
2021,Vitesse,28,24.8,13,0.46,16.5,21248,15000,0.7059
2021,Excelsior,28,24.5,12,0.43,14.8,4500,4400,0.9778
2021,FC Volendam,28,24.2,10,0.36,14.8,7384,6800,0.9209
2021,RKC Waalwijk,28,26.5,11,0.39,13.2,7500,6500,0.8667
2021,ADO Den Haag,28,25.8,10,0.36,13.2,15000,12000,0.8
2021,SC Cambuur,28,25.5,10,0.36,12.4,10250,9800,0.9561
2021,FC Emmen,28,26.0,11,0.39,11.5,8600,8200,0.9535
2021,De Graafschap,28,25.2,8,0.29,9.9,12600,11000,0.873
2021,Telstar,28,24.8,8,0.29,8.2,3625,3000,0.8276
2022,PSV,28,24.8,16,0.57,283.8,35000,34500,0.9857
2022,Feyenoord,28,24.5,17,0.61,249.4,47500,47000,0.9895
2022,Ajax,28,24.2,15,0.54,197.8,55865,53500,0.9577
2022,AZ Alkmaar,28,24.0,13,0.46,137.6,19478,18500,0.9498
2022,Twente,28,25.2,12,0.43,94.6,30205,29500,0.9767
2022,Utrecht,28,25.5,11,0.39,64.5,23750,21000,0.8842
2022,NEC,28,25.0,14,0.5,43.0,12500,12500,1.0
2022,Heerenveen,28,24.6,13,0.46,38.7,27224,23000,0.8448
2022,Sparta Rotterdam,28,25.8,11,0.39,34.4,10606,10200,0.9617
2022,Go Ahead Eagles,28,25.1,13,0.46,32.7,10000,9800,0.98
2022,Groningen,28,24.2,12,0.43,30.1,22550,21500,0.9534
2022,Fortuna Sittard,28,26.0,18,0.64,25.8,12800,10500,0.8203
2022,PEC Zwolle,28,25.3,11,0.39,24.1,14000,13500,0.9643
2022,Heracles Almelo,28,25.6,12,0.43,21.5,12080,11500,0.952
2022,NAC Breda,28,25.4,13,0.46,21.5,19000,18000,0.9474
